,PRICE,SOLD_MONTH_Number,SOLD_DATE_DAY,SOLD_YEAR,PROPERTY_TYPE,BEDS,BATHS,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,LOCATION
18,332500,8,17,2021,0,1.0,1.0,703.0,27390.125019392875,1995.0,0
21,580000,3,28,2022,0,2.0,2.0,987.0,27390.125019392875,1995.0,0
62,770000,4,3,2020,1,5.0,2.5,2420.0,8613.0,1996.0,0
71,750000,7,25,2019,1,5.0,2.5,2400.0,7270.0,1996.0,0
89,1083000,1,24,2022,1,3.0,2.0,1540.0,11965.0,1985.0,0
99,515000,2,11,2022,0,2.0,2.0,957.0,27390.125019392875,1995.0,0
109,378000,4,2,2018,0,2.0,2.0,967.0,957434.0,1995.0,0
119,700000,9,14,2018,1,4.0,2.5,1800.0,10924.0,1995.0,0
157,920000,2,15,2019,1,4.0,3.0,2916.0,4077.0,2018.0,0
167,730000,6,26,2020,1,4.0,2.5,2310.0,9600.0,1980.0,0
308,912840,9,28,2018,1,4.0,3.0,2916.0,4091.0,2018.0,0
329,824950,7,12,2019,1,3.0,2.5,2170.0,6165.0,2018.0,0
331,879950,2,8,2019,1,4.0,2.5,2580.0,5402.0,2018.0,0
332,889950,3,6,2019,1,4.0,2.5,2580.0,5547.0,2018.0,0
344,806000,9,28,2018,1,4.0,2.5,2372.0,32760.0,1989.0,0
430,934950,3,8,2019,1,4.0,3.0,2916.0,5765.0,2018.0,0
469,420000,1,30,2018,1,2.0,1.5,1000.0,15615.0,1949.0,0
488,821000,10,2,2020,1,3.0,2.5,2170.0,12346.0,1977.0,0
492,945000,8,31,2020,1,4.0,2.5,3100.0,10959.0,1988.0,0
493,890000,3,2,2021,1,3.0,2.0,1770.0,11514.0,1980.0,0
529,900000,8,7,2018,2,3.1275665851706007,2.315704532026172,2589.0644155844157,87070.0,1984.2786715101195,0
596,655000,10,7,2019,1,4.0,2.5,2050.0,9567.0,1978.0,0
631,450000,10,2,2020,2,3.1275665851706007,2.315704532026172,2589.0644155844157,217800.0,1984.2786715101195,1
638,380000,11,20,2020,0,2.0,2.0,975.0,27390.125019392875,1995.0,0
756,1650000,5,5,2022,1,4.0,3.0,2550.0,5850.0,2003.0,0
839,920000,5,25,2021,1,3.0,2.5,2440.0,9613.0,1981.0,0
923,924950,2,1,2019,1,4.0,3.0,2916.0,6050.0,2018.0,0
1146,535300,9,2,2020,3,3.0,2.5,1641.0,27390.125019392875,1998.0,0
1174,495000,7,10,2019,0,3.0,2.0,1458.0,138087.0,1998.0,0
1304,655000,3,28,2018,1,3.0,2.5,2140.0,10046.0,1983.0,0
1324,518000,11,21,2018,0,3.0,2.5,1458.0,27390.125019392875,1998.0,0
1590,645000,5,29,2019,1,3.0,2.5,1804.0,9600.0,1979.0,0
1594,300000,8,21,2020,1,3.0,2.0,1440.0,4331.0,1984.2786715101195,0
1598,650000,7,27,2021,3,3.0,2.5,1641.0,27390.125019392875,1998.0,0
1665,750000,11,14,2019,1,3.0,2.0,2120.0,28258.0,1933.0,0
1690,640000,2,6,2019,1,3.0,2.5,2070.0,8400.0,1977.0,0
1697,1000000,9,16,2022,1,4.0,2.5,2200.0,13478.0,1996.0,0
1700,1100000,10,20,2022,1,4.0,2.5,2190.0,10172.0,1997.0,0
1702,977000,6,30,2022,1,3.0,1.5,1420.0,11643.0,1980.0,0
1830,835000,1,17,2020,1,4.0,3.0,1810.0,6800.0,1974.0,1
1870,1025000,2,16,2022,1,3.0,2.0,1250.0,9696.0,1981.0,0
2053,799950,2,7,2019,1,3.0,2.5,2170.0,5652.0,2018.0,0
2054,874950,10,30,2018,1,4.0,2.5,2580.0,5568.0,2018.0,0
2094,730000,6,11,2021,3,3.0,2.5,1458.0,138087.0,1998.0,0
2244,900000,4,19,2022,1,3.0,2.0,2304.0,10890.0,1971.0,0
2382,765000,5,20,2020,1,4.0,3.0,2360.0,9512.0,1980.0,0
2483,1580000,4,26,2022,1,4.0,2.5,2280.0,6800.0,2001.0,0
2509,390000,4,14,2020,0,2.0,2.0,967.0,27390.125019392875,1995.0,0
2517,1625000,9,7,2021,1,10.0,7.5,4050.0,10349.0,1988.0,0
2519,565000,7,22,2021,0,2.0,2.5,1352.0,27390.125019392875,1995.0,0
2690,889950,3,14,2019,1,4.0,2.5,2580.0,5513.0,2018.0,0
2776,858000,10,15,2021,1,3.0,2.5,1640.0,10016.0,1985.0,0
2860,770000,8,6,2018,1,3.0,2.5,2130.0,10460.0,1981.0,0
2923,425000,7,20,2021,0,2.0,2.0,975.0,27390.125019392875,1995.0,0
3095,899950,12,11,2018,1,0.0,2.315704532026172,2916.0,6026.0,2018.0,0
3155,889950,2,28,2019,1,4.0,2.5,2580.0,5553.0,2018.0,0
3188,419000,10,27,2020,0,3.0,2.0,1062.0,27390.125019392875,1976.0,2
3257,432000,2,21,2018,0,2.0,2.0,1061.0,27390.125019392875,1979.0,2
3300,320000,1,27,2021,0,2.0,1.0,860.0,27390.125019392875,1976.0,2
3348,310000,2,28,2018,0,2.0,1.0,860.0,27390.125019392875,1976.0,2
3398,1615000,5,28,2021,1,4.0,2.5,2280.0,11789.0,1986.0,2
3433,1399888,6,27,2022,1,3.0,2.0,2005.0,9025.0,1985.0,2
3600,247000,4,5,2019,0,1.0,1.0,684.0,397698.0,1976.0,2
3642,1120000,6,22,2020,1,5.0,3.0,2980.0,12100.0,1973.0,2
3651,1260000,5,10,2022,1,3.0,2.0,2010.0,11850.0,1977.0,2
3926,979000,4,18,2018,1,4.0,2.5,3000.0,21781.0,1993.0,3
4012,315000,5,22,2018,0,2.0,1.5,955.0,27390.125019392875,1976.0,2
4303,1133000,9,29,2022,1,4.0,3.0,2130.0,13640.0,1975.0,2
4953,240000,3,22,2021,0,1.0,1.0,684.0,27390.125019392875,1976.0,2
5309,332000,12,6,2021,0,2.0,1.0,889.0,27390.125019392875,1978.0,2
5751,321000,12,17,2019,0,2.0,1.0,889.0,435710.0,1978.0,2
5955,392000,11,20,2020,0,2.0,1.5,1051.0,425059.0,1980.0,2
6346,1535000,5,15,2020,1,4.0,3.0,3655.0,17573.0,1997.0,3
6402,2250000,9,3,2021,1,6.0,5.5,6148.0,12599.0,2000.0,3
6415,1700000,7,2,2020,1,4.0,3.0,3210.0,10967.0,1999.0,2
6627,999000,5,22,2020,1,4.0,2.5,2390.0,13939.0,1973.0,2
6989,850000,10,31,2019,1,3.0,2.0,1250.0,27878.0,1954.0,2
7036,688600,3,29,2019,1,3.0,2.0,1230.0,10275.0,1959.0,2
7081,1040000,8,30,2019,1,3.0,2.5,2820.0,9537.0,1987.0,2
7216,320000,9,21,2020,0,2.0,1.0,889.0,27390.125019392875,1978.0,2
7425,1266000,10,21,2021,1,4.0,3.0,1960.0,9000.0,1973.0,2
7559,393500,8,6,2021,0,3.0,2.0,1062.0,27390.125019392875,1976.0,2
7565,882000,11,4,2020,1,3.0,2.0,1430.0,10408.0,1959.0,2
7616,3450000,10,20,2020,2,3.1275665851706007,2.315704532026172,2589.0644155844157,107157.0,1984.2786715101195,2
7839,367500,3,9,2020,0,2.0,1.0,860.0,397698.0,1976.0,2
8392,1686000,12,28,2018,1,5.0,5.0,5070.0,17937.0,1997.0,3
8624,335000,1,4,2018,0,2.0,1.0,889.0,27390.125019392875,1978.0,2
8709,485000,1,16,2018,0,2.0,1.5,1131.0,27390.125019392875,1979.0,2
8751,1225000,10,1,2020,1,7.0,2.0,2210.0,7350.0,1964.0,2
8875,1610000,6,22,2021,1,4.0,3.0,2510.0,9600.0,1971.0,2
8882,510000,8,30,2019,3,2.0,2.0,1131.0,198488.0,1979.0,2
8928,375000,10,19,2018,0,3.0,2.0,1062.0,397698.0,1976.0,2
8929,555000,4,23,2018,1,3.0,2.0,1640.0,9652.0,1959.0,2
8942,935000,2,28,2018,1,4.0,2.0,1790.0,7800.0,1972.0,2
9037,855500,5,8,2020,1,4.0,2.5,1890.0,7384.0,1965.0,2
9219,263000,2,1,2018,0,1.0,1.0,684.0,27390.125019392875,1976.0,2
9311,900000,3,20,2020,1,0.0,2.315704532026172,2530.0,9884.0,1968.0,2
9427,1615000,4,16,2021,1,5.0,2.5,3112.0,5972.0,2003.0,2
9431,1850000,5,20,2022,1,4.0,2.5,2360.0,8560.0,1976.0,2
9524,820000,9,30,2019,1,4.0,2.0,1760.0,7980.0,1969.0,2
9532,380000,9,26,2022,0,3.0,3.0,1302.0,27390.125019392875,2008.0,4
9535,425000,11,19,2020,1,4.0,2.0,1792.0,3982.0,2018.0,4
9539,485000,3,8,2022,1,4.0,2.0,2556.0,33450.0,1965.0,4
9543,320000,12,8,2021,0,1.0,1.0,745.0,27390.125019392875,2006.0,4
9544,525000,8,18,2022,1,3.0,1.0,2175.0,6480.0,1950.0,4
9546,410000,10,18,2021,1,3.0,1.0,1507.0,4810.0,1914.0,4
9548,545000,6,1,2021,1,4.0,2.5,2098.0,7000.0,1998.0,4
9551,376000,12,23,2020,1,3.0,1.0,1157.0,25300.0,1956.0,4
9552,349000,11,10,2021,1,3.0,1.0,907.0,3200.0,1941.0,4
9554,356900,6,26,2020,1,2.0,1.0,864.0,5415.0,1951.0,4
9555,490000,5,19,2022,1,3.0,2.0,1703.0,7200.0,1995.0,4
9557,420000,9,22,2020,1,4.0,2.0,1868.0,8250.0,1927.0,4
9562,625000,5,20,2021,1,4.0,2.5,1940.0,5394.0,2002.0,4
9564,565000,9,16,2022,1,5.0,3.5,2674.0,6074.0,2020.0,4
9567,429000,9,16,2021,1,4.0,2.5,1684.0,7732.0,1975.0,4
9568,395600,4,13,2020,1,4.0,2.5,1982.0,5729.0,2013.0,4
9569,732000,4,2,2020,1,4.0,2.0,3376.0,7590.0,1946.0,4
9570,380000,7,23,2021,3,2.0,2.0,1167.0,5751.0,1997.0,4
9571,499950,7,31,2018,1,3.0,3.5,1851.0,3250.0,1890.0,4
9572,278500,5,1,2020,1,3.0,2.0,1894.0,51000.0,1955.0,4
9575,415000,11,30,2021,1,3.0,2.0,1165.0,6700.0,1921.0,4
9576,485000,9,21,2022,1,3.0,1.5,1456.0,4810.0,1907.0,4
9581,465000,3,5,2021,1,3.0,2.0,2256.0,5880.0,1941.0,4
9586,497500,3,29,2021,1,3.0,2.5,1724.0,9785.0,1988.0,4
9587,565000,12,8,2020,1,5.0,3.5,2932.0,15202.0,1965.0,4
9588,530000,6,14,2022,1,3.0,2.5,1847.0,10200.0,1981.0,4
9589,685000,12,17,2021,1,4.0,2.5,2370.0,7000.0,1987.0,5
9590,385000,9,10,2020,1,4.0,2.0,2222.0,6000.0,1969.0,4
9592,419000,8,19,2021,1,2.0,1.5,1152.0,3350.0,2001.0,4
9593,381000,5,20,2022,1,3.0,1.0,888.0,6000.0,1979.0,4
9594,345000,6,23,2020,1,3.0,2.5,1514.0,5188.0,2007.0,4
9598,334000,5,28,2021,1,2.0,1.0,748.0,6500.0,1953.0,4
9599,535000,4,11,2022,1,5.0,3.0,2188.0,10454.0,1976.0,4
9600,215000,2,13,2019,0,1.0,1.0,873.0,929.0,1922.0,4
9601,513000,6,13,2022,1,3.0,2.0,1504.0,12000.0,1979.0,4
9602,370000,12,16,2021,1,2.0,2.0,1061.0,5250.0,1987.0,4
9603,850000,10,1,2021,1,4.0,2.5,3333.0,10988.0,2002.0,4
9607,325000,3,5,2020,1,3.0,1.0,1459.0,4312.0,1926.0,4
9611,460000,12,18,2020,1,3.0,2.0,1628.0,104108.0,1920.0,4
9614,358000,6,25,2020,1,4.0,1.5,1456.0,9583.0,1977.0,4
9616,600000,5,18,2022,1,3.0,3.0,3300.0,8276.0,1954.0,4
9617,400000,7,31,2020,1,3.0,2.0,1816.0,6500.0,1925.0,4
9618,370000,7,31,2020,1,2.0,1.0,978.0,3750.0,1913.0,4
9620,700000,11,24,2021,1,3.0,1.5,1404.0,5000.0,1900.0,4
