SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-7-2021,Condo/Co-op,14836 SE 16th St #12,Bellevue,WA,98007,700000,3,2.5,Bellevue,1430,93358,1969,,490,637,Sold,,,https://www.redfin.com/WA/Bellevue/14836-SE-16th-St-98007/unit-12/home/57471,NWMLS,1757127,N,Y,47.5967036,-122.1414349
PAST SALE,May-17-2019,Single Family Residential,3721 130th Ave NE,Bellevue,WA,98005,1350000,4,3.0,Bridle Trails,3244,35951,1968,,416,12,Sold,,,https://www.redfin.com/WA/Bellevue/3721-130th-Ave-NE-98005/home/430228,NWMLS,1440156,N,Y,47.6442514,-122.1688156
PAST SALE,June-29-2018,Single Family Residential,11259 SE 64th Pl,Bellevue,WA,98006,1098000,4,2.5,Newport Hills,2790,5958,2004,,394,,Sold,,,https://www.redfin.com/WA/Bellevue/11259-SE-64th-Pl-98006/home/417008,NWMLS,1304894,N,Y,47.5450804,-122.1896929
PAST SALE,June-10-2019,Single Family Residential,13643 SE 10th St,Bellevue,WA,98005,765000,4,3.5,Bellevue,2568,20050,1986,,298,,Sold,,,https://www.redfin.com/WA/Bellevue/13643-SE-10th-St-98005/home/508663,NWMLS,1456890,N,Y,47.601078,-122.1568911
PAST SALE,December-9-2021,Single Family Residential,15248 SE 39th St,Bellevue,WA,98006,1365248,4,2.0,Eastgate,1880,10743,1954,,726,,Sold,,,https://www.redfin.com/WA/Bellevue/15248-SE-39th-St-98006/home/233613,NWMLS,1859930,N,Y,47.5755515,-122.13686
PAST SALE,February-28-2018,Single Family Residential,404 145th Ave NE,Bellevue,WA,98007,990000,4,2.5,Lake Hills,1920,8856,1966,,516,,Sold,,,https://www.redfin.com/WA/Bellevue/404-145th-Ave-NE-98007/home/499987,NWMLS,1237626,N,Y,47.6137506,-122.1475459
PAST SALE,October-19-2018,Single Family Residential,14913 SE 61st Ct,Bellevue,WA,98006,1180000,4,2.5,Bellevue,2520,8355,1984,,468,,Sold,,,https://www.redfin.com/WA/Bellevue/14913-SE-61st-Ct-98006/home/239306,NWMLS,1358174,N,Y,47.5471587,-122.1405154
PAST SALE,October-29-2020,Condo/Co-op,3540 Lake Washington Blvd SE #111,Bellevue,WA,98006,352000,1,1.0,Factoria,921,,1990,,382,411,Sold,,,https://www.redfin.com/WA/Bellevue/3540-Lake-Washington-Blvd-SE-98006/unit-111/home/41064,NWMLS,1670335,N,Y,47.5785387,-122.1801352
PAST SALE,April-16-2021,Condo/Co-op,130 105th Ave SE Unit B-101,Bellevue,WA,98004,499999,2,1.0,West Bellevue,823,,1959,,608,539,Sold,,,https://www.redfin.com/WA/Bellevue/130-105th-Ave-SE-98004/unit-B-101/home/12090566,NWMLS,1726281,N,Y,47.6091562,-122.1991421
PAST SALE,February-25-2020,Condo/Co-op,4336 W Lake Sammamish Pkwy SE Unit D 123,Issaquah,WA,98027,435000,2,2.5,West Lake Sammamish,1159,,1989,,375,458,Sold,,,https://www.redfin.com/WA/Issaquah/4336-W-Lake-Sammamish-Pkwy-SE-98027/unit-D123/home/10586,NWMLS,1557009,N,Y,47.5678961,-122.0983513
PAST SALE,July-13-2021,Single Family Residential,14642 SE 66th St,Bellevue,WA,98006,1290000,3,2.5,Somerset,2260,9277,1988,,571,,Sold,,,https://www.redfin.com/WA/Bellevue/14642-SE-66th-St-98006/home/239909,NWMLS,1781811,N,Y,47.5447087,-122.1465706
PAST SALE,July-1-2019,Single Family Residential,3740 135th Ave SE,Bellevue,WA,98006,920000,4,3.0,Eastgate,2270,9315,1958,,405,,Sold,,,https://www.redfin.com/WA/Bellevue/3740-135th-Ave-SE-98006/home/234501,NWMLS,1454300,N,Y,47.5766787,-122.1594696
PAST SALE,May-19-2022,Single Family Residential,2106 168th Ave NE,Bellevue,WA,98008,1210000,3,2.0,Bellevue,1250,7107,1965,,968,,Sold,,,https://www.redfin.com/WA/Bellevue/2106-168th-Ave-NE-98008/home/432876,NWMLS,1912698,N,Y,47.6289476,-122.1152203
PAST SALE,August-30-2021,Condo/Co-op,10610 NE 9th Pl #1701,Bellevue,WA,98004,710000,1,1.0,Bellevue,667,,2008,,1064,600,Sold,,,https://www.redfin.com/WA/Bellevue/10610-NE-9th-Pl-98004/unit-1701/home/18657390,NWMLS,1813249,N,Y,47.6186974,-122.1984015
PAST SALE,January-28-2020,Condo/Co-op,10414 NE 32nd Pl Unit D302,Bellevue,WA,98004,500000,2,2.0,Bellevue,1010,286423,1980,,495,454,Sold,,,https://www.redfin.com/WA/Bellevue/10414-NE-32nd-Pl-98004/unit-D302/home/38491,NWMLS,1525575,N,Y,47.6394975,-122.201142
PAST SALE,March-31-2020,Condo/Co-op,14620 NE 35th St #207,Bellevue,WA,98007,385000,2,1.5,Microsoft,857,,1980,,449,435,Sold,,,https://www.redfin.com/WA/Bellevue/14620-NE-35th-St-98007/unit-207/home/33963,NWMLS,1568931,N,Y,47.642098,-122.14552
PAST SALE,May-4-2022,Townhouse,4356 W Lake Sammamish Pkwy SE Unit A144,Issaquah,WA,98027,575000,2,2.5,West Lake Sammamish,1159,,1989,,496,469,Sold,,,https://www.redfin.com/WA/Issaquah/4356-W-Lake-Sammamish-Pkwy-SE-98027/unit-A144/home/13512,NWMLS,1901314,N,Y,47.5665814,-122.0978525
PAST SALE,July-24-2018,Single Family Residential,2308 103rd Ave NE,Bellevue,WA,98004,2088000,5,4.5,Clyde Hill,4840,9100,2014,,431,,Sold,,,https://www.redfin.com/WA/Bellevue/2308-103rd-Ave-NE-98004/home/506556,NWMLS,1308031,N,Y,47.6312092,-122.2021411
PAST SALE,December-29-2020,Single Family Residential,2103 167th Ave NE,Bellevue,WA,98008,900000,4,2.0,Microsoft,1250,7176,1965,,720,,Sold,,,https://www.redfin.com/WA/Bellevue/2103-167th-Ave-NE-98008/home/432036,NWMLS,1687918,N,Y,47.6288422,-122.1177468
PAST SALE,August-30-2021,Condo/Co-op,1108 109th Ave SE,Bellevue,WA,98004,965000,2,2.5,Bellevue,1526,,1976,,632,780,Sold,,,https://www.redfin.com/WA/Bellevue/1108-109th-Ave-SE-98004/home/39990971,NWMLS,1802043,N,Y,47.5996697,-122.1949205
PAST SALE,October-15-2019,Single Family Residential,4423 154th Pl SE,Bellevue,WA,98006,1000000,4,2.5,Bellevue,2690,11135,1973,,372,3,Sold,,,https://www.redfin.com/WA/Bellevue/4423-154th-Pl-SE-98006/home/239917,NWMLS,1511633,N,Y,47.5660954,-122.1344516
PAST SALE,February-27-2019,Condo/Co-op,14518 NE 30th Pl Unit A15,Bellevue,WA,98007,373000,2,1.0,Microsoft,908,395028,1978,,411,380,Sold,,,https://www.redfin.com/WA/Bellevue/14518-NE-30th-Pl-98007/unit-A15/home/21711972,NWMLS,1404014,N,Y,47.6375636,-122.1459232
PAST SALE,September-1-2022,Single Family Residential,2502 169th Ave NE,Bellevue,WA,98008,1330000,4,2.5,Bellevue,2110,7725,1973,,630,,Sold,,,https://www.redfin.com/WA/Bellevue/2502-169th-Ave-NE-98008/home/431982,NWMLS,1939743,N,Y,47.6326843,-122.1137992
PAST SALE,October-27-2020,Condo/Co-op,14625 NE 34th St Unit G18,Bellevue,WA,98007,419000,3,2.0,Bellevue,1062,,1976,,395,430,Sold,,,https://www.redfin.com/WA/Bellevue/14625-NE-34th-St-98007/unit-G18/home/175916700,NWMLS,1660385,N,Y,47.6401118,-122.144363
