SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-26-2019,Single Family Residential,23520 24th Ave W,Brier,WA,98036,584000,3,2.0,Brier,1312,10890,1983,,445,,Sold,,,https://www.redfin.com/WA/Brier/23520-24th-Ave-W-98036/home/2636105,NWMLS,1487741,N,Y,47.7852453,-122.2658143
PAST SALE,August-23-2018,Single Family Residential,1311 191st St SE,Bothell,WA,98012,593999,4,3.0,North Creek,2047,5663,2007,,290,,Sold,,,https://www.redfin.com/WA/Bothell/1311-191st-St-SE-98012/home/12489607,NWMLS,1330188,N,Y,47.8251635,-122.2151157
PAST SALE,April-29-2021,Condo/Co-op,19705 1st Ave SE,Bothell,WA,98012,700000,4,2.5,Bothell,1923,2432,2013,,364,60,Sold,,,https://www.redfin.com/WA/Bothell/19705-1st-Ave-SE-98012/home/45390549,NWMLS,1750198,N,Y,47.8192067,-122.230919
PAST SALE,July-20-2020,Single Family Residential,20007 10th Ave W,Lynnwood,WA,98036,766000,4,3.0,Floral Hills,3169,7405,2007,,242,25,Sold,,,https://www.redfin.com/WA/Lynnwood/20007-10th-Ave-W-98036/home/12490174,NWMLS,1613499,N,Y,47.8170584,-122.2464286
PAST SALE,August-10-2021,Townhouse,1522 196th St SE Unit A106,Bothell,WA,98012,465000,2,2.0,Bothell,911,,2000,,510,350,Sold,,,https://www.redfin.com/WA/Bothell/1522-196th-St-SE-98012/unit-A106/home/2885443,NWMLS,1799459,N,Y,47.8176785,-122.2102221
PAST SALE,October-25-2022,Single Family Residential,6134 NE 203rd St,Kenmore,WA,98028,950000,4,4.0,Kenmore,1940,8890,1971,,490,,Sold,,,https://www.redfin.com/WA/Kenmore/6134-NE-203rd-St-98028/home/93523,NWMLS,1958194,N,Y,47.7756746,-122.2617044
PAST SALE,July-3-2019,Single Family Residential,23404 8th Pl W,Bothell,WA,98021,569000,3,2.0,Bothell,1328,7405,1987,,428,8,Sold,,,https://www.redfin.com/WA/Bothell/23404-8th-Pl-W-98021/home/2810327,NWMLS,1455899,N,Y,47.785953,-122.2450365
PAST SALE,September-2-2021,Single Family Residential,106 194th St SW,Bothell,WA,98012,982500,4,3.0,Bothell,2525,8712,2000,,389,,Sold,,,https://www.redfin.com/WA/Bothell/106-194th-St-SW-98012/home/2867734,NWMLS,1813229,N,Y,47.8219112,-122.2347984
PAST SALE,August-14-2019,Single Family Residential,20306 3rd Dr SE,Bothell,WA,98012,435000,3,2.5,Bothell,1637,4581,2011,,266,75,Sold,,,https://www.redfin.com/WA/Bothell/20306-3rd-Dr-SE-98012/home/45390625,NWMLS,1467561,N,Y,47.8137541,-122.2274057
PAST SALE,June-14-2019,Single Family Residential,19315 1st Ave W,Bothell,WA,98012,535000,3,2.0,Bothell,1818,3222,2009,,294,67,Sold,,,https://www.redfin.com/WA/Bothell/19315-1st-Ave-W-98012/home/39593604,NWMLS,1443095,N,Y,47.822887,-122.23417
PAST SALE,June-30-2020,Single Family Residential,24232 24th Ave W,Bothell,WA,98021,735000,4,3.0,Brier,2779,11326,1962,,264,,Sold,,,https://www.redfin.com/WA/Bothell/24232-24th-Ave-W-98021/home/2727443,NWMLS,1606596,N,Y,47.7777317,-122.2651316
PAST SALE,April-19-2019,Single Family Residential,20124 6th Pl W,Lynnwood,WA,98036,635000,4,2.5,Lynnwood,2563,4792,2011,,248,50,Sold,,,https://www.redfin.com/WA/Lynnwood/20124-6th-Pl-W-98036/home/28558630,NWMLS,1416630,N,Y,47.8154166,-122.2416689
PAST SALE,June-9-2020,Single Family Residential,2210 242nd St SW,Bothell,WA,98021,725000,3,3.0,Brier,1952,11326,1965,,371,,Sold,,,https://www.redfin.com/WA/Bothell/2210-242nd-St-SW-98021/home/2736060,NWMLS,1597385,N,Y,47.7788253,-122.2633587
