SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-24-2021,Single Family Residential,18214 27th Dr SE,Bothell,WA,98012,960500,4,2.5,Bothell,2382,9148,1998,,403,20,Sold,,,https://www.redfin.com/WA/Bothell/18214-27th-Dr-SE-98012/home/2861977,NWMLS,1776955,N,Y,47.8324384,-122.1962888
PAST SALE,November-6-2019,Townhouse,2115 201st Pl SE Unit D5,Bothell,WA,98012,440000,3,3.0,Thrashers Corner,1743,1743,2007,,252,171,Sold,,,https://www.redfin.com/WA/Bothell/2115-201st-Pl-SE-98012/unit-D5/home/21500264,NWMLS,1513902,N,Y,47.8165122,-122.2049606
PAST SALE,September-7-2022,Single Family Residential,16020 41st Ave SE,Bothell,WA,98012,870000,3,2.5,Bothell,2173,7405,2006,,400,,Sold,,,https://www.redfin.com/WA/Bothell/16020-41st-Ave-SE-98012/home/11882640,NWMLS,1976421,N,Y,47.8521426,-122.1772664
PAST SALE,June-13-2018,Condo/Co-op,10822 E Riverside Dr Unit A305,Bothell,WA,98011,200000,1,1.0,Sammamish River,605,128751,1985,,331,322,Sold,,,https://www.redfin.com/WA/Bothell/10822-E-Riverside-Dr-98011/unit-A305/home/51362,NWMLS,1275618,N,Y,47.7544602,-122.1958239
PAST SALE,December-8-2017,Townhouse,24120 39th Ct SE,Bothell,WA,98021,534000,3,2.5,Canyon Park,1958,1750,2007,,273,50,Sold,,,https://www.redfin.com/WA/Bothell/24120-39th-Ct-SE-98021/home/17127059,NWMLS,1197816,N,Y,47.7789458,-122.1800196
PAST SALE,April-9-2021,Condo/Co-op,9 193rd Pl SE,Bothell,WA,98012,940000,4,3.0,Bothell,2205,3899,2016,,426,50,Sold,,,https://www.redfin.com/WA/Bothell/9-193rd-Pl-SE-98012/home/109593166,NWMLS,1747897,N,Y,47.82268,-122.232402
PAST SALE,September-9-2020,Single Family Residential,4606 187th Pl SE,Bothell,WA,98012,679999,3,2.5,Bothell,1622,3049,2018,,419,83,Sold,,,https://www.redfin.com/WA/Bothell/4606-187th-Pl-SE-98012/home/144720920,NWMLS,1634502,N,Y,47.8275584,-122.1708632
PAST SALE,July-30-2018,Single Family Residential,1233 227th Pl SW,Bothell,WA,98021,465000,3,2.0,Kenmore,1306,7841,1983,,356,,Sold,,,https://www.redfin.com/WA/Bothell/1233-227th-Pl-SW-98021/home/2802830,NWMLS,1310058,N,Y,47.792304,-122.2504487
PAST SALE,March-8-2018,Townhouse,2331 196th Pl SE,Bothell,WA,98012,670000,3,2.5,Canyon Park,1998,3054,2014,,335,95,Sold,,,https://www.redfin.com/WA/Bothell/2331-196th-Pl-SE-98012/home/59706540,NWMLS,1240406,N,Y,47.8199345,-122.2008248
PAST SALE,April-25-2019,Condo/Co-op,2201 192nd St SE Unit V101,Bothell,WA,98012,373000,3,2.0,Bothell,1337,,1999,,279,395,Sold,,,https://www.redfin.com/WA/Bothell/2201-192nd-St-SE-98012/unit-V101/home/2866589,NWMLS,1429170,N,Y,47.8253977,-122.20303
PAST SALE,September-28-2018,Single Family Residential,23714 Carter Rd,Bothell,WA,98021,625000,4,3.0,Bothell,2111,6970,2000,,296,,Sold,,,https://www.redfin.com/WA/Bothell/23714-Carter-Rd-98021/home/2866048,NWMLS,1335538,N,Y,47.7833322,-122.252085
PAST SALE,October-25-2018,Condo/Co-op,15700 116th Ave NE Unit 106A,Bothell,WA,98011,455000,2,2.0,Kingsgate,1309,187743,2007,,348,394,Sold,,,https://www.redfin.com/WA/Bothell/15700-116th-Ave-NE-98011/unit-106A/home/12538510,NWMLS,1346250,N,Y,47.7416091,-122.1853284
PAST SALE,June-9-2020,Single Family Residential,101 193rd Pl SW,Bothell,WA,98012,535000,3,2.0,Bothell,1818,2878,2010,,294,77,Sold,,,https://www.redfin.com/WA/Bothell/101-193rd-Pl-SW-98012/unit-7/home/39593608,NWMLS,1600207,N,Y,47.8232192,-122.2344288
PAST SALE,January-10-2020,Townhouse,18910 Bothell Everett Hwy Unit D4,Bothell,WA,98012,279000,3,2.5,Bothell,1108,,1988,,252,408,Sold,,,https://www.redfin.com/WA/Bothell/18910-Bothell-Everett-Hwy-98012/unit-D4/home/2826765,NWMLS,1537189,N,Y,47.8264591,-122.2104347
PAST SALE,November-30-2017,Single Family Residential,19023 25th Dr SE #2,Bothell,WA,98012,450000,4,2.5,Crystal Lake,1606,2309,2011,,280,58,Sold,,,https://www.redfin.com/WA/Bothell/19023-25th-Dr-SE-98012/unit-2/home/40602963,NWMLS,1208380,N,Y,47.825002,-122.1987748
PAST SALE,November-20-2017,Single Family Residential,18715 22nd Dr SE,Bothell,WA,98012,471000,3,2.0,Bothell,1658,10019,1997,,284,92,Sold,,,https://www.redfin.com/WA/Bothell/18715-22nd-Dr-SE-98012/home/2852750,NWMLS,1195747,N,Y,47.8280449,-122.2022914
PAST SALE,November-17-2017,Townhouse,24035 40th Ln SE,Bothell,WA,98021,430000,3,2.5,Bothell,1449,1567,2006,,297,50,Sold,,,https://www.redfin.com/WA/Bothell/24035-40th-Ln-SE-98021/home/179786387,NWMLS,1188690,N,Y,47.779725,-122.178344
PAST SALE,June-18-2021,Single Family Residential,4116 183rd Pl SE,Bothell,WA,98012,1375000,5,3.0,Bothell,3312,4792,2015,,415,43,Sold,,,https://www.redfin.com/WA/Bothell/4116-183rd-Pl-SE-98012/home/109592824,NWMLS,1773647,N,Y,47.8311326,-122.1768687
PAST SALE,June-4-2020,Single Family Residential,19011 4th Dr SE,Bothell,WA,98012,765000,3,2.5,Bothell,3621,6098,2013,,211,29,Sold,,,https://www.redfin.com/WA/Bothell/19011-4th-Dr-SE-98012/home/44648430,NWMLS,1595166,N,Y,47.8254335,-122.2253503
PAST SALE,April-19-2018,Single Family Residential,18129 19th Dr SE,Bothell,WA,98012,500000,3,2.0,North Creek,1272,7840,1980,,393,,Sold,,,https://www.redfin.com/WA/Bothell/18129-19th-Dr-SE-98012/home/2791135,NWMLS,1253418,N,Y,47.8328697,-122.2064281
PAST SALE,April-29-2020,Single Family Residential,5 193rd Pl SE,Bothell,WA,98012,695000,4,3.0,Bothell,2433,4237,2016,,286,50,Sold,,,https://www.redfin.com/WA/Bothell/5-193rd-Pl-SE-98012/home/109593256,NWMLS,1583284,N,Y,47.822678,-122.232757
PAST SALE,April-11-2022,Single Family Residential,17806 41st Dr SE,Bothell,WA,98012,1460000,3,2.5,Bothell,2113,3485,2018,,691,100,Sold,,,https://www.redfin.com/WA/Bothell/17806-41st-Dr-SE-98012/home/145369754,NWMLS,1890380,N,Y,47.8360137,-122.177466
PAST SALE,April-10-2019,Single Family Residential,1219 196th Pl SE,Bothell,WA,98012,535000,5,3.0,Bothell,2019,4792,2004,,265,,Sold,,,https://www.redfin.com/WA/Bothell/1219-196th-Pl-SE-98012/home/2903218,NWMLS,1419459,N,Y,47.8201644,-122.2150319
PAST SALE,February-25-2022,Single Family Residential,3931 185th Pl SE,Bothell,WA,98012,1450000,5,3.0,Bothell,2683,6098,2012,,540,40,Sold,,,https://www.redfin.com/WA/Bothell/3931-185th-Pl-SE-98012/home/45389908,NWMLS,1881877,N,Y,47.8297427,-122.1789763
PAST SALE,February-27-2018,Single Family Residential,18132 25th Dr SE,Bothell,WA,98012,635000,3,2.5,Mill Creek,1962,6534,1987,,324,11,Sold,,,https://www.redfin.com/WA/Bothell/18132-25th-Dr-SE-98012/home/2808727,NWMLS,1236393,N,Y,47.8327517,-122.1989907
PAST SALE,December-18-2017,Single Family Residential,18632 10th Ave SE #10,Bothell,WA,98012,450000,3,2.5,Bothell,1369,4000,2004,,329,60,Sold,,,https://www.redfin.com/WA/Bothell/18632-10th-Ave-SE-98012/home/2913281,NWMLS,1218739,N,Y,47.8283516,-122.2179631
PAST SALE,November-8-2019,Single Family Residential,1317 191st St SE,Bothell,WA,98012,565000,3,2.5,Bothell,2468,4792,2008,,229,25,Sold,,,https://www.redfin.com/WA/Bothell/1317-191st-St-SE-98012/home/21501679,NWMLS,1526413,N,Y,47.8252443,-122.2149949
PAST SALE,January-19-2021,Single Family Residential,20224 29th Ave SE,Bothell,WA,98012,857500,4,3.0,Thrashers Corner,2048,7405,1995,,419,35,Sold,,,https://www.redfin.com/WA/Bothell/20224-29th-Ave-SE-98012/home/2846290,NWMLS,1698553,N,Y,47.8139826,-122.1941969
PAST SALE,June-10-2022,Single Family Residential,17612 Palomino Dr,Bothell,WA,98012,840000,3,2.5,Bothell,1978,7405,1977,,425,25,Sold,,,https://www.redfin.com/WA/Bothell/17612-Palomino-Dr-98012/home/2774535,NWMLS,1928703,N,Y,47.8379729,-122.2060457
PAST SALE,June-29-2021,Single Family Residential,2222 182nd St SE,Bothell,WA,98012,680000,4,2.0,Bothell,1592,6098,1980,,427,,Sold,,,https://www.redfin.com/WA/Bothell/2222-182nd-St-SE-98012/home/2795051,NWMLS,1778830,N,Y,47.8327594,-122.2029418
