SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-28-2021,Single Family Residential,24007 27th Pl W,Brier,WA,98036,968000,4,2.5,Brier,2032,13068,1985,,476,,Sold,,,https://www.redfin.com/WA/Brier/24007-27th-Pl-W-98036/home/2807241,NWMLS,1767329,N,Y,47.7801217,-122.2679779
PAST SALE,May-28-2021,Single Family Residential,23824 Brier Rd,Brier,WA,98036,1375000,4,3.0,Brier,4155,23087,2016,,331,,Sold,,,https://www.redfin.com/WA/Brier/23824-Brier-Rd-98036/home/2744642,NWMLS,1768541,N,Y,47.781844,-122.2745886
PAST SALE,July-26-2019,Single Family Residential,23520 24th Ave W,Brier,WA,98036,584000,3,2.0,Brier,1312,10890,1983,,445,,Sold,,,https://www.redfin.com/WA/Brier/23520-24th-Ave-W-98036/home/2636105,NWMLS,1487741,N,Y,47.7852453,-122.2658143
PAST SALE,August-12-2022,Single Family Residential,2672 232nd St SW,Brier,WA,98036,1250000,4,3.0,Brier,2672,15246,2015,,468,,Sold,,,https://www.redfin.com/WA/Brier/2672-232nd-St-SW-98036/home/77273177,NWMLS,1962898,N,Y,47.7883568,-122.2691671
PAST SALE,August-16-2019,Single Family Residential,3501 221st Pl SW,Brier,WA,98036,490000,3,2.0,Brier,1308,13939,1984,,375,,Sold,,,https://www.redfin.com/WA/Brier/3501-221st-Pl-SW-98036/home/2803291,NWMLS,1488466,N,Y,47.7981694,-122.2805791
PAST SALE,November-5-2021,Single Family Residential,2040 214th St SW,Brier,WA,98036,860000,3,2.5,Brier,1945,12632,1984,,442,,Sold,,,https://www.redfin.com/WA/Brier/2040-214th-St-SW-98036/home/2801587,NWMLS,1845624,N,Y,47.8041591,-122.261244
PAST SALE,October-13-2020,Single Family Residential,22573 24th Ave W,Brier,WA,98036,830000,4,2.5,Brier,2603,12632,2005,,319,,Sold,,,https://www.redfin.com/WA/Brier/22573-24th-Ave-W-98036/home/2905308,NWMLS,1645436,N,Y,47.7948113,-122.268579
PAST SALE,August-28-2020,Single Family Residential,3291 224th Ct SW,Brier,WA,98036,637500,4,2.5,Brier,1818,10454,1968,,351,,Sold,,,https://www.redfin.com/WA/Brier/3291-224th-Ct-SW-98036/home/2680813,NWMLS,1634259,N,Y,47.7945866,-122.2780403
PAST SALE,September-30-2021,Single Family Residential,2624 237th Pl SW,Brier,WA,98036,940000,3,2.5,Brier,2066,12632,1985,,455,,Sold,,,https://www.redfin.com/WA/Brier/2624-237th-Pl-SW-98036/home/2804958,NWMLS,1833488,N,Y,47.7822957,-122.2680961
PAST SALE,November-10-2020,Single Family Residential,23006 27th Ave W,Brier,WA,98036,483000,2,1.0,Brier,751,12632,1946,,643,,Sold,,,https://www.redfin.com/WA/Brier/23006-27th-Ave-W-98036/home/2832254,NWMLS,1671209,N,Y,47.7900446,-122.2696722
PAST SALE,July-31-2020,Single Family Residential,21804 34th Ave W,Brier,WA,98036,828750,4,2.5,Brier,2340,10454,1997,,354,,Sold,,,https://www.redfin.com/WA/Brier/21804-34th-Ave-W-98036/home/2854733,NWMLS,1619582,N,Y,47.8005156,-122.2803575
PAST SALE,October-13-2020,Single Family Residential,24358 32nd Ave W,Brier,WA,98036,873000,3,2.5,Brier,1972,12632,1986,,443,,Sold,,,https://www.redfin.com/WA/Brier/24358-32nd-Ave-W-98036/home/2806657,NWMLS,1660256,N,Y,47.7776896,-122.276605
PAST SALE,July-24-2018,Single Family Residential,3585 228th St SW,Brier,WA,98036,724950,4,3.0,Brier,2644,13504,1990,,274,,Sold,,,https://www.redfin.com/WA/Brier/3585-228th-St-SW-98036/home/2642665,NWMLS,1305773,N,Y,47.7921245,-122.2810907
PAST SALE,December-17-2019,Single Family Residential,4001 220th St SW,Mountlake Terrace,WA,98043,524000,3,2.0,Mountlake Terrace,1103,9148,1957,,475,,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/4001-220th-St-SW-98043/home/2724747,NWMLS,1536452,N,Y,47.7994294,-122.286272
PAST SALE,September-22-2022,Multi-Family (2-4 Unit),2006 211th Pl SW,Lynnwood,WA,98036,677620,3,1.75,Lynnwood,2064,8276,1961,,328,,Sold,,,https://www.redfin.com/WA/Lynnwood/2006-211th-Pl-SW-98036/home/2676049,NWMLS,1928253,N,Y,47.8067061,-122.2603827
PAST SALE,May-10-2021,Single Family Residential,21710 37th Pl W,Brier,WA,98036,1125000,4,2.5,Brier,2926,12632,1993,,384,13,Sold,,,https://www.redfin.com/WA/Brier/21710-37th-Pl-W-98036/home/2829681,NWMLS,1753599,N,Y,47.8011699,-122.2848349
PAST SALE,February-28-2019,Single Family Residential,23910 Brier Rd,Brier,WA,98036,690000,4,3.0,Brier,1848,22651,1963,,373,,Sold,,,https://www.redfin.com/WA/Brier/23910-Brier-Rd-98036/home/2744644,NWMLS,1390203,N,Y,47.7813867,-122.2746776
PAST SALE,January-5-2018,Single Family Residential,3605 220th Pl SW,Mountlake Terrace,WA,98043,451000,3,1.5,Mountlake Terrace,1296,9583,1962,,348,,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/3605-220th-Pl-SW-98043/home/2661001,NWMLS,1222692,N,Y,47.7990573,-122.2826737
PAST SALE,July-29-2022,Single Family Residential,23923 27th Pl W,Brier,WA,98036,925000,4,3.0,Brier,2860,12632,1988,,323,,Sold,,,https://www.redfin.com/WA/Brier/23923-27th-Pl-W-98036/home/2807230,NWMLS,1923129,N,Y,47.7814023,-122.2662934
PAST SALE,September-16-2022,Townhouse,23225 35th Ave W,Brier,WA,98036,765000,3,2.5,Shasta Manor,1164,16117,2000,,657,,Sold,,,https://www.redfin.com/WA/Brier/23225-35th-Ave-W-98036/home/2744034,NWMLS,1976274,N,Y,47.7876613,-122.2802612
PAST SALE,June-7-2019,Single Family Residential,22601 38th Ave W,Mountlake Terrace,WA,98043,535000,3,2.0,Mountlake Terrace,1728,10454,1963,,310,,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/22601-38th-Ave-W-98043/home/2642499,NWMLS,1438667,N,Y,47.7928655,-122.2845056
PAST SALE,September-3-2019,Single Family Residential,2946 216th Pl SW,Brier,WA,98036,609900,3,2.5,Brier,1619,13068,1978,,377,,Sold,,,https://www.redfin.com/WA/Brier/2946-216th-Pl-SW-98036/home/2782635,NWMLS,1477714,N,Y,47.8017376,-122.2730529
PAST SALE,December-21-2020,Single Family Residential,3507 222nd St SW,Mountlake Terrace,WA,98043,649995,4,2.0,Mountlake Terrace,2328,7841,1962,,279,,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/3507-222nd-St-SW-98043/home/2661208,NWMLS,1676497,N,Y,47.7970122,-122.2819378
PAST SALE,November-20-2020,Single Family Residential,23404 29th Ave W,Brier,WA,98036,675000,4,2.5,Brier,2120,11761,1986,,318,,Sold,,,https://www.redfin.com/WA/Brier/23404-29th-Ave-W-98036/home/2744296,NWMLS,1681540,N,Y,47.7860714,-122.2728872
PAST SALE,June-28-2019,Single Family Residential,23088 39th Ave W,Brier,WA,98036,637500,4,2.5,Brier,1851,13504,1983,,344,,Sold,,,https://www.redfin.com/WA/Brier/23088-39th-Ave-W-98036/home/2802053,NWMLS,1443855,N,Y,47.7893201,-122.2864593
PAST SALE,December-7-2018,Single Family Residential,3258 224th Pl SW,Brier,WA,98036,595000,4,2.0,Brier,1975,13939,1968,,301,,Sold,,,https://www.redfin.com/WA/Brier/3258-224th-Pl-SW-98036/home/2680732,NWMLS,1382583,N,Y,47.795683,-122.2782414
PAST SALE,April-9-2019,Single Family Residential,2612 242nd Pl SW,Brier,WA,98036,972500,4,2.5,Brier,3441,12632,2012,,283,,Sold,,,https://www.redfin.com/WA/Brier/2612-242nd-Pl-SW-98036/home/45390240,NWMLS,1421878,N,Y,47.7784774,-122.2672675
