SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-25-2019,Single Family Residential,8725 NE 21st St,Clyde Hill,WA,98004,2100000,4,2.5,Clyde Hill,3355,18074,1969,,626,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/8725-NE-21st-St-98004/home/252343,NWMLS,1448060,N,Y,47.6293992,-122.2224948
PAST SALE,October-15-2021,Single Family Residential,8703 NE 21st St,Clyde Hill,WA,98004,2450000,4,2.5,Clyde Hill,3050,18029,1968,,803,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/8703-NE-21st-St-98004/home/252989,NWMLS,1844197,N,Y,47.6291839,-122.2233256
PAST SALE,October-15-2021,Single Family Residential,9015 NE 21st Pl,Clyde Hill,WA,98004,6200000,5,6.0,Clyde Hill,6074,12239,2018,,1021,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/9015-NE-21st-Pl-98004/home/251515,NWMLS,1809419,N,Y,47.6294247,-122.2199029
PAST SALE,December-20-2021,Single Family Residential,2108 92nd Ave NE,Clyde Hill,WA,98004,3399888,4,3.5,Clyde Hill,3490,22710,1908,,974,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/2108-92nd-Ave-NE-98004/home/251616,NWMLS,1836961,N,Y,47.6295567,-122.2173683
PAST SALE,September-21-2021,Single Family Residential,2659 90th Ave NE,Clyde Hill,WA,98004,6500000,5,5.0,Clyde Hill,5993,21562,2021,,1085,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/2659-90th-Ave-NE-98004/home/251036,NWMLS,1807163,N,Y,47.635259,-122.2216989
PAST SALE,March-25-2020,Single Family Residential,2523 88th Ave NE,Clyde Hill,WA,98004,2600000,5,3.5,Clyde Hill,4803,20288,1967,,541,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/2523-88th-Ave-NE-98004/home/253046,NWMLS,1564776,N,Y,47.6336041,-122.2226765
PAST SALE,March-31-2022,Single Family Residential,9656 NE 34th St,Clyde Hill,WA,98004,2700000,4,3.0,Clyde Hill,2950,20074,1978,,915,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/9656-NE-34th-St-98004/home/251005,NWMLS,1892776,N,Y,47.6418701,-122.2104545
PAST SALE,June-24-2021,Single Family Residential,9632 NE 34th St,Clyde Hill,WA,98004,2200000,5,3.0,Clyde Hill,3700,20589,1962,,595,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/9632-NE-34th-St-98004/home/252067,NWMLS,1763968,N,Y,47.640856,-122.2110889
PAST SALE,January-18-2018,Single Family Residential,1307 88th Pl NE,Clyde Hill,WA,98004,4704739,5,5.5,Clyde Hill,6019,17595,2016,,782,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/1307-88th-Pl-NE-98004/home/251370,NWMLS,903312,N,Y,47.6219665,-122.2234891
PAST SALE,December-17-2021,Single Family Residential,8628 NE 23rd Pl,Clyde Hill,WA,98004,3800000,4,3.0,Clyde Hill,3860,23310,1961,,984,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/8628-NE-23rd-Pl-98004/home/250540,NWMLS,1868047,N,Y,47.6303042,-122.2245324
PAST SALE,November-30-2017,Single Family Residential,1609 85th Ave NE,Clyde Hill,WA,98004,3980000,5,5.5,Clyde Hill,6004,18051,2017,,663,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/1609-85th-Ave-NE-98004/home/250700,NWMLS,1123102,N,Y,47.625112,-122.2274351
PAST SALE,April-26-2021,Single Family Residential,2715 84th Pl NE,Clyde Hill,WA,98004,2040000,4,2.5,Clyde Hill,2690,24187,1982,,758,21,Sold,,,https://www.redfin.com/WA/Bellevue/2715-84th-Pl-NE-98004/home/252885,NWMLS,1718310,N,Y,47.6348729,-122.2274294
PAST SALE,April-6-2022,Single Family Residential,9439 NE 20th St,Clyde Hill,WA,98004,4410000,7,5.0,Clyde Hill,5550,21206,1967,,795,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/9439-NE-20th-St-98004/home/252135,NWMLS,1893614,N,Y,47.6278868,-122.2135527
PAST SALE,October-18-2021,Single Family Residential,9404 NE 20th St,Clyde Hill,WA,98004,8500000,5,6.5,Clyde Hill,6516,14384,2018,,1304,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/9404-NE-20th-St-98004/home/251383,NWMLS,1856392,N,Y,47.6284846,-122.2147162
PAST SALE,February-7-2018,Single Family Residential,2401 94th Ave NE,Clyde Hill,WA,98004,2132500,5,4.5,Clyde Hill,4120,16200,1946,,518,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/2401-94th-Ave-NE-98004/home/252307,NWMLS,1229869,N,Y,47.6321931,-122.2153756
PAST SALE,September-30-2021,Single Family Residential,9641 NE 24th St,Clyde Hill,WA,98004,4100000,5,5.5,Clyde Hill,5059,8212,2019,,810,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/9641-NE-24th-St-98004/home/252672,NWMLS,1791403,N,Y,47.6317122,-122.2107701
PAST SALE,September-27-2019,Single Family Residential,2241 95th Ave NE,Clyde Hill,WA,98004,3900000,4,4.0,Clyde Hill,5300,20054,2007,,736,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/2241-95th-Ave-NE-98004/home/253039,NWMLS,1475303,N,Y,47.6311815,-122.2145764
PAST SALE,June-8-2018,Single Family Residential,1601 94th Ave NE,Clyde Hill,WA,98004,2850000,3,3.0,Clyde Hill,2823,17806,2012,,1010,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/1601-94th-Ave-NE-98004/home/251719,NWMLS,1268241,N,Y,47.6249024,-122.2148825
PAST SALE,September-14-2021,Single Family Residential,9345 NE 19th St,Clyde Hill,WA,98004,10500000,5,6.0,Clyde Hill,6310,22200,2021,,1664,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/9345-NE-19th-St-98004/home/250502,NWMLS,1824593,N,Y,47.6270549,-122.2153862
PAST SALE,,Single Family Residential,2305 94th Ave NE,Clyde Hill,WA,98004,3000000,6,6.5,,9290,26934,2022,,323,,,,,https://www.redfin.com/WA/Clyde-Hill/2305-94th-Ave-NE-98004/home/251023,,,N,Y,47.6311832,-122.2157349
PAST SALE,October-21-2019,Single Family Residential,9305 NE 31st St,Clyde Hill,WA,98004,4200000,4,3.5,Clyde Hill,4920,26733,1991,,854,,Sold,,,https://www.redfin.com/WA/Clyde-Hill/9305-NE-31st-St-98004/home/252148,NWMLS,1490543,N,Y,47.6380942,-122.2156634
