SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-12-2021,Single Family Residential,26645 Timberlane Dr SE,Covington,WA,98042,445000,4,1.5,Timberlane,1380,5200,1970,,322,25,Sold,,,https://www.redfin.com/WA/Covington/26645-Timberlane-Dr-SE-98042/home/368941,NWMLS,1827851,N,Y,47.3635363,-122.0936275
PAST SALE,October-13-2021,Single Family Residential,25806 208th Ave SE,Covington,WA,98042,860000,4,2.5,Covington,3210,7942,2017,,268,50,Sold,,,https://www.redfin.com/WA/Covington/25806-208th-Ave-SE-98042/home/109661298,NWMLS,1840544,N,Y,47.3704161,-122.0637017
PAST SALE,July-17-2018,Single Family Residential,25921 168th Pl SE,Covington,WA,98042,429900,3,2.5,Covington,1740,4500,2012,,247,,Sold,,,https://www.redfin.com/WA/Kent/25921-168th-Pl-SE-98042/home/40089660,NWMLS,1289559,N,Y,47.3688404,-122.1174775
PAST SALE,June-25-2020,Single Family Residential,25706 178th Pl SE,Covington,WA,98042,560000,5,2.5,Covington,3190,6778,2002,,176,34,Sold,,,https://www.redfin.com/WA/Covington/25706-178th-Pl-SE-98042/home/395306,NWMLS,1604609,N,Y,47.3719919,-122.1033177
PAST SALE,September-23-2021,Single Family Residential,18735 SE 258th Pl,Covington,WA,98042,625000,3,2.5,Covington,1600,8289,1990,,391,,Sold,,,https://www.redfin.com/WA/Covington/18735-SE-258th-Pl-98042/home/371174,NWMLS,1829393,N,Y,47.3705272,-122.0911276
PAST SALE,June-15-2018,Single Family Residential,18845 SE 269th St,Covington,WA,98042,315000,4,1.5,Covington,1350,5330,1968,,233,27,Sold,,,https://www.redfin.com/WA/Covington/18845-SE-269th-St-98042/home/372498,NWMLS,1295896,N,Y,47.3606553,-122.0897818
PAST SALE,October-28-2020,Single Family Residential,17908 SE 257th St,Covington,WA,98042,555000,5,2.5,Covington,3240,4700,2002,,171,35,Sold,,,https://www.redfin.com/WA/Covington/17908-SE-257th-St-98042/home/395472,NWMLS,1648310,N,Y,47.3723116,-122.1028395
PAST SALE,May-16-2022,Single Family Residential,26733 191st Pl SE,Covington,WA,98042,515000,3,1.5,Timberlane,1120,5720,1968,,460,43,Sold,,,https://www.redfin.com/WA/Covington/26733-191st-Pl-SE-98042/home/369666,NWMLS,1922435,N,Y,47.3615226,-122.0863255
PAST SALE,June-28-2022,Single Family Residential,26446 189th Ave SE,Covington,WA,98042,520000,3,1.0,Timberlane,1080,5200,1977,,481,50,Sold,,,https://www.redfin.com/WA/Covington/26446-189th-Ave-SE-98042/home/370256,NWMLS,1949036,N,Y,47.3647189,-122.0880734
PAST SALE,July-25-2018,Single Family Residential,19508 SE 270th Pl,Covington,WA,98042,459000,4,2.5,Covington,2300,3825,2012,,200,29,Sold,,,https://www.redfin.com/WA/Covington/19508-SE-270th-Pl-98042/home/40264348,NWMLS,1317575,N,Y,47.3593507,-122.0819796
