SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-6-2022,Single Family Residential,12221 176th Ave SE,Renton,WA,98059,475000,2,1.0,Coalfield,720,39000,1942,,660,,Sold,,,https://www.redfin.com/WA/Renton/12221-176th-Ave-SE-98059/home/244053,NWMLS,1971490,N,Y,47.4925455,-122.1067615
PAST SALE,May-9-2019,Single Family Residential,15523 157th Ct SE,Renton,WA,98058,518000,3,2.5,Summerfield,2130,9305,1991,,243,25,Sold,,,https://www.redfin.com/WA/Renton/15523-157th-Ct-SE-98058/home/423555,NWMLS,1429771,N,Y,47.4635783,-122.1294885
PAST SALE,January-20-2021,Single Family Residential,15416 SE 132nd St,Renton,WA,98059,597111,3,2.5,East Renton,1520,16104,1967,,393,,Sold,,,https://www.redfin.com/WA/Renton/15416-SE-132nd-St-98059/home/246714,NWMLS,1696699,N,Y,47.484956,-122.1345423
PAST SALE,September-2-2021,Single Family Residential,14514 166th Pl SE,Renton,WA,98059,675000,4,2.0,Renton,1820,10660,1969,,371,,Sold,,,https://www.redfin.com/WA/Renton/14514-166th-Pl-SE-98059/home/249148,NWMLS,1784397,N,Y,47.4722189,-122.1180811
PAST SALE,October-28-2020,Single Family Residential,17812 SE 146th St,Renton,WA,98059,700000,3,3.0,Briarwood,2240,22877,1962,,313,,Sold,,,https://www.redfin.com/WA/Renton/17812-SE-146th-St-98059/home/249008,NWMLS,1643476,N,Y,47.470891,-122.1041939
PAST SALE,September-1-2020,Single Family Residential,14007 156th Ave SE,Renton,WA,98059,565000,4,2.0,Maplewood Heights,1600,14960,1960,,353,,Sold,,,https://www.redfin.com/WA/Renton/14007-156th-Ave-SE-98059/home/246214,NWMLS,1638408,N,Y,47.4771882,-122.132589
PAST SALE,May-7-2021,Single Family Residential,15628 SE 156th St,Renton,WA,98058,670000,3,2.5,Renton,2200,11362,1990,,305,25,Sold,,,https://www.redfin.com/WA/Renton/15628-SE-156th-St-98058/home/422906,NWMLS,1743111,N,Y,47.4636669,-122.1307041
PAST SALE,July-2-2021,Single Family Residential,13337 202nd Ave SE,Issaquah,WA,98027,1170000,3,2.5,May Valley,2160,227037,1983,,542,,Sold,,,https://www.redfin.com/WA/Issaquah/13337-202nd-Ave-SE-98027/home/422370,NWMLS,1785287,N,Y,47.48346,-122.073536
PAST SALE,June-17-2021,Single Family Residential,16138 SE 145th Pl,Renton,WA,98059,885000,3,2.5,Maplewood Heights,2190,11600,1971,,404,,Sold,,,https://www.redfin.com/WA/Renton/16138-SE-145th-Pl-98059/home/249420,NWMLS,1779939,N,Y,47.4728016,-122.1237832
PAST SALE,,Single Family Residential,15006 SE 145th Pl,Renton,WA,98059,650000,3,2.5,,1850,10100,1984,,351,,,,,https://www.redfin.com/WA/Renton/15006-SE-145th-Pl-98059/home/247011,,,N,Y,47.4727902,-122.1395585
PAST SALE,June-24-2019,Single Family Residential,6119 SE 2nd Pl,Renton,WA,98059,565000,4,3.0,Highlands,2070,4502,2004,,273,29,Sold,,,https://www.redfin.com/WA/Renton/6119-SE-2nd-Pl-98059/home/245978,NWMLS,1441275,N,Y,47.48089,-122.1368
PAST SALE,May-18-2022,Single Family Residential,14627 SE 140th St,Renton,WA,98059,824000,4,2.0,Maplewood Heights,1740,10143,1969,,474,,Sold,,,https://www.redfin.com/WA/Renton/14627-SE-140th-St-98059/home/246788,NWMLS,1922450,N,Y,47.4773955,-122.1441893
PAST SALE,December-15-2020,Single Family Residential,13604 161st Pl SE,Renton,WA,98059,927500,5,3.0,Renton,3200,5873,2011,,290,25,Sold,,,https://www.redfin.com/WA/Renton/13604-161st-Pl-SE-98059/home/22716967,NWMLS,1678191,N,Y,47.4807815,-122.1247143
PAST SALE,April-23-2021,Single Family Residential,14617 160th Ave SE,Renton,WA,98059,680000,4,2.5,Briarwood,2000,13068,1979,,340,,Sold,,,https://www.redfin.com/WA/Renton/14617-160th-Ave-SE-98059/home/248753,NWMLS,1742976,N,Y,47.4712241,-122.1279405
