SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-18-2018,Single Family Residential,33007 30th Ave SW,Federal Way,WA,98023,425000,4,3.0,Twin Lakes,2150,8190,1978,,198,,Sold,,,https://www.redfin.com/WA/Federal-Way/33007-30th-Ave-SW-98023/home/356161,NWMLS,1264870,N,Y,47.3061413,-122.3722878
PAST SALE,April-12-2021,Single Family Residential,811 SW 347th Pl,Federal Way,WA,98023,607500,5,3.0,Federal Way,2070,8348,1994,,293,23,Sold,,,https://www.redfin.com/WA/Federal-Way/811-SW-347th-Pl-98023/home/357414,NWMLS,1740422,N,Y,47.2902113,-122.3452813
PAST SALE,March-29-2021,Single Family Residential,3775 SW 319th St,Federal Way,WA,98023,581000,7,3.0,Twin Lakes,2230,8160,1971,,261,113,Sold,,,https://www.redfin.com/WA/Federal-Way/3775-SW-319th-St-98023/home/354049,NWMLS,1726501,N,Y,47.3158216,-122.384899
PAST SALE,August-27-2018,Single Family Residential,27760 23rd Ave S,Federal Way,WA,98003,425000,4,2.5,Federal Way,1840,7796,1989,,231,,Sold,,,https://www.redfin.com/WA/Federal-Way/27760-23rd-Ave-S-98003/home/203936,NWMLS,1324003,N,Y,47.3526826,-122.3029051
PAST SALE,October-23-2019,Single Family Residential,4208 SW 325th St,Federal Way,WA,98023,525000,3,3.0,Twin Lakes,2160,9450,1978,,243,40,Sold,,,https://www.redfin.com/WA/Federal-Way/4208-SW-325th-St-98023/home/353914,NWMLS,1517212,N,Y,47.3111343,-122.3881438
PAST SALE,September-18-2020,Single Family Residential,1021 S 301st St,Federal Way,WA,98003,388000,3,1.0,Steel Lake,940,7220,1967,,413,,Sold,,,https://www.redfin.com/WA/Federal-Way/1021-S-301st-St-98003/home/352561,NWMLS,1642794,N,Y,47.3325319,-122.3199627
PAST SALE,June-7-2019,Single Family Residential,33306 29th Pl SW,Federal Way,WA,98023,381000,3,2.5,Twin Lakes,1220,8908,1976,,312,,Sold,,,https://www.redfin.com/WA/Federal-Way/33306-29th-Pl-SW-98023/home/353181,NWMLS,1443589,N,Y,47.303333,-122.3710724
PAST SALE,May-14-2021,Condo/Co-op,1843 S 286th Ln Unit T-103,Federal Way,WA,98003,272500,2,2.0,Federal Way,929,723524,1990,,293,350,Sold,,,https://www.redfin.com/WA/Federal-Way/1843-S-286th-Ln-98003/unit-T103/home/17088118,NWMLS,1754873,N,Y,47.3451934,-122.3095156
PAST SALE,July-15-2020,Single Family Residential,5507 36th Avenue Ct NE,Tacoma,WA,98422,835000,5,4.5,Browns Point,3858,16359,2001,,216,58,Sold,,,https://www.redfin.com/WA/Tacoma/5507-36th-Ave-Ct-NE-98422/home/2877252,NWMLS,1595365,N,Y,47.3048451,-122.3971952
PAST SALE,April-10-2020,Single Family Residential,3067 S 276th Ct,Auburn,WA,98001,562500,3,2.5,Auburn,2230,4511,2018,,252,71,Sold,,,https://www.redfin.com/WA/Auburn/3067-S-276th-Ct-98001/home/113178965,NWMLS,1530270,N,Y,47.3533404,-122.2936521
PAST SALE,November-4-2021,Single Family Residential,1318 S 295th Pl,Federal Way,WA,98003,662000,5,2.5,Marine Hills,2540,9736,1977,,261,,Sold,,,https://www.redfin.com/WA/Federal-Way/1318-S-295th-Pl-98003/home/347091,NWMLS,1847621,N,Y,47.337415,-122.3162222
