SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-16-2021,Townhouse,1758 10th Ave NE #1216,Issaquah,WA,98029,753000,2,2.5,Issaquah,1353,,2007,,557,500,Sold,,,https://www.redfin.com/WA/Issaquah/1758-10th-Ave-NE-98029/unit-1216/home/17383428,NWMLS,1784499,N,Y,47.5460119,-122.0160067
PAST SALE,May-23-2022,Townhouse,23300 SE Black Nugget Rd Unit H4,Issaquah,WA,98029,880000,2,2.5,Issaquah,1065,,2000,,826,409,Sold,,,https://www.redfin.com/WA/Issaquah/23300-SE-Black-Nugget-Rd-98029/unit-H4/home/70384,NWMLS,1919221,N,Y,47.5497633,-122.0319046
PAST SALE,July-17-2020,Single Family Residential,1424 Hinoki Walk NE,Issaquah,WA,98029,945000,3,2.5,Issaquah,2060,3182,2015,,459,78,Sold,,,https://www.redfin.com/WA/Issaquah/1424-Hinoki-Walk-NE-98029/home/69356630,NWMLS,1620193,N,Y,47.5406081,-122.0110993
PAST SALE,August-17-2018,Condo/Co-op,18505 SE Newport Way Unit A304,Issaquah,WA,98027,340000,2,1.0,Issaquah,798,346738,1997,,426,242,Sold,,,https://www.redfin.com/WA/Issaquah/18505-SE-Newport-Way-98027/unit-A304/home/33895,NWMLS,1325162,N,Y,47.560189,-122.093622
PAST SALE,August-13-2021,Condo/Co-op,23420 SE Black Nugget Rd Unit A101,Issaquah,WA,98029,315000,1,1.0,Issaquah,767,,2000,,411,312,Sold,,,https://www.redfin.com/WA/Issaquah/23420-SE-Black-Nugget-Rd-98029/unit-A101/home/10304,NWMLS,1803684,N,Y,47.5495825,-122.0290104
PAST SALE,December-10-2018,Single Family Residential,185 Mt Olympus Dr NW,Issaquah,WA,98027,799950,4,3.0,Squak Mountain,3000,11670,1969,,267,,Sold,,,https://www.redfin.com/WA/Issaquah/185-Mt-Olympus-Dr-NW-98027/home/420155,NWMLS,1382552,N,Y,47.5323723,-122.0529995
PAST SALE,May-13-2019,Single Family Residential,4125 239th Pl SE,Sammamish,WA,98029,798000,3,2.0,Sammamish,1940,7746,1989,,411,11,Sold,,,https://www.redfin.com/WA/Issaquah/4125-239th-Pl-SE-98029/home/440005,NWMLS,1442457,N,Y,47.5706472,-122.0205517
PAST SALE,March-31-2022,Condo/Co-op,1840 25th Ave NE #413,Issaquah,WA,98029,855000,2,2.0,Issaquah Highlands,1253,,2007,,682,654,Sold,,,https://www.redfin.com/WA/Issaquah/1840-25th-Ave-NE-98029/unit-413/home/12537941,NWMLS,1894936,N,Y,47.5474679,-121.997497
PAST SALE,June-11-2021,Townhouse,4102 248th Ct SE #59,Sammamish,WA,98029,685000,3,2.5,Klahanie,1484,,1997,,462,589,Sold,,,https://www.redfin.com/WA/Issaquah/4102-248th-Ct-SE-98029/unit-59/home/15263,NWMLS,1763826,N,Y,47.5702772,-122.008786
PAST SALE,February-11-2019,Single Family Residential,280 Mt. Pilchuck Ave SW,Issaquah,WA,98027,665000,4,2.5,Issaquah,3010,13561,1979,,221,,Sold,,,https://www.redfin.com/WA/Issaquah/280-Mt-Pilchuck-Ave-SW-98027/home/421625,NWMLS,1334318,N,Y,47.5274612,-122.0550687
PAST SALE,June-18-2018,Single Family Residential,3539 253rd Ct SE,Issaquah,WA,98029,775250,3,2.5,Klahanie,1770,4518,1989,,438,50,Sold,,,https://www.redfin.com/WA/Issaquah/3539-253rd-Ct-SE-98029/home/436612,NWMLS,1292579,N,Y,47.5776393,-122.0017934
PAST SALE,October-22-2018,Townhouse,164 Shy Bear Way NW,Issaquah,WA,98027,525000,2,2.5,Issaquah,1359,49369,2016,,386,244,Sold,,,https://www.redfin.com/WA/Issaquah/164-NW-Shy-Bear-Way-98027/home/103636026,NWMLS,1357977,N,Y,47.532341,-122.0693365
PAST SALE,February-8-2019,Townhouse,887 4th Ave NE,Issaquah,WA,98029,624999,3,2.5,Issaquah Highlands,1707,1000,2011,,366,248,Sold,,,https://www.redfin.com/WA/Issaquah/887-4th-Ave-NE-98029/home/18660037,NWMLS,1381267,N,Y,47.5395644394818,-122.02680430670351
PAST SALE,July-7-2022,Single Family Residential,24125 SE 47th Ct,Sammamish,WA,98029,1520000,4,2.5,Sammamish,2514,9553,1988,,605,32,Sold,,,https://www.redfin.com/WA/Issaquah/24125-SE-47th-Ct-98029/home/436954,NWMLS,1934690,Y,Y,47.5602357,-122.0180793
PAST SALE,May-17-2018,Single Family Residential,4258 245th Ave SE,Issaquah,WA,98029,899000,4,2.5,Klahanie,2100,7019,1987,,428,50,Sold,,,https://www.redfin.com/WA/Issaquah/4258-245th-Ave-SE-98029/home/439211,NWMLS,1261204,N,Y,47.5679876,-122.0136046
PAST SALE,March-12-2020,Townhouse,4264 213th Pl SE #11,Issaquah,WA,98029,698000,3,2.5,Issaquah,1832,,2015,,381,375,Sold,,,https://www.redfin.com/WA/Issaquah/4264-213th-Pl-SE-98029/unit-11/home/79793630,NWMLS,1563859,N,Y,47.5691402,-122.0554114
PAST SALE,September-30-2022,Condo/Co-op,4717 W Lake Sammamish Pkwy Unit C104,Issaquah,WA,98027,410000,2,2.0,Issaquah,912,,1979,,450,462,Sold,,,https://www.redfin.com/WA/Issaquah/4717-W-Lake-Sammamish-Pkwy-SE-98027/unit-C104/home/72246,NWMLS,1957938,N,Y,47.5603255,-122.0883526
PAST SALE,,Condo/Co-op,22526 SE 45th Pl #2655,Issaquah,WA,98029,576500,2,2.0,,1230,,1996,,469,,,,,https://www.redfin.com/WA/Issaquah/22526-SE-45th-Pl-98029/unit-2655/home/17662,,,N,Y,47.5630112,-122.0386889
PAST SALE,May-8-2020,Single Family Residential,23843 SE 111th St,Issaquah,WA,98027,1455000,5,3.5,Issaquah,4000,87120,1966,,364,,Sold,,,https://www.redfin.com/WA/Issaquah/23843-SE-111th-St-98027/home/422164,NWMLS,1571249,N,Y,47.5028691,-122.0204196
PAST SALE,October-16-2019,Condo/Co-op,210 SW Clark St Unit A103,Issaquah,WA,98027,261138,2,1.0,Issaquah,828,54450,1978,,315,377,Sold,,,https://www.redfin.com/WA/Issaquah/210-SW-Clark-St-98027/unit-A103/home/14316,NWMLS,1488539,N,Y,47.5277669,-122.0400398
PAST SALE,July-12-2019,Single Family Residential,110 6th Ave NE,Issaquah,WA,98027,680000,4,2.5,Issaquah,1800,9583,1982,,378,,Sold,,,https://www.redfin.com/WA/Issaquah/110-6th-Ave-NE-98027/home/420688,NWMLS,1475975,N,Y,47.53091,-122.0254358
PAST SALE,March-1-2021,Single Family Residential,3627 248th Ave SE,Sammamish,WA,98029,920000,3,2.5,Klahanie,1690,4275,1989,,544,67,Sold,,,https://www.redfin.com/WA/Issaquah/3627-248th-Ave-SE-98029/home/439333,NWMLS,1720416,N,Y,47.5754352,-122.0076408
PAST SALE,August-24-2020,Townhouse,130 Cougar Ridge Rd NW #1502,Issaquah,WA,98027,585000,2,3.0,Issaquah,1404,,2006,,417,442,Sold,,,https://www.redfin.com/WA/Issaquah/130-Cougar-Ridge-Rd-NW-98027/unit-1502/home/12305499,NWMLS,1631004,N,Y,47.531611,-122.068059
