SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-19-2019,Single Family Residential,8012 147th Ln,Kenmore,WA,98028,869000,5,2.5,Finn Hill,3039,5399,2007,,286,10,Sold,,,https://www.redfin.com/WA/Kenmore/8012-NE-147th-Ln-98028/home/12303922,NWMLS,1504661,N,Y,47.7355403,-122.2341553
PAST SALE,August-19-2019,Townhouse,19616 61st Pl NE #2,Kenmore,WA,98028,375000,3,2.5,Kenmore,1392,75343,1985,,269,435,Sold,,,https://www.redfin.com/WA/Kenmore/19616-61st-Pl-NE-98028/unit-2/home/60663,NWMLS,1451912,N,Y,47.7713332,-122.2619965
PAST SALE,April-11-2018,Single Family Residential,19816 77th Pl NE,Kenmore,WA,98028,850000,5,3.0,Kenmore,2220,5677,2012,,383,,Sold,,,https://www.redfin.com/WA/Kenmore/19816-77th-Pl-NE-98028/home/45451590,NWMLS,1256040,N,Y,47.7721095,-122.2361499
PAST SALE,October-16-2020,Single Family Residential,19019 65th Ave NE,Kenmore,WA,98028,1219950,4,3.5,Kenmore,3410,12404,1989,,358,,Sold,,,https://www.redfin.com/WA/Kenmore/19019-65th-Ave-NE-98028/home/94786,NWMLS,1629453,N,Y,47.7668262,-122.2551655
PAST SALE,September-29-2022,Condo/Co-op,18210 73rd Ave NE #303,Kenmore,WA,98025,434950,2,2.0,Kenmore,1116,,1992,,390,537,Sold,,,https://www.redfin.com/WA/Kenmore/18210-73rd-Ave-NE-98028/unit-303/home/48222,NWMLS,1987871,N,Y,47.7608501,-122.2432422
PAST SALE,May-31-2022,Single Family Residential,7475 NE 146th St,Kenmore,WA,98028,940000,5,2.0,Inglewood/Inglemoor,2160,9600,1961,,435,,Sold,,,https://www.redfin.com/WA/Kenmore/7475-NE-146th-St-98028/home/276406,NWMLS,1914165,N,Y,47.7347469,-122.2414649
PAST SALE,November-19-2018,Single Family Residential,18704 58th Ave NE,Kenmore,WA,98028,765000,3,3.0,Kenmore,3110,14000,1960,,246,,Sold,,,https://www.redfin.com/WA/Kenmore/18704-58th-Ave-NE-98028/home/95186,NWMLS,1372722,N,Y,47.7645826,-122.2659964
PAST SALE,February-12-2021,Single Family Residential,7828 NE 183rd St,Kenmore,WA,98028,831700,4,2.0,Kenmore,2030,10506,1977,,410,,Sold,,,https://www.redfin.com/WA/Kenmore/7828-NE-183rd-St-98028/home/283382,NWMLS,1713988,N,Y,47.7610819,-122.235327
PAST SALE,October-12-2018,Condo/Co-op,7316 142nd Pl Unit C-3,Kirkland,WA,98034,265000,2,1.0,Inglewood/Inglemoor,992,,1978,,267,335,Sold,,,https://www.redfin.com/WA/Kirkland/7316-NE-142nd-Pl-98034/unit-C-3/home/58982,NWMLS,1330749,N,Y,47.7314161,-122.2433317
PAST SALE,April-16-2021,Condo/Co-op,17001 Inglewood Rd NE #212,Kenmore,WA,98028,406600,2,1.5,Inglewood/Inglemoor,1010,,1985,,403,414,Sold,,,https://www.redfin.com/WA/Kenmore/17001-Inglewood-Rd-NE-98028/unit-212/home/70793,NWMLS,1736618,N,Y,47.752966761,-122.2506909
PAST SALE,June-4-2021,Single Family Residential,14444 88th Ave NE,Kirkland,WA,98034,735000,3,2.0,Finn Hill,1250,7237,1980,,588,,Sold,,,https://www.redfin.com/WA/Kirkland/14444-88th-Ave-NE-98034/home/277603,NWMLS,1760005,N,Y,47.7326382,-122.2237248
PAST SALE,April-20-2020,Condo/Co-op,7711 NE 175th St Unit A312,Kenmore,WA,98028,375000,3,2.0,Kenmore,1174,,1995,,319,537,Sold,,,https://www.redfin.com/WA/Kenmore/7711-NE-175th-St-98028/unit-A312/home/22051070,NWMLS,1582496,N,Y,47.7551875,-122.2385916
PAST SALE,December-19-2019,Single Family Residential,16034 76th Pl NE,Kenmore,WA,98028,725000,4,3.5,Inglewood/Inglemoor,3900,34010,1997,,186,,Sold,,,https://www.redfin.com/WA/Kenmore/16034-76th-Pl-NE-98028/home/275554,NWMLS,1536843,N,Y,47.7453759,-122.237596
PAST SALE,December-21-2017,Single Family Residential,7026 NE 170th St,Kenmore,WA,98028,564000,4,2.0,Kenmore,2250,13315,1945,,251,,Sold,,,https://www.redfin.com/WA/Kenmore/7026-NE-170th-St-98028/home/284866,NWMLS,1193916,N,Y,47.7519972,-122.2461917
PAST SALE,February-16-2021,Condo/Co-op,7711 NE 175th St Unit F103,Kenmore,WA,98028,340000,2,2.0,Kenmore,1003,,1995,,339,438,Sold,,,https://www.redfin.com/WA/Kenmore/7711-NE-175th-St-98028/unit-F103/home/12305102,NWMLS,1716189,N,Y,47.7551875,-122.2385916
PAST SALE,April-28-2022,Condo/Co-op,7711 175th St Unit D205,Kenmore,WA,98028,460000,2,2.0,Kenmore,1003,,1995,,459,455,Sold,,,https://www.redfin.com/WA/Kenmore/7711-NE-175th-St-98028/unit-D205/home/17087869,NWMLS,1912336,N,Y,47.755869123,-122.2391494
PAST SALE,September-26-2019,Single Family Residential,7816 NE 197th Pl,Kenmore,WA,98028,710000,3,2.5,Kenmore,2500,4669,2006,,284,21,Sold,,,https://www.redfin.com/WA/Kenmore/7816-NE-197th-Pl-98028/home/8188406,NWMLS,1488182,N,Y,47.7709313,-122.2344341
PAST SALE,June-30-2021,Single Family Residential,7314 NE 162nd St,Kenmore,WA,98028,1200000,3,2.5,Kenmore,2200,18304,1979,,545,,Sold,,,https://www.redfin.com/WA/Kenmore/7314-NE-162nd-St-98028/home/275877,NWMLS,1774657,N,Y,47.7461938,-122.2426428
PAST SALE,May-26-2022,Townhouse,15929 67th Ln NE #2,Kenmore,WA,98028,710000,2,2.5,Kenmore,1818,,1991,,391,739,Sold,,,https://www.redfin.com/WA/Kenmore/15929-67th-Ln-NE-98028/unit-2/home/36653,NWMLS,1917353,N,Y,47.7440146,-122.2501299
PAST SALE,March-19-2019,Single Family Residential,19719 78th Ave NE,Kenmore,WA,98028,665000,4,2.5,Kenmore,2270,4905,2004,,293,,Sold,,,https://www.redfin.com/WA/Kenmore/19719-78th-Ave-NE-98028/home/2083119,NWMLS,1338476,N,Y,47.7715347,-122.2357932
PAST SALE,May-24-2018,Single Family Residential,7825 NE 200th St,Kenmore,WA,98028,810000,3,2.5,Kenmore,2440,4563,2008,,332,,Sold,,,https://www.redfin.com/WA/Kenmore/7825-NE-200th-St-98028/home/18659766,NWMLS,1275845,N,Y,47.7730532,-122.2343735
PAST SALE,October-1-2018,Condo/Co-op,7711 NE 175th St Unit F105,Kenmore,WA,98028,350000,2,2.0,Kenmore,1079,210392,1995,,324,440,Sold,,,https://www.redfin.com/WA/Kenmore/7711-NE-175th-St-98028/unit-F105/home/12307193,NWMLS,1342406,N,Y,47.7551875,-122.2385916
PAST SALE,November-18-2019,Single Family Residential,16343 84th Ave NE,Kenmore,WA,98028,675000,3,3.0,Inglewood/Inglemoor,2130,9924,1968,,317,,Sold,,,https://www.redfin.com/WA/Kenmore/16343-84th-Ave-NE-98028/home/284945,NWMLS,1517951,N,Y,47.7464983,-122.2290308
PAST SALE,August-7-2020,Single Family Residential,7059 NE 161st St,Kenmore,WA,98028,700000,3,3.0,Kenmore,1860,9658,1980,,376,,Sold,,,https://www.redfin.com/WA/Kenmore/7059-NE-161st-St-98028/home/275797,NWMLS,1624168,N,Y,47.7441994,-122.2456478
PAST SALE,November-15-2019,Single Family Residential,7250 NE 158th St,Kenmore,WA,98028,600000,4,3.0,Inglewood/Inglemoor,2260,13152,1961,,265,,Sold,,,https://www.redfin.com/WA/Kenmore/7250-NE-158th-St-98028/home/274748,NWMLS,1505154,N,Y,47.7432636,-122.2427537
PAST SALE,July-21-2020,Condo/Co-op,18523 68th Ave NE #201,Kenmore,WA,98028,420000,3,2.0,Kenmore,1447,,1992,,290,465,Sold,,,https://www.redfin.com/WA/Kenmore/18523-68th-Ave-NE-98028/unit-201/home/5191,NWMLS,1613752,N,Y,47.7631133,-122.2499748
PAST SALE,March-29-2022,Single Family Residential,15447 86th Ave NE,Kenmore,WA,98028,1550000,4,2.5,Moorlands,2220,8503,1993,,698,,Sold,,,https://www.redfin.com/WA/Kenmore/15447-86th-Ave-NE-98028/home/276978,NWMLS,1894327,N,Y,47.7401119,-122.2271036
PAST SALE,October-24-2022,Single Family Residential,6014 NE 181st St,Kenmore,WA,98028,1040000,3,3.0,Kenmore,2200,10803,1960,,473,5,Sold,,,https://www.redfin.com/WA/Kenmore/6014-NE-181st-St-98028/home/94503,NWMLS,1969104,N,Y,47.7595296,-122.2632288
PAST SALE,August-25-2020,Single Family Residential,7234 NE 147th Pl,Kenmore,WA,98028,799000,3,2.5,Kenmore,2227,7081,1997,,359,,Sold,,,https://www.redfin.com/WA/Kenmore/7234-NE-147th-Pl-98028/home/276942,NWMLS,1626624,N,Y,47.735816,-122.2439336
PAST SALE,May-21-2019,Single Family Residential,15123 84th Pl NE,Kenmore,WA,98028,874900,4,2.5,Kenmore,3070,4951,2003,,285,,Sold,,,https://www.redfin.com/WA/Kenmore/15123-84th-Pl-NE-98028/home/277084,NWMLS,1435503,N,Y,47.7385446,-122.2286817
