SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-16-2020,Single Family Residential,6905 119th Ave NE,Kirkland,WA,98033,1090000,4,3.0,Bridle Trails,2070,8720,1974,,527,,Sold,,,https://www.redfin.com/WA/Kirkland/6905-119th-Ave-NE-98033/home/514106,NWMLS,1649372,N,Y,47.6677696,-122.1819024
PAST SALE,,Condo/Co-op,122 State St Unit 306E,Kirkland,WA,98033,640000,1,2.0,,955,,1995,,670,,,,,https://www.redfin.com/WA/Kirkland/122-State-St-98033/unit-306E/home/67001,,,N,Y,47.6750068,-122.2020521
PAST SALE,October-3-2022,Single Family Residential,12642 NE 73rd St,Kirkland,WA,98033,1500000,4,2.5,Rose Hill,2520,10125,1967,,595,,Sold,,,https://www.redfin.com/WA/Kirkland/12642-NE-73rd-St-98033/home/514341,NWMLS,1941674,N,Y,47.6705853,-122.1702473
PAST SALE,January-29-2021,Condo/Co-op,11109 NE 124th Ln Unit B206,Kirkland,WA,98034,325000,2,1.0,Totem Lake,894,,1985,,364,496,Sold,,,https://www.redfin.com/WA/Kirkland/11109-NE-124th-Ln-98034/unit-B206/home/173495380,NWMLS,1680694,N,Y,47.7114946,-122.1924831
PAST SALE,September-21-2018,Single Family Residential,634 17th Ave,Kirkland,WA,98033,1242000,4,2.5,East Of Market,2650,7200,1990,,469,,Sold,,,https://www.redfin.com/WA/Kirkland/634-17th-Ave-98033/home/464649,NWMLS,1344113,N,Y,47.6894379,-122.196117
PAST SALE,September-29-2021,Condo/Co-op,11828 NE 80th #9,Kirkland,WA,98033,675000,2,2.5,Rose Hill,1213,,1988,,556,350,Sold,,,https://www.redfin.com/WA/Kirkland/11828-NE-80th-St-98033/unit-9/home/79,NWMLS,1810391,N,Y,47.6755681,-122.1826215
PAST SALE,May-17-2022,Single Family Residential,12013 82nd Pl NE,Kirkland,WA,98034,1600000,4,3.0,Finn Hill,1949,7704,1977,,821,,Sold,,,https://www.redfin.com/WA/Kirkland/12013-82nd-Pl-NE-98034/home/280466,NWMLS,1905413,N,Y,47.7083537,-122.2318482
PAST SALE,September-8-2021,Single Family Residential,11624 NE 74th St,Kirkland,WA,98033,939000,3,2.0,Kirkland,1450,6600,1976,,648,,Sold,,,https://www.redfin.com/WA/Kirkland/11624-NE-74th-St-98033/home/516484,NWMLS,1806072,N,Y,47.6712965,-122.184584
PAST SALE,February-7-2020,Condo/Co-op,12709 NE 116th St Unit C302,Kirkland,WA,98034,260212,1,1.0,Kirkland,732,,1981,,355,334,Sold,,,https://www.redfin.com/WA/Kirkland/12709-NE-116th-St-98034/unit-C302/home/57458,NWMLS,1553233,N,Y,47.703477,-122.1721597
PAST SALE,October-28-2021,Single Family Residential,12122 NE 109th Way,Kirkland,WA,98033,1600000,5,4.5,North Rose Hill,4010,4204,2019,,399,67,Sold,,,https://www.redfin.com/WA/Kirkland/12122-NE-109th-Way-98033/home/512505,NWMLS,1844749,N,Y,47.6980104,-122.178722
PAST SALE,January-9-2020,Townhouse,9223 122nd Ct NE #141,Kirkland,WA,98033,560000,2,2.5,North Rose Hill,1120,,1999,,500,341,Sold,,,https://www.redfin.com/WA/Kirkland/9223-122nd-Ct-NE-98033/unit-141/home/43024,NWMLS,1544054,N,Y,47.684764,-122.177873
PAST SALE,May-10-2018,Single Family Residential,11404 NE 106th Ln,Kirkland,WA,98033,1245000,4,3.5,Highlands,3130,17939,1996,,398,,Sold,,,https://www.redfin.com/WA/Kirkland/11404-NE-106th-Ln-98033/home/461623,NWMLS,1283991,N,Y,47.6952411,-122.1890813
PAST SALE,September-21-2021,Single Family Residential,14038 90th Ave NE,Kirkland,WA,98034,900000,3,3.0,Finn Hill,1650,7164,1969,,545,,Sold,,,https://www.redfin.com/WA/KIRKLAND/14038-90TH-AVE-NE-98034/home/278363,NWMLS,1829758,N,Y,47.72696,-122.220925
PAST SALE,January-16-2018,Single Family Residential,10304 NE 136 Pl,Kirkland,WA,98034,585000,3,2.0,Kirkland,1250,9625,1962,,468,,Sold,,,https://www.redfin.com/WA/Kirkland/10304-NE-136th-Pl-98034/home/458392,NWMLS,1225761,N,Y,47.7224306,-122.2040517
PAST SALE,July-22-2022,Condo/Co-op,12014 98th Ave NE #201,Kirkland,WA,98034,425000,1,1.0,Juanita,785,,1982,,541,350,Sold,,,https://www.redfin.com/WA/Kirkland/12014-98th-Ave-NE-98034/unit-201/home/47550,NWMLS,1948070,N,Y,47.7078648,-122.2094985
PAST SALE,August-20-2020,Condo/Co-op,12728 NE 144th St Unit F201,Kirkland,WA,98034,340000,2,2.0,The Ridge,935,,1983,,364,303,Sold,,,https://www.redfin.com/WA/Kirkland/12728-NE-144th-St-98034/unit-F201/home/26393,NWMLS,1628594,N,Y,47.7312769,-122.169931
PAST SALE,October-15-2021,Condo/Co-op,11308 124th Ave NE #302,Kirkland,WA,98033,540500,3,2.0,North Rose Hill,1100,,2007,,491,406,Sold,,,https://www.redfin.com/WA/Kirkland/11308-124th-Ave-NE-98033/unit-302/home/12090844,NWMLS,1830460,N,Y,47.7020662,-122.1748146
PAST SALE,June-18-2021,Single Family Residential,10637 NE 132nd Pl,Kirkland,WA,98034,875000,3,2.0,Juanita,1830,9900,1962,,478,,Sold,,,https://www.redfin.com/WA/Kirkland/10637-NE-132nd-Pl-98034/home/458528,NWMLS,1759004,N,Y,47.7189079,-122.198334
PAST SALE,June-21-2021,Single Family Residential,12105 NE 109th Way,Kirkland,WA,98033,1364000,4,3.5,North Rose Hill,3770,3714,2019,,362,67,Sold,,,https://www.redfin.com/WA/Kirkland/12105-NE-109th-Way-98033/home/171921091,NWMLS,1751584,N,Y,47.6977966,-122.17942
PAST SALE,June-3-2022,Single Family Residential,14327 110th Ave NE,Kirkland,WA,98034,1150000,3,2.0,Kirkland,1510,9825,1967,,762,,Sold,,,https://www.redfin.com/WA/Kirkland/14327-110th-Ave-NE-98034/home/458689,NWMLS,1911646,N,Y,47.7322297,-122.1941236
PAST SALE,November-3-2017,Single Family Residential,11850 NE 105th Ln,Kirkland,WA,98033,599000,3,2.0,Highlands,1230,5992,1987,,487,,Sold,,,https://www.redfin.com/WA/Kirkland/11850-NE-105th-Ln-98033/home/463944,NWMLS,1193971,N,Y,47.6938276,-122.1821078
PAST SALE,September-8-2020,Single Family Residential,12062 NE 137th Ct,Kirkland,WA,98034,725000,4,2.0,Kirkland,1419,8918,1970,,511,,Sold,,,https://www.redfin.com/WA/Kirkland/12062-NE-137th-Ct-98034/home/454066,NWMLS,1638843,N,Y,47.7238127,-122.180217
PAST SALE,May-17-2021,Townhouse,331 2nd Ave S #113,Kirkland,WA,98033,1225000,2,3.5,Downtown,2209,,1991,,555,495,Sold,,,https://www.redfin.com/WA/Kirkland/331-2nd-Ave-S-98033/unit-113/home/16517,NWMLS,1749565,N,Y,47.6739378,-122.2010034
