SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-26-2019,Townhouse,19117 Ballinger Way NE #202,Lake Forest Park,WA,98155,290000,2,2.0,Lake Forest Park,1133,,1979,,256,433,Sold,,,https://www.redfin.com/WA/Seattle/19117-Ballinger-Way-NE-98155/unit-202/home/43002,NWMLS,1429876,N,Y,47.7674756,-122.2992207
PAST SALE,June-21-2021,Single Family Residential,19505 32nd Ave NE,Lake Forest Park,WA,98155,730000,4,1.0,Lake Forest Park Estates,1480,6140,1970,,493,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/19505-32nd-Ave-NE-98155/home/91112,NWMLS,1767898,N,Y,47.7703977,-122.2950166
PAST SALE,November-5-2019,Townhouse,2801 NE 195th St #14,Lake Forest Park,WA,98155,399750,3,2.5,Lake Forest Park,1627,84105,1986,,246,473,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/2801-NE-195th-St-98155/unit-14/home/62771,NWMLS,1517256,N,Y,47.7690182,-122.2989923
PAST SALE,October-15-2021,Single Family Residential,4755 NE 178th St,Lake Forest Park,WA,98155,1050000,3,1.5,Lake Forest Park,2130,17841,1929,,493,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/4755-NE-178th-St-98155/home/92226,NWMLS,1843288,N,Y,47.7565195,-122.2755388
PAST SALE,October-29-2020,Single Family Residential,16317 28th Ave NE,Shoreline,WA,98155,556000,2,1.5,Shoreline,1020,8149,1948,,545,,Sold,,,https://www.redfin.com/WA/Shoreline/16317-28th-Ave-NE-98155/home/88978,NWMLS,1658167,N,Y,47.7467598,-122.2983858
PAST SALE,March-23-2018,Single Family Residential,18959 Forest Park Dr NE,Lake Forest Park,WA,98155,715000,3,2.5,Lake Forest Park Estates,2300,10601,1958,,311,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/18959-Forest-Park-Dr-NE-98155/home/91477,NWMLS,1244814,N,Y,47.7655501,-122.3004636
PAST SALE,February-16-2022,Single Family Residential,2814 NE 195th St,Lake Forest Park,WA,98155,950000,3,2.0,Lake Forest Park,1570,12005,1970,,605,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/2814-NE-195th-St-98155/home/91088,NWMLS,1877782,N,Y,47.7704486,-122.2989494
PAST SALE,November-22-2021,Single Family Residential,16294 39th Ave NE,Lake Forest Park,WA,98155,975000,4,2.5,Lake Forest Park,2990,9600,1947,,326,30,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/16294-39th-Ave-NE-98155/home/90142,NWMLS,1855912,N,Y,47.7482144,-122.285439
PAST SALE,January-29-2021,Single Family Residential,18944 40th Pl NE,Lake Forest Park,WA,98155,820000,5,3.0,Lake Forest Park,3750,26200,1947,,219,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/18944-40th-Pl-NE-98155/home/94169,NWMLS,1712260,N,Y,47.7664865,-122.2835983
PAST SALE,August-30-2019,Single Family Residential,5414 NE 196th St,Lake Forest Park,WA,98155,826000,5,3.0,Lake Forest Park,2960,9828,1985,,279,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/5414-NE-196th-St-98155/home/93065,NWMLS,1473275,N,Y,47.7711929,-122.2711864
PAST SALE,December-19-2018,Single Family Residential,16722 39th Ave NE,Lake Forest Park,WA,98155,655000,3,2.5,Lake Forest Park,2220,9620,1952,,295,25,Sold,,,https://www.redfin.com/WA/LAKE-FOREST-PARK/16722-39TH-AVE-NE-98155/home/90297,NWMLS,1351460,N,Y,47.74993,-122.284033
PAST SALE,June-18-2018,Single Family Residential,2016 NE 195th Pl,Lake Forest Park,WA,98155,550000,3,1.0,Lake Forest Park,1460,9750,1952,,377,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/2016-NE-195th-Pl-98155/home/91651,NWMLS,1288441,N,Y,47.7704187,-122.3070953
PAST SALE,December-20-2017,Single Family Residential,18015 25th Ave NE,Shoreline,WA,98155,846000,4,3.5,North City,3046,7879,2012,,278,,Sold,,,https://www.redfin.com/WA/Shoreline/18015-25th-Ave-NE-98155/home/25674779,NWMLS,1189428,N,Y,47.759229742,-122.304971
PAST SALE,March-3-2020,Single Family Residential,18910 18th Ave NE,Shoreline,WA,98155,550000,3,2.5,Shoreline,1580,6250,1928,,348,,Sold,,,https://www.redfin.com/WA/Shoreline/18910-18th-Ave-NE-98155/home/90395,NWMLS,1552790,N,Y,47.766075,-122.3099832
PAST SALE,October-2-2020,Single Family Residential,5324 NE 201st Pl,Lake Forest Park,WA,98155,915000,4,2.5,Lake Forest Park,2770,12300,1966,,330,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/5324-NE-201st-Pl-98155/home/93605,NWMLS,1630965,N,Y,47.7733517,-122.2725129
PAST SALE,July-28-2022,Townhouse,19108 Ballinger Way NE #108,Lake Forest Park,WA,98155,525000,3,2.5,Lake Forest Park,1330,,1980,,395,503,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/19108-Ballinger-Way-NE-98155/unit-108/home/54871,NWMLS,1946955,N,Y,47.7681093,-122.2988792
PAST SALE,August-24-2018,Single Family Residential,3711 NE 153rd St,Lake Forest Park,WA,98155,700000,3,2.0,Lake Forest Park,1470,6250,1939,,476,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/3711-NE-153rd-St-98155/home/89343,NWMLS,1323633,N,Y,47.739384,-122.2882762
PAST SALE,March-15-2019,Single Family Residential,19018 33rd Ave NE,Lake Forest Park,WA,98155,667000,4,3.0,Lake Forest Park,2250,12831,1978,,296,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/19018-33rd-Ave-NE-98155/home/90790,NWMLS,1400636,N,Y,47.7670601,-122.2937531
PAST SALE,August-30-2019,Townhouse,14662 36th Ct NE,Lake Forest Park,WA,98155,717500,4,3.5,Lake Forest Park,2120,1251,2018,,338,190,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/14662-36th-Ct-NE-98155/home/109661156,NWMLS,1468917,N,Y,47.7350705,-122.2899529
PAST SALE,November-25-2020,Single Family Residential,3612 NE 145th St,Lake Forest Park,WA,98155,679000,3,2.5,Lake Forest Park,2010,2806,2017,,338,65,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/3612-NE-145th-St-98155/home/105537715,NWMLS,1676514,N,Y,47.7339043,-122.2896205
PAST SALE,September-12-2018,Single Family Residential,20407 39th Pl NE,Lake Forest Park,WA,98155,699950,4,2.0,Lake Forest Park,2500,39000,1966,,280,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/20407-39th-Pl-NE-98155/home/94121,NWMLS,1322821,N,Y,47.7758919,-122.2877857
PAST SALE,August-26-2022,Single Family Residential,2954 NE 201st Ct,Shoreline,WA,98155,1200000,5,3.0,Ballinger,2680,7997,2018,,448,,Sold,,,https://www.redfin.com/WA/Shoreline/2954-NE-201st-Ct-98155/home/112863677,NWMLS,1962146,N,Y,47.7748568,-122.2984485
PAST SALE,July-22-2022,Single Family Residential,3029 NE 201st Pl,Lake Forest Park,WA,98155,899950,3,2.0,Lake Forest Park,1570,10106,1983,,573,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/3029-NE-201st-Pl-98155/home/91670,NWMLS,1954099,N,Y,47.774374,-122.295752
PAST SALE,December-29-2020,Townhouse,14637 36th Ct NE,Lake Forest Park,WA,98155,610000,3,2.5,Lake Forest Park,1530,955,2016,,399,190,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/14637-36th-Ct-NE-98155/home/104302238,NWMLS,1691269,N,Y,47.7346958,-122.2902575
PAST SALE,February-15-2018,Single Family Residential,19835 31st Ave NE,Lake Forest Park,WA,98155,609000,3,2.5,Lake Forest Park,2060,8242,1969,,296,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/19835-31st-Ave-NE-98155/home/90917,NWMLS,1232526,N,Y,47.7728991,-122.2964825
PAST SALE,November-30-2021,Townhouse,19228 15th Ave NE Unit A1,Shoreline,WA,98155,358010,2,1.5,North City,1046,,1981,,342,325,Sold,,,https://www.redfin.com/WA/Shoreline/19228-15th-Ave-NE-98155/unit-A1/home/68119,NWMLS,1854046,N,Y,47.7691948,-122.313576
PAST SALE,July-11-2022,Single Family Residential,1717 NE 192nd St,Shoreline,WA,98155,500000,3,2.0,North City,1160,7500,1975,,431,,Sold,,,https://www.redfin.com/WA/Shoreline/1717-NE-192nd-St-98155/home/91255,NWMLS,1955795,N,Y,47.7681521,-122.3106138
PAST SALE,May-26-2022,Single Family Residential,18737 Ballinger Way NE,Lake Forest Park,WA,98155,620000,2,1.0,Lake Forest Park,930,18550,1952,,667,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/18737-Ballinger-Way-NE-98155/home/90966,NWMLS,1918682,N,Y,47.7648998,-122.2958441
PAST SALE,March-4-2020,Condo/Co-op,2721 NE 195th St #7,Lake Forest Park,WA,98155,304000,2,2.0,Lake Forest Park,987,,1989,,308,400,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/2721-NE-195th-St-98155/unit-7/home/12307254,NWMLS,1558611,N,Y,47.7698185,-122.2998602
PAST SALE,March-15-2022,Single Family Residential,3729 NE 151st St,Lake Forest Park,WA,98155,1675000,4,3.0,Lake Forest Park,3590,11242,1965,,467,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/3729-NE-151st-St-98155/home/90041,NWMLS,1882719,N,Y,47.7382819,-122.2880291
PAST SALE,August-26-2019,Single Family Residential,19946 47th Ave NE,Lake Forest Park,WA,98155,849000,4,2.0,Horizon View,3270,11085,1965,,260,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/19946-47th-Ave-NE-98155/home/93063,NWMLS,1456423,N,Y,47.7746387,-122.2759308
PAST SALE,September-21-2021,Single Family Residential,17020 Hamlin Rd NE,Lake Forest Park,WA,98155,1600000,5,3.5,Lake Forest Park,3157,18596,2015,,507,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/17020-Hamlin-Rd-NE-98155/home/40264273,NWMLS,1813969,N,Y,47.7523164,-122.2835845
PAST SALE,October-28-2021,Single Family Residential,19236 16th Ave NE,Shoreline,WA,98155,645000,3,1.0,North City,1390,15040,1939,,464,,Sold,,,https://www.redfin.com/WA/Shoreline/19236-16th-Ave-NE-98155/home/91045,NWMLS,1842975,N,Y,47.7694457,-122.3119602
PAST SALE,August-29-2019,Single Family Residential,5429 NE 200th Pl,Lake Forest Park,WA,98155,785000,4,3.0,Shoreline,2510,8349,1968,,313,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/5429-NE-200th-Pl-98155/home/92946,NWMLS,1491567,N,Y,47.7735883,-122.2716234
PAST SALE,October-13-2020,Single Family Residential,24358 32nd Ave W,Brier,WA,98036,873000,3,2.5,Brier,1972,12632,1986,,443,,Sold,,,https://www.redfin.com/WA/Brier/24358-32nd-Ave-W-98036/home/2806657,NWMLS,1660256,N,Y,47.7776896,-122.276605
PAST SALE,October-18-2019,Townhouse,3531 NE 146th Pl,Lake Forest Park,WA,98155,530000,2,2.0,Lake Forest Park,1277,1064,2016,,415,190,Sold,,,https://www.redfin.com/WA/Shoreline/3531-NE-146th-Pl-98155/home/108382153,NWMLS,1506139,N,Y,47.7341087,-122.2905757
PAST SALE,February-26-2020,Single Family Residential,18930 Ballinger Way NE,Lake Forest Park,WA,98155,625000,3,2.0,Lake Forest Park,2270,11628,1950,,275,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/3011-NE-190th-St-98155/home/91175,NWMLS,1524627,N,Y,47.7664182,-122.2968673
PAST SALE,December-23-2019,Single Family Residential,2548 NE 168th St,Lake Forest Park,WA,98155,775000,4,3.0,Lake Forest Park,2680,30579,1940,,289,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/2548-NE-168th-St-98155/home/88380,NWMLS,1531299,N,Y,47.7499263,-122.3011437
PAST SALE,October-22-2018,Single Family Residential,16531 25th Ave NE,Shoreline,WA,98155,408000,2,1.0,Briarcrest,810,9261,1946,,504,,Sold,,,https://www.redfin.com/WA/Shoreline/16531-25th-Ave-NE-98155/home/88091,NWMLS,1291626,N,Y,47.7492101,-122.3024648
PAST SALE,November-15-2021,Condo/Co-op,3820 NE 155th Pl Unit A402,Lake Forest Park,WA,98155,514000,2,2.0,Lake Forest Park,1369,,1978,,375,526,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/3820-NE-155th-Pl-98155/unit-A402/home/45137,NWMLS,1846628,N,Y,47.7417646,-122.2865049
PAST SALE,August-16-2018,Single Family Residential,18520 26th Ave NE,Lake Forest Park,WA,98155,999990,4,2.5,Lake Forest Park,3470,15150,2007,,288,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/18520-26th-Ave-NE-98155/home/91226,NWMLS,1313515,N,Y,47.76337,-122.3002976
PAST SALE,November-20-2018,Single Family Residential,18511 43rd Ave NE,Lake Forest Park,WA,98155,757500,5,3.0,Lake Forest Park,3734,12941,1973,,203,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/18511-43rd-Ave-NE-98155/home/93987,NWMLS,1357343,N,Y,47.7630844,-122.2830533
PAST SALE,,Single Family Residential,3722 NE 151st St,Lake Forest Park,WA,98155,900000,6,3.0,,3150,7050,1979,,286,,,,,https://www.redfin.com/WA/Lake-Forest-Park/3722-NE-151st-St-98155/home/89912,,,N,Y,47.7386484,-122.2881599
PAST SALE,March-17-2022,Single Family Residential,15335 27th Ave NE,Shoreline,WA,98155,837500,3,1.0,Shoreline,1070,8152,1948,,783,,Sold,,,https://www.redfin.com/WA/Shoreline/15335-27th-Ave-NE-98155/home/86261,NWMLS,1892727,N,Y,47.7402315,-122.2996656
PAST SALE,May-29-2020,Single Family Residential,19117 30th Ave NE,Lake Forest Park,WA,98155,639000,4,3.0,Lake Forest Park,1700,6300,1977,,376,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/19117-30th-Ave-NE-98155/home/90756,NWMLS,1584914,N,Y,47.7677243,-122.2976464
PAST SALE,June-29-2020,Single Family Residential,16927 33rd Ave NE,Lake Forest Park,WA,98155,750000,3,2.0,Lake Forest Park,1940,11317,1942,,387,,Sold,,,https://www.redfin.com/WA/Lake-Forest-Park/16927-33rd-Ave-NE-98155/home/89282,NWMLS,1605419,N,Y,47.7518927,-122.293529
