SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-25-2020,Single Family Residential,20609 11th Ave W,Lynnwood,WA,98036,551000,3,2.5,Logan Park,1797,5367,2011,,307,65,Sold,,,https://www.redfin.com/WA/Lynnwood/20609-11th-Ave-W-98036/home/45390209,NWMLS,1557144,N,Y,47.8112243,-122.2481826
PAST SALE,August-15-2018,Single Family Residential,20930 59th Pl W,Lynnwood,WA,98036,439950,3,1.0,Lynnwood,960,10019,1958,,458,,Sold,,,https://www.redfin.com/WA/Lynnwood/20930-59th-Pl-W-98036/home/2702285,NWMLS,1323655,N,Y,47.8084537,-122.3136143
PAST SALE,November-25-2019,Single Family Residential,6405 170th Pl SW,Edmonds,WA,98026,533000,4,3.0,Edmonds,2446,12197,1962,,218,,Sold,,,https://www.redfin.com/WA/Edmonds/6405-170th-Pl-SW-98026/home/2750077,NWMLS,1509463,N,Y,47.8445637,-122.319859
PAST SALE,September-30-2020,Single Family Residential,16508 41st Pl W,Lynnwood,WA,98037,842500,5,3.0,Lynnwood,3623,7405,2006,,233,,Sold,,,https://www.redfin.com/WA/Lynnwood/16508-41st-Pl-W-98037/home/11880772,NWMLS,1638373,N,Y,47.848977,-122.2890172
PAST SALE,May-28-2021,Condo/Co-op,5630 200th St SW Unit B206,Lynnwood,WA,98036,285000,2,1.0,Lynnwood,929,,1969,,307,459,Sold,,,https://www.redfin.com/WA/Lynnwood/5630-200th-St-SW-98036/unit-B206/home/2781584,NWMLS,1753865,N,Y,47.8161708,-122.309296
PAST SALE,July-2-2020,Townhouse,15323 14th Pl W,Lynnwood,WA,98087,465000,3,2.5,Martha Lake,1841,1500,2005,,253,130,Sold,,,https://www.redfin.com/WA/Lynnwood/15323-14th-Pl-W-98087/home/179779849,NWMLS,1598871,N,Y,47.8584703,-122.2524702
PAST SALE,June-24-2022,Single Family Residential,817 200th Pl SW,Lynnwood,WA,98036,1150000,4,3.0,Hilltop,2815,5227,2007,,409,29,Sold,,,https://www.redfin.com/WA/Lynnwood/817-200th-Pl-SW-98036/home/12490482,NWMLS,1923381,N,Y,47.8167392,-122.2449822
PAST SALE,October-3-2018,Single Family Residential,1511 184th St SW,Lynnwood,WA,98037,599950,3,2.5,Martha Lake,1795,4356,2017,,334,39,Sold,,,https://www.redfin.com/WA/Lynnwood/1511-184th-St-SW-98037/home/113972203,NWMLS,1348766,N,Y,47.8326481,-122.2537093
PAST SALE,June-27-2019,Single Family Residential,907 177th Pl SW,Lynnwood,WA,98037,518000,4,2.5,Martha Lake,1849,3485,2002,,280,23,Sold,,,https://www.redfin.com/WA/Lynnwood/907-177th-Pl-SW-98037/home/2887015,NWMLS,1458196,N,Y,47.8373206,-122.2452525
PAST SALE,August-12-2019,Single Family Residential,18414 66th Pl W,Lynnwood,WA,98037,460000,3,1.5,Lynnwood,1409,8276,1955,,326,,Sold,,,https://www.redfin.com/WA/Lynnwood/18414-66th-Pl-W-98037/home/2702166,NWMLS,1467950,N,Y,47.8316981,-122.3222107
PAST SALE,June-15-2022,Single Family Residential,20724 24th Ave W,Lynnwood,WA,98036,970000,3,3.0,Lynnwood,2000,9583,1961,,485,,Sold,,,https://www.redfin.com/WA/Lynnwood/20724-24th-Ave-W-98036/home/2736079,NWMLS,1930457,N,Y,47.8103367,-122.2663282
PAST SALE,June-12-2020,Single Family Residential,16918 6th Ave W,Lynnwood,WA,98037,720000,5,3.0,Martha Lake,2496,9148,2011,,288,25,Sold,,,https://www.redfin.com/WA/Lynnwood/16918-6th-Ave-W-98037/home/25696187,NWMLS,1592670,N,Y,47.8444131,-122.2419615
PAST SALE,July-2-2019,Single Family Residential,1516 184th Pl SW,Lynnwood,WA,98037,630000,3,2.5,Martha Lake,2127,3920,2017,,296,39,Sold,,,https://www.redfin.com/WA/Lynnwood/1516-184th-Pl-SW-98037/home/179837942,NWMLS,1465981,N,Y,47.8307547,-122.2541217
PAST SALE,August-11-2021,Single Family Residential,16425 65th Ave W,Lynnwood,WA,98037,680000,4,2.0,Lynnwood,1578,10890,1967,,431,,Sold,,,https://www.redfin.com/WA/Lynnwood/16425-65th-Ave-W-98037/home/2763713,NWMLS,1796018,N,Y,47.849559,-122.320444
PAST SALE,June-18-2019,Single Family Residential,1617 146th St SW,Lynnwood,WA,98087,629950,4,2.5,Lynnwood,2516,5663,2003,,250,21,Sold,,,https://www.redfin.com/WA/Lynnwood/1617-146th-St-SW-98087/home/2906544,NWMLS,1425382,N,Y,47.8652996,-122.2552662
PAST SALE,October-27-2021,Condo/Co-op,15416 40th Ave W #11,Lynnwood,WA,98087,310000,2,2.0,Lynnwood,1041,,1980,,298,316,Sold,,,https://www.redfin.com/WA/Lynnwood/15416-40th-Ave-W-98087/unit-11/home/22936134,NWMLS,1834366,N,Y,47.85879,-122.2876214
PAST SALE,September-22-2022,Multi-Family (2-4 Unit),2006 211th Pl SW,Lynnwood,WA,98036,677620,3,1.75,Lynnwood,2064,8276,1961,,328,,Sold,,,https://www.redfin.com/WA/Lynnwood/2006-211th-Pl-SW-98036/home/2676049,NWMLS,1928253,N,Y,47.8067061,-122.2603827
PAST SALE,July-9-2018,Single Family Residential,18404 12th Ave W,Lynnwood,WA,98037,675000,4,3.0,Alderwood,2807,10890,1995,,240,,Sold,,,https://www.redfin.com/WA/Lynnwood/18404-12th-Ave-W-98037/home/2842940,NWMLS,1310646,N,Y,47.8313284,-122.2498993
PAST SALE,September-4-2020,Single Family Residential,5510 170th Pl SW,Lynnwood,WA,98037,645000,3,2.5,Lynnwood,1666,8276,1985,,387,,Sold,,,https://www.redfin.com/WA/Lynnwood/5510-170th-Pl-SW-98037/home/2805787,NWMLS,1637569,N,Y,47.8440394,-122.307861
