SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-4-2021,Single Family Residential,17264 SE 185th St,Renton,WA,98058,948000,4,3.0,Renton,3040,6777,2000,,312,42,Sold,,,https://www.redfin.com/WA/Renton/17264-SE-185th-St-98058/home/390503,NWMLS,1843331,N,Y,47.4364489,-122.1111878
PAST SALE,August-7-2020,Single Family Residential,17836 SE 188th Pl,Renton,WA,98058,663000,5,3.0,Spring Lake,2670,4725,2015,,248,47,Sold,,,https://www.redfin.com/WA/Renton/17836-SE-188th-Pl-98058/home/69356994,NWMLS,1630560,N,Y,47.4337076,-122.1025161
PAST SALE,August-11-2021,Single Family Residential,19215 SE 168th St,Renton,WA,98058,875000,3,2.5,Maple Valley Heights,2390,47480,2007,,366,,Sold,,,https://www.redfin.com/WA/Renton/19215-SE-168th-St-98058/home/12301126,NWMLS,1802012,N,Y,47.4516599,-122.0843214
PAST SALE,July-26-2018,Single Family Residential,18506 SE Petrovitsky Rd,Renton,WA,98058,560000,4,2.5,Fairwood,2430,18017,2005,,230,,Sold,,,https://www.redfin.com/WA/Renton/18506-SE-Petrovitsky-Rd-98058/home/391058,NWMLS,1275663,N,Y,47.4234096,-122.0943206
PAST SALE,March-26-2021,Single Family Residential,17825 SE 188th Pl,Renton,WA,98058,835000,5,3.0,Renton,2640,4000,2015,,316,47,Sold,,,https://www.redfin.com/WA/Renton/17825-SE-188th-Pl-98058/home/69356976,NWMLS,1723372,N,Y,47.4333593,-122.1028126
PAST SALE,July-3-2018,Single Family Residential,18544 173rd Way SE,Renton,WA,98058,577000,4,3.0,Renton,2790,6752,2000,,207,42,Sold,,,https://www.redfin.com/WA/Renton/18544-173rd-Way-SE-98058/home/392162,NWMLS,1303168,N,Y,47.4358264,-122.1092275
PAST SALE,November-8-2018,Single Family Residential,17706 SE 188th Pl,Renton,WA,98058,607000,5,3.0,Spring Lake,2730,5645,2016,,222,50,Sold,,,https://www.redfin.com/WA/Renton/17706-SE-188th-Pl-98058/home/106235197,NWMLS,1366051,N,Y,47.433695,-122.1058729
PAST SALE,June-25-2018,Single Family Residential,18936 179th Pl SE,Renton,WA,98058,695000,5,2.5,Spring Lake,2950,6076,2015,,236,50,Sold,,,https://www.redfin.com/WA/Renton/18936-179th-Pl-SE-98058/home/101612043,NWMLS,1265766,N,Y,47.4319979,-122.1016495
PAST SALE,September-27-2018,Single Family Residential,19416 SE 168th St,Renton,WA,98058,380000,3,1.0,Renton,1090,23958,1959,,349,,Sold,,,https://www.redfin.com/WA/Renton/19416-SE-168th-St-98058/home/390897,NWMLS,1331133,N,Y,47.4521145,-122.0813653
PAST SALE,December-3-2018,Single Family Residential,17201 194th Ave SE,Renton,WA,98058,410000,4,2.0,Renton,1880,10200,1968,,218,,Sold,,,https://www.redfin.com/WA/Renton/17201-194th-Ave-SE-98058/home/392316,NWMLS,1347988,N,Y,47.4480108,-122.083184
PAST SALE,June-29-2021,Single Family Residential,18930 179th Pl SE,Renton,WA,98058,1160000,5,3.5,Renton,3560,7353,2015,,326,47,Sold,,,https://www.redfin.com/WA/Renton/18930-179th-Pl-SE-98058/home/101612042,NWMLS,1760172,N,Y,47.4320098,-122.1014072
PAST SALE,November-5-2020,Single Family Residential,18914 SE 174th Way,Renton,WA,98058,849950,4,2.5,Fairwood,3150,20189,1990,,270,30,Sold,,,https://www.redfin.com/WA/Renton/18914-SE-174th-Way-98058/home/390575,NWMLS,1653051,N,Y,47.4469487,-122.0884256
PAST SALE,February-20-2019,Single Family Residential,17363 SE 187th St,Renton,WA,98058,659995,4,3.0,Fairwood,2740,9199,1997,,241,36,Sold,,,https://www.redfin.com/WA/Renton/17363-SE-187th-St-98058/home/391508,NWMLS,1397903,N,Y,47.4340579,-122.1086172
PAST SALE,July-25-2019,Single Family Residential,16720 SE 161st St,Renton,WA,98058,670000,4,3.0,Fairwood,3230,7246,2004,,207,48,Sold,,,https://www.redfin.com/WA/Renton/16720-SE-161st-St-98058/home/2073986,NWMLS,1431708,N,Y,47.4584253,-122.1166661
PAST SALE,March-31-2022,Single Family Residential,17747 SE 187th Pl,Renton,WA,98058,1450000,5,3.5,Renton,3510,9527,2018,,413,89,Sold,,,https://www.redfin.com/WA/Renton/17747-SE-187th-Pl-98058/home/145710285,NWMLS,1901186,N,Y,47.4340176,-122.1035681
PAST SALE,September-23-2022,Single Family Residential,17313 SE 185th Pl,Renton,WA,98058,999980,4,3.0,Fairwood,3080,6807,2000,,325,42,Sold,,,https://www.redfin.com/WA/Renton/17313-SE-185th-Pl-98058/home/391118,NWMLS,1973785,N,Y,47.4362523,-122.1089553
PAST SALE,October-14-2022,Single Family Residential,17359 SE 187th St,Renton,WA,98058,1275000,5,3.0,Fairwood,3260,7666,1997,,391,42,Sold,,,https://www.redfin.com/WA/Renton/17359-SE-187th-St-98058/home/391509,NWMLS,1984929,N,Y,47.434006,-122.1089194
PAST SALE,October-24-2018,Single Family Residential,19018 175th Pl SE Lot 35,Renton,WA,98058,784950,5,3.0,Petrovitsky,3368,5000,2018,,233,,Sold,,,https://www.redfin.com/WA/Renton/19018-SE-175th-St-98058/unit-35/home/145748980,NWMLS,1254994,N,Y,47.4454666,-122.0866148
PAST SALE,July-12-2019,Single Family Residential,17564 SE 188th Pl Lot 23,Renton,WA,98058,829950,5,4.0,Petrovitsky,3664,5000,2019,,227,,Sold,,,https://www.redfin.com/WA/Renton/17564-SE-188th-Pl-98058/unit-23/home/148730313,NWMLS,1401993,N,Y,47.4335418,-122.10596
PAST SALE,February-25-2019,Single Family Residential,18847 175th Pl SE Lot 12,Renton,WA,98058,798950,5,3.0,Petrovitsky,3368,5000,2018,,237,,Sold,,,https://www.redfin.com/WA/Renton/18847-175th-Pl-SE-98058/unit-12/home/146487907,NWMLS,1341099,N,Y,47.4320262,-122.1082472
PAST SALE,April-2-2021,Single Family Residential,18652 172nd Pl SE,Renton,WA,98058,817250,5,3.0,Fairwood,2650,7191,1998,,308,,Sold,,,https://www.redfin.com/WA/Renton/18652-172nd-Pl-SE-98058/home/392029,NWMLS,1734683,N,Y,47.4352398,-122.1111719
PAST SALE,February-22-2022,Single Family Residential,17567 SE 186th Way,Renton,WA,98058,1120000,5,3.0,Fairwood,2780,7282,1997,,403,42,Sold,,,https://www.redfin.com/WA/Renton/17567-SE-186th-Way-98058/home/391367,NWMLS,1879344,N,Y,47.4347246,-122.1060756
PAST SALE,October-26-2021,Single Family Residential,17727 SE 187th Pl,Renton,WA,98058,933000,5,3.0,Fairwood,3040,5537,2018,,307,81,Sold,,,https://www.redfin.com/WA/Renton/17727-SE-187th-Pl-98058/home/145710288,NWMLS,1844586,N,Y,47.4340667,-122.104365
PAST SALE,May-26-2022,Single Family Residential,17402 SE 196th Dr,Renton,WA,98058,829000,3,2.0,Fairwood,1070,43150,1951,,775,,Sold,,,https://www.redfin.com/WA/Renton/17402-SE-196th-Dr-98058/home/391514,NWMLS,1903722,N,Y,47.4275074,-122.1094073
