SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-18-2019,Single Family Residential,22528 SE 284th Ct,Maple Valley,WA,98038,454900,3,2.5,Maple Valley,2310,4417,2017,,197,18,Sold,,,https://www.redfin.com/WA/Maple-Valley/22528-SE-284th-Ct-98038/home/109660325,NWMLS,1400658,N,Y,47.347923,-122.040276
PAST SALE,July-19-2018,Single Family Residential,24314 SE 261st Pl,Maple Valley,WA,98038,462300,5,2.5,Maple Valley,2200,7980,1996,,210,,Sold,,,https://www.redfin.com/WA/Maple-Valley/24314-SE-261st-Pl-98038/home/374040,NWMLS,1283678,N,Y,47.3676294,-122.0167379
PAST SALE,October-7-2022,Single Family Residential,26556 221st Pl SE,Maple Valley,WA,98038,542500,3,1.5,Maple Valley,1700,7500,1968,,319,76,Sold,,,https://www.redfin.com/WA/Maple-Valley/26556-221st-Pl-SE-98038/home/368520,NWMLS,1987714,N,Y,47.363981,-122.0453512
PAST SALE,October-12-2021,Single Family Residential,18251 240th Ave SE,Maple Valley,WA,98038,1350245,4,3.5,Maple Valley,3020,184258,1998,,447,31,Sold,,,https://www.redfin.com/WA/Maple-Valley/18251-240th-Ave-SE-98038/home/424329,NWMLS,1832456,N,Y,47.4389776,-122.0236116
PAST SALE,August-12-2021,Single Family Residential,22440 SE 244th St,Maple Valley,WA,98038,570000,3,2.5,Wilderness,1610,3600,2004,,354,21,Sold,,,https://www.redfin.com/WA/Maple-Valley/22440-SE-244th-St-98038/home/373399,NWMLS,1778862,N,Y,47.3836853,-122.041073
PAST SALE,May-18-2022,Single Family Residential,24640 SE 235th Pl,Maple Valley,WA,98038,596000,2,1.0,Hobart,980,22500,1933,,608,,Sold,,,https://www.redfin.com/WA/Maple-Valley/24640-SE-235th-St-98038/home/375516,NWMLS,1922692,N,Y,47.3905771,-122.0124109
PAST SALE,July-13-2022,Single Family Residential,22403 233rd Ave SE,Maple Valley,WA,98038,750000,3,2.0,Maple Valley,1750,35100,1985,,429,75,Sold,,,https://www.redfin.com/WA/Maple-Valley/22403-233rd-Ave-SE-98038/home/375665,NWMLS,1948861,N,Y,47.4015499,-122.0313894
PAST SALE,January-8-2021,Single Family Residential,22503 SE 277th Pl,Maple Valley,WA,98038,635000,5,3.5,Maple Valley,2749,6170,2003,,231,6,Sold,,,https://www.redfin.com/WA/Maple-Valley/22503-SE-277th-Pl-98038/home/376408,NWMLS,1690919,N,Y,47.3521621,-122.0420836
PAST SALE,January-7-2021,Single Family Residential,25507 Lake Wilderness Country Club Dr,Maple Valley,WA,98038,590000,3,2.5,Lake Wilderness,1928,6945,1990,,306,12,Sold,,,https://www.redfin.com/WA/Maple-Valley/25507-Lake-Wilderness-Country-Club-Dr-SE-98038/home/146360284,NWMLS,1694646,N,Y,47.3728732,-122.0417882
PAST SALE,April-8-2019,Single Family Residential,22621 SE 206th St,Maple Valley,WA,98038,560000,2,2.0,Maple Valley,1370,218236,1938,,409,,Sold,,,https://www.redfin.com/WA/Maple-Valley/22621-SE-206th-St-98038/home/422979,NWMLS,1372790,N,Y,47.417153,-122.038771
PAST SALE,April-27-2022,Single Family Residential,23439 SE 247th Ct,Maple Valley,WA,98038,830000,4,2.5,Wilderness,1950,6641,1995,,426,30,Sold,,,https://www.redfin.com/WA/Maple-Valley/23439-SE-247th-Ct-98038/home/375681,NWMLS,1904516,N,Y,47.3807062,-122.0255293
PAST SALE,August-14-2019,Single Family Residential,21236 SE 271st Pl,Maple Valley,WA,98038,382000,3,1.5,Pipe Lake/Lake Lucerne,1560,9684,1980,,245,,Sold,,,https://www.redfin.com/WA/Maple-Valley/21236-SE-271st-Pl-98038/home/372115,NWMLS,1484665,N,Y,47.3587393,-122.0573823
PAST SALE,June-21-2018,Single Family Residential,20928 253rd Ave SE,Maple Valley,WA,98038,746000,3,2.5,Hobart,3000,37126,2004,,249,,Sold,,,https://www.redfin.com/WA/Maple-Valley/20928-253rd-Ave-SE-98038/home/2070181,NWMLS,1296346,N,Y,47.4141617,-122.0029245
