SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-3-2019,Single Family Residential,2227 78th Ave NE,Medina,WA,98039,2500000,4,3.5,Bellevue,3790,8119,2004,,660,,Sold,,,https://www.redfin.com/WA/Medina/2227-78th-Ave-NE-98039/home/251183,NWMLS,1461015,N,Y,47.6310291,-122.2364167
PAST SALE,March-16-2022,Single Family Residential,8050 NE 27th St,Medina,WA,98039,3050000,4,3.0,Medina,2817,13501,1962,,1083,,Sold,,,https://www.redfin.com/WA/Medina/8050-NE-27th-St-98039/home/250631,NWMLS,1852061,N,Y,47.6349251,-122.2310127
PAST SALE,October-4-2018,Single Family Residential,8245 NE 8th St,Medina,WA,98039,2580000,4,3.0,Medina,3586,17132,1977,,719,,Sold,,,https://www.redfin.com/WA/Medina/8245-NE-8th-St-98039/home/252852,NWMLS,1351099,N,Y,47.6171406,-122.2287772
PAST SALE,,Single Family Residential,8445 NE 9th St,Medina,WA,98039,2100000,3,3.0,,2280,12737,1954,,921,,,,,https://www.redfin.com/WA/Medina/8445-NE-9th-St-98039/home/251475,,,N,Y,47.6175724,-122.2261173
PAST SALE,June-10-2022,Single Family Residential,8816 NE 2nd Pl,Medina,WA,98039,2525000,2,2.0,Medina,2270,6600,1949,,1112,,Sold,,,https://www.redfin.com/WA/Medina/8816-NE-2nd-Pl-98039/home/251374,NWMLS,1924754,N,Y,47.6113121,-122.2250613
PAST SALE,,Single Family Residential,1013 84th Ave NE,Medina,WA,98039,3125000,4,3.0,,3500,14000,1949,,893,,,,,https://www.redfin.com/WA/Medina/1013-84th-Ave-NE-98039/home/252115,,,N,Y,47.619521,-122.2283496
PAST SALE,March-11-2020,Single Family Residential,443 86th Ave NE,Medina,WA,98039,3550000,3,2.5,Medina,2740,16200,1955,,1296,,Sold,,,https://www.redfin.com/WA/Medina/443-86th-Ave-NE-98039/home/252662,NWMLS,1577347,N,Y,47.6156054,-122.2266485
PAST SALE,,Single Family Residential,2020 Evergreen Point Rd,Medina,WA,98039,2568000,5,5.0,,4450,12177,1954,,577,,,,,https://www.redfin.com/WA/Medina/2020-Evergreen-Point-Rd-98039/home/252554,,,N,Y,47.629121,-122.238334
PAST SALE,September-14-2018,Single Family Residential,3450 Evergreen Point Rd,Medina,WA,98039,4200000,3,3.5,Medina,1720,20500,1946,,2442,,Sold,,,https://www.redfin.com/WA/Medina/3450-Evergreen-Point-Rd-98039/home/250356,NWMLS,1356095,N,Y,47.643421,-122.2383873
PAST SALE,December-22-2017,Single Family Residential,2665 Evergreen Point Rd NE,Medina,WA,98039,3770000,4,4.5,Medina,5602,20065,2001,,673,,Sold,,,https://www.redfin.com/WA/Medina/2665-Evergreen-Point-Rd-98039/home/249558,NWMLS,1171304,N,Y,47.6355873,-122.2397467
