SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-1-2022,Single Family Residential,9447 SE 52nd St,Mercer Island,WA,98040,2450000,5,2.5,Mercer Island,2780,11834,1975,,881,,Sold,,,https://www.redfin.com/WA/Mercer-Island/9447-SE-52nd-St-98040/home/257313,NWMLS,1915723,N,Y,47.5572295,-122.2108897
PAST SALE,August-10-2022,Single Family Residential,9852 Mercerwood Dr,Mercer Island,WA,98040,1560000,3,2.0,Mercerwood,1600,9640,1955,,975,,Sold,,,https://www.redfin.com/WA/Mercer-Island/9852-Mercerwood-Dr-98040/home/254895,NWMLS,1943569,N,Y,47.5736777,-122.207091
PAST SALE,October-19-2020,Condo/Co-op,2939 76th Ave SE Unit 43A,Mercer Island,WA,98040,500000,2,2.0,First Hill,918,,1977,,545,547,Sold,,,https://www.redfin.com/WA/Mercer-Island/2939-76th-Ave-SE-98040/unit-43A/home/19758,NWMLS,1653618,N,Y,47.5830947,-122.2382905
PAST SALE,May-7-2021,Single Family Residential,7875 85th Pl SE,Mercer Island,WA,98040,1811000,3,3.0,Mercer Island,2880,11602,1974,,629,,Sold,,,https://www.redfin.com/WA/Mercer-Island/7875-85th-Pl-SE-98040/home/260858,NWMLS,1698290,N,Y,47.5320937,-122.2259144
PAST SALE,June-21-2021,Condo/Co-op,2500 81st Ave SE #335,Mercer Island,WA,98040,382000,2,1.0,Mercer Island,965,,1960,,396,611,Sold,,,https://www.redfin.com/WA/Mercer-Island/2500-81st-Ave-SE-98040/unit-335/home/11982,NWMLS,1726077,N,Y,47.5885858,-122.2303564
PAST SALE,April-23-2020,Single Family Residential,4346 Island Crest Way,Mercer Island,WA,98040,1051000,3,3.0,Mercer Island,2280,10375,1967,,461,,Sold,,,https://www.redfin.com/WA/Mercer-Island/4346-Island-Crest-Way-98040/home/255487,NWMLS,1579223,N,Y,47.5676692,-122.2265357
PAST SALE,December-10-2021,Single Family Residential,4118 94th Pl SE,Mercer Island,WA,98040,2300000,6,3.5,Mercer Island,4450,11755,1974,,517,,Sold,,,https://www.redfin.com/WA/Mercer-Island/4118-94th-Pl-SE-98040/home/256673,NWMLS,1860172,N,Y,47.572566,-122.2133161
PAST SALE,October-16-2020,Single Family Residential,7706 89th Pl SE,Mercer Island,WA,98040,1675000,5,4.0,Island Terrace,3790,13795,1969,,442,,Sold,,,https://www.redfin.com/WA/Mercer-Island/7706-89th-Pl-SE-98040/home/256669,NWMLS,1670825,N,Y,47.5341912,-122.2193006
PAST SALE,August-24-2021,Single Family Residential,7282 W Mercer Way,Mercer Island,WA,98040,1950000,4,2.0,Mercer Island,2380,19800,1963,,819,,Sold,,,https://www.redfin.com/WA/Mercer-Island/7282-W-Mercer-Way-98040/home/259745,NWMLS,1806208,N,Y,47.5368558,-122.2380353
PAST SALE,October-12-2018,Condo/Co-op,2920 76th Ave SE #407,Mercer Island,WA,98040,635000,3,2.0,Mercer Island,1541,128475,1972,,412,501,Sold,,,https://www.redfin.com/WA/Mercer-Island/2920-76th-Ave-SE-98040/unit-407/home/17869,NWMLS,1363312,N,Y,47.5836499,-122.237163
