SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-20-2018,Single Family Residential,22603 60th Ave W,Mountlake Terrace,WA,98043,475000,2,1.0,Mountlake Terrace,996,7405,1953,,477,,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/22603-60th-Ave-W-98043/home/2724044,NWMLS,1310756,N,Y,47.7937872,-122.3136638
PAST SALE,December-14-2021,Single Family Residential,5701 212th St SW,Lynnwood,WA,98036,1193800,3,2.5,Lynnwood,2875,14374,2016,,415,,Sold,,,https://www.redfin.com/WA/Lynnwood/5701-212th-St-SW-98036/home/2564985,NWMLS,1854124,N,Y,47.807058,-122.3099597
PAST SALE,April-28-2021,Single Family Residential,22201 48th Ave W,Mountlake Terrace,WA,98043,650250,3,2.0,Edmonds,1400,7405,1955,,464,,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/22201-48th-Ave-W-98043/home/2724440,NWMLS,1743805,N,Y,47.7972697,-122.2973739
PAST SALE,November-15-2018,Single Family Residential,6006 225th Pl SW,Mountlake Terrace,WA,98043,365000,2,1.0,Mountlake Terrace,823,6098,1953,,443,,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/6006-225th-Pl-SW-98043/home/2723846,NWMLS,1334815,N,Y,47.7946903,-122.3147186
PAST SALE,June-25-2018,Single Family Residential,6304 227th St SW,Mountlake Terrace,WA,98043,450000,3,2.0,Mountlake Terrace,1298,9583,1954,,347,,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/6304-227th-St-SW-98043/home/2724211,NWMLS,1294994,N,Y,47.7924528,-122.319097
PAST SALE,March-14-2022,Single Family Residential,22904 47th Pl W,Mountlake Terrace,WA,98043,915000,3,1.5,Mountlake Terrace,1304,7841,1962,,702,,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/22904-47th-Pl-W-98043/home/2762527,NWMLS,1889230,N,Y,47.7904494,-122.2973445
PAST SALE,June-7-2019,Single Family Residential,22601 38th Ave W,Mountlake Terrace,WA,98043,535000,3,2.0,Mountlake Terrace,1728,10454,1963,,310,,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/22601-38th-Ave-W-98043/home/2642499,NWMLS,1438667,N,Y,47.7928655,-122.2845056
PAST SALE,February-16-2021,Condo/Co-op,23303 Lakeview Dr Unit B304,Mountlake Terrace,WA,98043,300000,1,1.0,Lake Ballinger,731,,1979,,410,298,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/23303-Lakeview-Dr-98043/unit-B304/home/2790032,NWMLS,1692426,N,Y,47.7890181,-122.3268674
PAST SALE,June-28-2019,Single Family Residential,5805 218th Pl SW,Mountlake Terrace,WA,98043,510000,4,2.0,Mountlake Terrace,1663,11761,1954,,307,,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/5805-218th-Pl-SW-98043/home/2690111,NWMLS,1448148,N,Y,47.8009336,-122.311907
PAST SALE,July-6-2018,Single Family Residential,23903 60th Ave W,Mountlake Terrace,WA,98043,425000,3,1.0,Ne Mountlake Terrace,1010,7405,1949,,421,,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/23903-60th-Ave-W-98043/home/2722029,NWMLS,1298060,N,Y,47.78169,-122.3124885
PAST SALE,November-10-2020,Single Family Residential,22301 51st Ave W,Mountlake Terrace,WA,98043,528500,3,2.0,Mountlake Terrace,1034,11761,1954,,511,,Sold,,,https://www.redfin.com/WA/Mountlake-Terrace/22301-51st-Ave-W-98043/home/2723694,NWMLS,1673574,N,Y,47.7963022,-122.3011323
