SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-27-2019,Condo/Co-op,7453 Newcastle Golf Club Rd Unit G201,Newcastle,WA,98059,308000,2,1.0,Newcastle,802,296251,1991,,384,380,Sold,,,https://www.redfin.com/WA/Newcastle/7453-Newcastle-Golf-Club-Rd-98059/unit-G201/home/70998,NWMLS,1470082,N,Y,47.536217,-122.163489
PAST SALE,October-23-2019,Townhouse,7549 129th Pl SE Unit C107,Newcastle,WA,98056,600000,3,3.0,Newcastle,1440,,2012,,417,342,Sold,,,https://www.redfin.com/WA/Newcastle/7549-129th-Pl-SE-98056/unit-C107/home/45451314,NWMLS,1516702,N,Y,47.5349529,-122.1678759
PAST SALE,August-18-2021,Single Family Residential,8633 138th Ave SE,Newcastle,WA,98059,1750000,4,5.5,Newcastle,3161,5500,2008,,554,45,Sold,,,https://www.redfin.com/WA/Newcastle/8633-138th-Ave-SE-98059/home/18661205,NWMLS,1810537,N,Y,47.5241612,-122.1567033
PAST SALE,October-12-2018,Single Family Residential,13520 SE 81st Pl,Newcastle,WA,98059,945000,4,3.5,Newcastle,2509,278606,2014,,377,105,Sold,,,https://www.redfin.com/WA/Newcastle/13520-SE-81st-Pl-98059/home/179835568,NWMLS,1331997,N,Y,47.5299108,-122.1613803
PAST SALE,January-18-2019,Single Family Residential,6459 112th Ave SE,Newcastle,WA,98056,755000,2,2.5,Newcastle,2137,97300,2001,,353,612,Sold,,,https://www.redfin.com/WA/Newcastle/6459-112th-Ave-SE-98056/home/146415025,NWMLS,1328439,N,Y,47.5445141,-122.1909152
PAST SALE,December-23-2019,Single Family Residential,12824 SE 84th St,Newcastle,WA,98056,820000,3,2.5,Olympus,2254,11971,1987,,364,9,Sold,,,https://www.redfin.com/WA/Newcastle/12824-SE-84th-St-98056/home/413100,NWMLS,1538826,N,Y,47.5276472,-122.1688117
PAST SALE,February-21-2018,Single Family Residential,8312 128th Ln SE,Newcastle,WA,98056,850000,4,3.5,Olympus,3090,12013,1988,,275,9,Sold,,,https://www.redfin.com/WA/Newcastle/8312-128th-Ln-SE-98056/home/413789,NWMLS,1230033,N,Y,47.5279703,-122.1686664
PAST SALE,October-2-2019,Single Family Residential,9051 139th Ave SE,Newcastle,WA,98059,1198000,4,3.0,Newcastle,3050,11984,2001,,393,50,Sold,,,https://www.redfin.com/WA/Newcastle/9051-139th-Ave-SE-98059/home/415786,NWMLS,1510907,N,Y,47.5211316,-122.1538379
PAST SALE,May-16-2022,Single Family Residential,5028 Lake Washington Blvd NE,Renton,WA,98056,1100000,3,3.0,Renton,1670,17644,1967,,659,,Sold,,,https://www.redfin.com/WA/Renton/5028-Lake-Washington-Blvd-NE-98056/home/417160,NWMLS,1907049,N,Y,47.5371276,-122.1928543
PAST SALE,October-4-2021,Single Family Residential,12970 SE 88th Pl,Newcastle,WA,98056,1590000,3,2.5,Newcastle,3198,7504,2012,,497,133,Sold,,,https://www.redfin.com/WA/Newcastle/12970-SE-88th-Pl-98056/home/39904299,NWMLS,1836462,N,Y,47.5235204,-122.1674725
