SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-15-2018,Single Family Residential,18394 NE 97th Ct,Redmond,WA,98052,730000,2,2.5,Avondale,1760,3591,1996,,415,208,Sold,,,https://www.redfin.com/WA/Redmond/18394-NE-97th-Ct-98052/home/445986,NWMLS,1235722,N,Y,47.686707,-122.092992
PAST SALE,May-30-2018,Single Family Residential,24337 NE 101st Ct,Redmond,WA,98053,457835,3,2.5,Redmond Ridge,1720,4045,2010,,266,75,Sold,,,https://www.redfin.com/WA/Redmond/24337-NE-101st-Ct-98053/home/28582217,NWMLS,1281520,N,Y,47.6878097,-122.015212
PAST SALE,September-16-2021,Townhouse,10304 163rd Ave NE #1,Redmond,WA,98052,1107000,3,2.5,Education Hill,2032,,2009,,545,1,Sold,,,https://www.redfin.com/WA/Redmond/10304-163rd-Ave-NE-98052/unit-1/home/21883264,NWMLS,1818651,N,Y,47.6921661,-122.1228865
PAST SALE,November-12-2020,Condo/Co-op,17301 NE 45th St #87,Redmond,WA,98052,300000,1,1.0,Overlake,712,,1968,,421,361,Sold,,,https://www.redfin.com/WA/Redmond/17301-NE-45th-St-98052/unit-87/home/64447,NWMLS,1673455,N,Y,47.6499966,-122.1095354
PAST SALE,November-3-2017,Townhouse,18581 NE 57th St Unit H,Redmond,WA,98052,599999,3,2.5,English Cove,1669,,1995,,359,400,Sold,,,https://www.redfin.com/WA/Redmond/18581-NE-57th-St-98052/unit-H/home/175886476,NWMLS,1203103,N,Y,47.6583409,-122.0933815
PAST SALE,October-9-2019,Single Family Residential,22417 NE 101st St,Redmond,WA,98053,899000,4,2.5,Redmond,2510,5092,2001,,358,62,Sold,,,https://www.redfin.com/WA/Redmond/22417-NE-101st-St-98053/home/444965,NWMLS,1505771,N,Y,47.6885237,-122.040888
PAST SALE,April-29-2021,Single Family Residential,13501 173rd Pl NE,Redmond,WA,98052,955000,3,2.0,Redmond,1440,10314,1983,,663,13,Sold,,,https://www.redfin.com/WA/Redmond/13501-173rd-Pl-NE-98052/home/450993,NWMLS,1742565,N,Y,47.7210259,-122.109948
PAST SALE,May-2-2018,Condo/Co-op,2222 152nd Ave NE #301,Redmond,WA,98052,610000,2,2.0,Overlake,1013,35982,2009,,602,318,Sold,,,https://www.redfin.com/WA/Redmond/2222-152nd-Ave-NE-98052/unit-301/home/25509973,NWMLS,1267733,N,Y,47.630573,-122.1370687
PAST SALE,December-28-2017,Single Family Residential,17110 NE 84th St,Redmond,WA,98052,721200,3,2.5,Education Hill,1750,7740,1975,,412,,Sold,,,https://www.redfin.com/WA/Redmond/17110-NE-84th-St-98052/home/324565,NWMLS,1218957,N,Y,47.677517,-122.1105179
PAST SALE,August-31-2021,Single Family Residential,9937 137th Pl NE,Kirkland,WA,98033,1870000,4,2.5,Rose Hill,2330,5250,2016,,803,,Sold,,,https://www.redfin.com/WA/Kirkland/9937-137th-Pl-NE-98033/home/105659135,NWMLS,1819313,N,Y,47.6889252,-122.1585081
PAST SALE,October-31-2019,Condo/Co-op,6858 139th Ave NE #729,Redmond,WA,98052,419000,2,2.0,Redmond,1213,461233,1972,,345,564,Sold,,,https://www.redfin.com/WA/Redmond/6858-139th-Ave-NE-98052/unit-729/home/12723,NWMLS,1520908,N,Y,47.66683729264209,-122.15402756902549
PAST SALE,September-2-2020,Single Family Residential,8081 142nd Ave NE,Redmond,WA,98052,1395000,4,3.0,Rose Hill,3376,8384,2014,,413,,Sold,,,https://www.redfin.com/WA/Redmond/8081-142nd-Ave-NE-98052/home/45451267,NWMLS,1624702,N,Y,47.675922,-122.1514888
PAST SALE,December-6-2021,Single Family Residential,9431 221st Pl NE,Redmond,WA,98053,1950000,5,3.5,Redmond Ridge,3580,6767,2003,,545,,Sold,,,https://www.redfin.com/WA/Redmond/9431-221st-Pl-NE-98053/home/445784,NWMLS,1859407,N,Y,47.684482,-122.0458162
PAST SALE,June-11-2019,Single Family Residential,17101 NE 84th St,Redmond,WA,98052,905000,6,3.0,Education Hill,2270,11115,1975,,399,,Sold,,,https://www.redfin.com/WA/Redmond/17101-NE-84th-St-98052/home/323858,NWMLS,1456960,N,Y,47.6771173,-122.1109754
PAST SALE,January-14-2022,Condo/Co-op,9009 Avondale Rd NE Unit N127,Redmond,WA,98052,485000,2,2.0,Education Hill,1094,,1987,,443,540,Sold,,,https://www.redfin.com/WA/Redmond/9009-Avondale-Rd-NE-98052/unit-N127/home/41557,NWMLS,1852506,N,Y,47.6836646,-122.1030319
PAST SALE,June-11-2018,Single Family Residential,7910 150th Ct NE,Redmond,WA,98052,950000,4,2.5,Redmond,2117,2241,2008,,449,83,Sold,,,https://www.redfin.com/WA/Redmond/7910-150th-Ct-NE-98052/home/12306648,NWMLS,1290463,N,Y,47.6743862,-122.1398748
PAST SALE,,Condo/Co-op,18010 NE 94th Ct #3,Redmond,WA,98052,620000,2,2.5,,1183,,1995,,524,,,,,https://www.redfin.com/WA/Redmond/18010-NE-94th-Ct-98052/unit-3/home/71568,,,N,Y,47.6843655,-122.1005134
