SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-22-2020,Condo/Co-op,4309 Issaquah-Pine Lake Rd SE #108,Sammamish,WA,98075,450000,2,2.0,Sammamish,1142,,2002,,394,370,Sold,,,https://www.redfin.com/WA/Issaquah/4309-Issaquah-Pine-Lake-Rd-SE-98075/unit-108/home/22307,NWMLS,1579278,N,Y,47.5687259,-122.027748
PAST SALE,October-30-2020,Single Family Residential,3105 222nd Ct SE,Sammamish,WA,98075,1225000,4,3.0,Sammamish,3280,6468,2005,,373,30,Sold,,,https://www.redfin.com/WA/Sammamish/3105-222nd-Ct-SE-98075/home/2085380,NWMLS,1659692,N,Y,47.5821909,-122.0428993
PAST SALE,December-2-2019,Single Family Residential,2505 200th Ave SE,Sammamish,WA,98075,765000,3,2.5,Sammamish,2290,14585,1981,,334,,Sold,,,https://www.redfin.com/WA/Sammamish/2505-200th-Ave-SE-98075/home/267688,NWMLS,1460264,N,Y,47.5874284,-122.0735531
PAST SALE,July-7-2022,Single Family Residential,24125 SE 47th Ct,Sammamish,WA,98029,1520000,4,2.5,Sammamish,2514,9553,1988,,605,32,Sold,,,https://www.redfin.com/WA/Issaquah/24125-SE-47th-Ct-98029/home/436954,NWMLS,1934690,Y,Y,47.5602357,-122.0180793
PAST SALE,July-26-2019,Single Family Residential,2827 223rd Pl NE,Sammamish,WA,98074,815000,3,2.5,Heritage Hills,2500,13500,1990,,326,36,Sold,,,https://www.redfin.com/WA/Sammamish/2827-223rd-Pl-NE-98074/home/266190,NWMLS,1436437,N,Y,47.6351006,-122.04043
PAST SALE,October-12-2021,Single Family Residential,2411 220th Pl NE,Sammamish,WA,98074,1257000,4,3.0,Sammamish,2940,12500,1982,,428,36,Sold,,,https://www.redfin.com/WA/Sammamish/2411-220th-Pl-NE-98074/home/264877,NWMLS,1839017,N,Y,47.6315004,-122.0460853
PAST SALE,October-13-2020,Single Family Residential,1829 231st Pl NE,Sammamish,WA,98074,1100001,4,2.5,Sammamish,2430,7534,1990,,453,27,Sold,,,https://www.redfin.com/WA/Sammamish/1829-231st-Pl-NE-98074/home/265419,NWMLS,1660873,N,Y,47.6264686,-122.030688
PAST SALE,,Single Family Residential,2109 227th Ave NE,Sammamish,WA,98074,810000,3,2.5,,2180,18832,1983,,372,,,,,https://www.redfin.com/WA/Sammamish/2109-227th-Ave-NE-98074/home/262359,,,N,Y,47.6292074,-122.0367112
PAST SALE,May-31-2022,Single Family Residential,21899 SE 5th Pl,Sammamish,WA,98074,2500000,5,4.5,Sammamish,3290,6900,2018,,760,131,Sold,,,https://www.redfin.com/WA/Sammamish/21899-SE-5th-Pl-98074/home/168846835,NWMLS,1923026,N,Y,47.60398357752104,-122.04705423191186
PAST SALE,June-28-2019,Single Family Residential,2944 277th Ter SE,Sammamish,WA,98075,949000,5,3.0,Aldarra,3470,9482,2004,,273,54,Sold,,,https://www.redfin.com/WA/Sammamish/2944-277th-Ter-SE-98075/home/2070366,NWMLS,1437360,N,Y,47.5817638,-121.9708286
PAST SALE,July-31-2018,Single Family Residential,2031 227th Ave NE,Sammamish,WA,98074,846000,3,2.5,Sammamish,2770,18732,1983,,305,,Sold,,,https://www.redfin.com/WA/Sammamish/2031-227th-Ave-NE-98074/home/262360,NWMLS,1303780,N,Y,47.6289406,-122.0367447
PAST SALE,June-18-2021,Single Family Residential,4828 243rd Cir SE,Sammamish,WA,98029,1330000,4,3.0,Sammamish,2660,6412,2013,,500,,Sold,,,https://www.redfin.com/WA/Issaquah/4828-243rd-Cir-SE-98029/home/44657045,NWMLS,1773124,N,Y,47.558103,-122.016432
PAST SALE,April-16-2018,Single Family Residential,24449 SE 42nd Pl,Issaquah,WA,98029,915000,4,2.5,Klahanie,2370,9012,1988,,386,42,Sold,,,https://www.redfin.com/WA/Issaquah/24449-SE-42nd-Pl-98029/home/440395,NWMLS,1257005,N,Y,47.56899,-122.0135379
PAST SALE,July-6-2020,Townhouse,900 228th Ave NE Unit 11A,Sammamish,WA,98074,725000,3,2.5,Sammamish,2012,,2011,,360,357,Sold,,,https://www.redfin.com/WA/Sammamish/900-228th-Ave-NE-98074/unit-11A/home/45451535,NWMLS,1590830,N,Y,47.6182913,-122.035142
PAST SALE,March-15-2021,Single Family Residential,108 206th Ave NE,Sammamish,WA,98074,1280000,2,2.5,Sammamish,3070,50965,1977,,417,,Sold,,,https://www.redfin.com/WA/Redmond/108-206th-Ave-NE-98074/home/267354,NWMLS,1725510,N,Y,47.6096665,-122.0648685
PAST SALE,June-21-2022,Single Family Residential,1920 251st Pl SE,Sammamish,WA,98075,1220000,3,2.5,Sammamish,2170,5097,2004,,562,43,Sold,,,https://www.redfin.com/WA/Sammamish/1920-251st-Pl-SE-98075/home/2083760,NWMLS,1936490,N,Y,47.5917284,-122.0035703
PAST SALE,August-31-2022,Single Family Residential,21888 SE 1st Pl,Sammamish,WA,98074,2400000,5,4.5,Sammamish,4190,6661,2017,,573,113,Sold,,,https://www.redfin.com/WA/Sammamish/21888-SE-1st-Pl-98074/home/113178751,NWMLS,1973158,N,Y,47.6079841,-122.0465188
PAST SALE,August-15-2019,Townhouse,345 227th Ln NE #137,Sammamish,WA,98074,644000,3,2.5,Sammamish,1887,,1998,,341,321,Sold,,,https://www.redfin.com/WA/Sammamish/345-227th-Ln-NE-98074/unit-137/home/25380,NWMLS,1444467,N,Y,47.6126143,-122.036536
PAST SALE,March-20-2020,Single Family Residential,21418 E Main St,Sammamish,WA,98074,800000,4,2.5,Sammamish,2190,15266,1974,,365,,Sold,,,https://www.redfin.com/WA/Sammamish/21418-E-Main-St-98074/home/268916,NWMLS,1565213,N,Y,47.6094375,-122.0535286
PAST SALE,October-26-2018,Single Family Residential,910 207th Ave NE,Sammamish,WA,98074,674500,3,2.0,Inglewood,1830,10000,1976,,369,,Sold,,,https://www.redfin.com/WA/Sammamish/910-207th-Ave-NE-98074/home/269392,NWMLS,1325050,N,Y,47.6181586,-122.0642031
PAST SALE,December-15-2020,Single Family Residential,534 Coho Walk NW,Sammamish,WA,98074,817500,4,3.5,Sammamish,2030,1488,2017,,403,95,Sold,,,https://www.redfin.com/WA/Sammamish/534-Coho-Walk-SE-98074/home/143221814,NWMLS,1684506,N,Y,47.603974,-122.034912
PAST SALE,May-13-2019,Single Family Residential,4125 239th Pl SE,Sammamish,WA,98029,798000,3,2.0,Sammamish,1940,7746,1989,,411,11,Sold,,,https://www.redfin.com/WA/Issaquah/4125-239th-Pl-SE-98029/home/440005,NWMLS,1442457,N,Y,47.5706472,-122.0205517
PAST SALE,May-12-2022,Single Family Residential,2101 220th Pl NE,Sammamish,WA,98074,1550000,3,2.5,Sammamish,2190,10147,1985,,708,25,Sold,,,https://www.redfin.com/WA/Sammamish/2101-220th-Pl-NE-98074/home/264709,NWMLS,1909548,N,Y,47.629545,-122.045914
PAST SALE,October-20-2020,Condo/Co-op,4492 248th Ln SE,Sammamish,WA,98029,560000,3,2.5,Klahanie,1445,,1996,,388,439,Sold,,,https://www.redfin.com/WA/Issaquah/4492-248th-Ln-SE-98029/home/18474,NWMLS,1664193,N,Y,47.5652263,-122.0067873
