SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-24-2022,Condo/Co-op,15165 Sunwood Blvd Unit CC32,Tukwila,WA,98188,298000,1,1.0,Tukwila,700,,1980,,426,354,Sold,,,https://www.redfin.com/WA/Tukwila/15165-Sunwood-Blvd-98188/unit-CC32/home/65941,NWMLS,1935525,N,Y,47.4665478,-122.2589938
PAST SALE,October-1-2018,Single Family Residential,12845 78th Ave S,Seattle,WA,98178,525000,4,3.0,Seattle,1768,8625,1955,,297,,Sold,,,https://www.redfin.com/WA/Seattle/12845-78th-Ave-S-98178/home/195702,NWMLS,1340417,N,Y,47.4871369,-122.2361081
PAST SALE,August-5-2022,Condo/Co-op,15140 65th Ave #204,Tukwila,WA,98188,249950,2,1.0,Southcenter,913,,1968,,274,450,Sold,,,https://www.redfin.com/WA/Tukwila/15140-65th-Ave-S-98188/unit-204/home/146212175,NWMLS,1957807,N,Y,47.465896,-122.2529439
PAST SALE,December-31-2018,Single Family Residential,5102 S 136th St,Tukwila,WA,98168,461000,5,3.0,Tukwila,2840,8728,2000,,162,,Sold,,,https://www.redfin.com/WA/Tukwila/5102-S-136th-St-98168/home/343735,NWMLS,1334617,N,Y,47.481403,-122.2701009
PAST SALE,August-11-2021,Single Family Residential,7232 S 135th St,Seattle,WA,98178,825000,3,2.0,Seattle,2360,23300,1973,,350,,Sold,,,https://www.redfin.com/WA/Seattle/7232-S-135th-St-98178/home/197070,NWMLS,1790552,N,Y,47.4828305,-122.2422768
PAST SALE,March-4-2022,Single Family Residential,5622 S 150th St,Tukwila,WA,98188,755000,4,2.5,Tukwila,2367,6578,2000,,319,,Sold,,,https://www.redfin.com/WA/Tukwila/5622-S-150th-St-98188/home/343913,NWMLS,1882406,N,Y,47.4693087,-122.2637764
PAST SALE,August-16-2022,Single Family Residential,4426 S 137th St,Tukwila,WA,98168,645000,2,2.0,Foster,1250,8400,1928,,516,,Sold,,,https://www.redfin.com/WA/Tukwila/4426-S-137th-St-98168/home/192528,NWMLS,1950374,N,Y,47.4806697,-122.2775876
PAST SALE,January-28-2022,Condo/Co-op,15340 Macadam Rd S Unit B303,Tukwila,WA,98188,325000,2,2.0,Tukwila,1082,,1997,,300,354,Sold,,,https://www.redfin.com/WA/Tukwila/15340-Macadam-Rd-S-98188/unit-B303/home/176260215,NWMLS,1857433,N,Y,47.4662543,-122.2634618
PAST SALE,September-8-2022,Townhouse,13005 64th Ave S Unit A104,Seattle,WA,98178,405000,2,2.5,Skyway,1190,,2006,,340,215,Sold,,,https://www.redfin.com/WA/Seattle/13005-64th-Ave-S-98178/unit-A104/home/12306296,NWMLS,1979035,N,Y,47.4866484,-122.254624
PAST SALE,December-8-2020,Single Family Residential,4815 S 136th St,Tukwila,WA,98168,735000,6,3.0,Tukwila,2930,8442,2017,,251,,Sold,,,https://www.redfin.com/WA/Tukwila/4815-S-136th-St-98168/home/22458825,NWMLS,1672725,N,Y,47.4811531,-122.2742875
PAST SALE,November-18-2020,Single Family Residential,4632 S 164th St,Tukwila,WA,98188,495000,3,2.0,SeaTac,1580,9148,1976,,313,,Sold,,,https://www.redfin.com/WA/Tukwila/4632-S-164th-St-98188/home/194159,NWMLS,1660002,N,Y,47.4564829,-122.2751163
PAST SALE,July-8-2020,Single Family Residential,7005 S 128th St,Seattle,WA,98178,531487,3,2.0,Seattle,1580,7150,1967,,336,,Sold,,,https://www.redfin.com/WA/Seattle/7005-S-128th-St-98178/home/196818,NWMLS,1609856,N,Y,47.4882333,-122.2460034
PAST SALE,June-9-2022,Single Family Residential,12656 74th Pl S,Seattle,WA,98178,499950,2,1.0,Campbell Hill,900,7250,1943,,556,,Sold,,,https://www.redfin.com/WA/Seattle/12656-74th-Pl-S-98178/home/196625,NWMLS,1913165,N,Y,47.4896403,-122.2395174
PAST SALE,October-11-2022,Single Family Residential,7022 S 127th St,Seattle,WA,98178,750000,3,3.0,Seattle,2240,11536,1943,,335,,Sold,,,https://www.redfin.com/WA/Seattle/7022-S-127th-St-98178/home/195727,NWMLS,1984768,N,Y,47.4886225,-122.2450139
PAST SALE,January-29-2021,Condo/Co-op,7035 S 133rd St Unit C100,Seattle,WA,98178,245000,2,2.0,Seattle,1100,214982,2006,,223,305,Sold,,,https://www.redfin.com/WA/Seattle/7035-S-133rd-St-98178/unit-C100/home/11904138,NWMLS,1697316,N,Y,47.483087,-122.244752
PAST SALE,December-15-2021,Condo/Co-op,12424 74th Ln S #7,Seattle,WA,98178,295500,3,1.5,Skyway,1245,,1980,,237,379,Sold,,,https://www.redfin.com/WA/Seattle/12424-74th-Ln-S-98178/unit-7/home/17079424,NWMLS,1862693,N,Y,47.4926524,-122.2415738
PAST SALE,March-20-2020,Single Family Residential,12624 70th Ave S,Seattle,WA,98178,397000,2,1.0,Skyway,710,6960,1943,,559,,Sold,,,https://www.redfin.com/WA/Seattle/12624-70th-Ave-S-98178/home/196671,NWMLS,1566759,N,Y,47.4886062,-122.2464365
PAST SALE,December-20-2019,Single Family Residential,15646 47th Ave S,Tukwila,WA,98188,375000,3,1.0,Tukwila,1270,9840,1928,,295,,Sold,,,https://www.redfin.com/WA/Tukwila/15646-47th-Ave-S-98188/home/195050,NWMLS,1541499,N,Y,47.4620417,-122.27484
PAST SALE,August-26-2021,Condo/Co-op,4006 S 158th St Unit A,Tukwila,WA,98188,240500,2,1.5,Tukwila,966,,1979,,249,386,Sold,,,https://www.redfin.com/WA/Tukwila/4006-S-158th-St-98188/unit-A/home/41817,NWMLS,1814698,N,Y,47.4617947,-122.2836596
PAST SALE,May-27-2021,Single Family Residential,14759 62nd Ave S,Tukwila,WA,98168,552000,4,2.0,Tukwila,1960,10345,1957,,282,,Sold,,,https://www.redfin.com/WA/Tukwila/14759-62nd-Ave-S-98168/home/344039,NWMLS,1757766,N,Y,47.4702275,-122.2580045
PAST SALE,August-12-2022,Single Family Residential,4460 S 156th St,Tukwila,WA,98188,581000,3,1.0,Tukwila,1310,43302,1952,,444,,Sold,,,https://www.redfin.com/WA/Tukwila/4460-S-156th-St-98188/home/195098,NWMLS,1963640,N,Y,47.4638291,-122.2763129
PAST SALE,June-29-2022,Single Family Residential,7811 S 132nd St,Seattle,WA,98178,1250000,4,3.5,Seattle,3480,29400,2019,,359,,Sold,,,https://www.redfin.com/WA/Tukwila/7811-S-132nd-St-98178/home/22686240,NWMLS,1934971,N,Y,47.4846485,-122.2348206
