SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-8-2021,Single Family Residential,1331 N 180th St,Shoreline,WA,98133,923000,4,2.5,Shoreline,1950,10577,1963,,473,,Sold,,,https://www.redfin.com/WA/Shoreline/1331-N-180th-St-98133/home/83783,NWMLS,1738605,N,Y,47.7591285,-122.3418563
PAST SALE,June-20-2019,Condo/Co-op,1447 NE 166th Ct #1,Shoreline,WA,98155,535000,3,2.5,North City,1663,44842,2002,,322,421,Sold,,,https://www.redfin.com/WA/Shoreline/1447-NE-166th-Ct-98155/unit-1/home/23370,NWMLS,1459654,N,Y,47.7494613,-122.3138031
PAST SALE,October-19-2021,Single Family Residential,18309 Wallingford Ave N,Shoreline,WA,98133,762500,3,3.0,Meridian Park,1560,8096,1952,,489,,Sold,,,https://www.redfin.com/WA/Shoreline/18309-Wallingford-Ave-N-98133/home/83062,NWMLS,1815112,N,Y,47.7617807,-122.3379362
PAST SALE,,Single Family Residential,811 NE 189th St,Shoreline,WA,98155,500000,3,1.0,,940,7913,1948,,532,,,,,https://www.redfin.com/WA/Shoreline/811-NE-189th-St-98155/home/84922,,,N,Y,47.7656898,-122.3210268
PAST SALE,July-2-2020,Single Family Residential,17518 Fremont Ave N,Shoreline,WA,98133,740000,3,2.0,Richmond Highlands,1950,9000,1951,,379,,Sold,,,https://www.redfin.com/WA/Shoreline/17518-Fremont-Ave-N-98133/home/80779,NWMLS,1601456,N,Y,47.7565626,-122.3507804
PAST SALE,,Single Family Residential,14346 Densmore Ave N,Seattle,WA,98133,495000,2,1.0,,800,4758,1952,,619,,,,,https://www.redfin.com/WA/Seattle/14346-Densmore-Ave-N-98133/home/102929,,,N,Y,47.7337317,-122.3384166
PAST SALE,,Single Family Residential,919 NE 180th St,Shoreline,WA,98155,500000,2,1.0,,670,6000,1953,,746,,,,,https://www.redfin.com/WA/Shoreline/919-NE-180th-St-98155/home/84736,,,N,Y,47.7593144,-122.3193212
PAST SALE,August-27-2019,Condo/Co-op,19643 15th Ave NE,Shoreline,WA,98155,410000,2,2.5,Shoreline,1584,36045,1991,,259,425,Sold,,,https://www.redfin.com/WA/Shoreline/19643-15th-Ave-NE-98155/home/179783288,NWMLS,1488558,N,Y,47.7713173,-122.3137209
PAST SALE,September-3-2021,Single Family Residential,15021 12th Ave NE,Shoreline,WA,98155,638000,3,1.0,Ridgecrest,1130,7800,1964,,565,,Sold,,,https://www.redfin.com/WA/Shoreline/15021-12th-Ave-NE-98155/home/87878,NWMLS,1806803,N,Y,47.7382019,-122.3159178
PAST SALE,March-25-2022,Single Family Residential,15826 14th Ave NE,Shoreline,WA,98155,875000,3,1.5,Ridgecrest,1180,6907,1952,,742,,Sold,,,https://www.redfin.com/WA/Shoreline/15826-14th-Ave-NE-98155/home/86729,NWMLS,1889892,N,Y,47.7444814,-122.3140803
PAST SALE,October-8-2020,Single Family Residential,14646 9th Pl NE,Shoreline,WA,98155,831000,3,2.5,Shoreline,2070,6884,1960,,401,,Sold,,,https://www.redfin.com/WA/Shoreline/14646-9th-Pl-NE-98155/home/87774,NWMLS,1655978,N,Y,47.7353955,-122.3185388
PAST SALE,June-17-2019,Single Family Residential,15422 5th Ave NE,Shoreline,WA,98155,475000,4,1.0,Shoreline,1310,7440,1941,,363,,Sold,,,https://www.redfin.com/WA/Shoreline/15422-5th-Ave-NE-98155/home/87710,NWMLS,1437265,N,Y,47.7409786,-122.3233307
PAST SALE,April-22-2022,Condo/Co-op,18827 Firlands Way N,Shoreline,WA,98133,935000,3,2.0,Hillwood,1630,,1955,,574,,Sold,,,https://www.redfin.com/WA/Shoreline/18827-Firlands-Way-N-98133/home/21883494,NWMLS,1912825,N,Y,47.765855,-122.3496714
PAST SALE,April-13-2022,Single Family Residential,1235 N 173rd St,Shoreline,WA,98133,822500,3,2.0,Meridian Park,1110,7000,1955,,741,,Sold,,,https://www.redfin.com/WA/Shoreline/1235-N-173rd-St-98133/home/83163,NWMLS,1902463,N,Y,47.7539606,-122.3419055
PAST SALE,,Single Family Residential,14700 Burke Ave N,Shoreline,WA,98133,600000,5,3.0,,3400,8970,1959,,176,,,,,https://www.redfin.com/WA/Shoreline/14700-Burke-Ave-N-98133/home/81267,,,N,Y,47.7357847,-122.335153
PAST SALE,July-8-2022,Single Family Residential,1358 N 167th St,Shoreline,WA,98133,840000,3,2.5,Meridian Park,1282,10492,1912,,655,,Sold,,,https://www.redfin.com/WA/Shoreline/1358-N-167th-St-98133/home/83141,NWMLS,1946943,N,Y,47.7507559,-122.3403587
PAST SALE,March-27-2019,Single Family Residential,535 NW 203rd St,Shoreline,WA,98177,710000,5,3.0,Richmond Beach,2940,7980,1968,,241,,Sold,,,https://www.redfin.com/WA/Shoreline/535-NW-203rd-St-98177/home/77625,NWMLS,1415368,N,Y,47.7762272,-122.3654086
PAST SALE,February-27-2020,Townhouse,730 N 161st Pl #15,Shoreline,WA,98133,375000,2,1.5,Shoreline,1321,,1979,,284,498,Sold,,,https://www.redfin.com/WA/Seattle/730-N-161st-Pl-98133/unit-15/home/39910,NWMLS,1552618,N,Y,47.7463652,-122.3508731
PAST SALE,June-8-2021,Single Family Residential,16336 Dayton Ave N,Shoreline,WA,98133,775000,3,3.0,Shoreline,2260,9658,1983,,343,,Sold,,,https://www.redfin.com/WA/Shoreline/16336-Dayton-Ave-N-98133/home/80755,NWMLS,1720535,N,Y,47.7480726,-122.3530938
PAST SALE,August-10-2021,Single Family Residential,1554 NE 172nd St,Shoreline,WA,98155,625000,2,2.0,North City,1350,7200,1947,,463,,Sold,,,https://www.redfin.com/WA/Shoreline/1554-NE-172nd-St-98155/home/88604,NWMLS,1801208,N,Y,47.7542443,-122.3110175
PAST SALE,September-9-2021,Townhouse,1540 NE 175th St Unit G,Shoreline,WA,98155,766000,4,2.5,North City,2067,1977,2019,,371,,Sold,,,https://www.redfin.com/WA/Shoreline/1540-NE-175th-St-98155/unit-G/home/170079866,NWMLS,1818415,N,Y,47.7560533,-122.31168
PAST SALE,March-24-2022,Single Family Residential,1108 NW 200th St,Shoreline,WA,98177,1200000,4,3.0,Shoreline,2990,7900,1968,,401,,Sold,,,https://www.redfin.com/WA/Shoreline/1108-NW-200th-St-98177/home/75402,NWMLS,1885959,N,Y,47.7743448,-122.3700141
PAST SALE,July-29-2020,Single Family Residential,1670 NW 204th St,Shoreline,WA,98177,745000,3,2.0,Richmond Beach,1940,8222,1958,,384,,Sold,,,https://www.redfin.com/WA/Shoreline/1670-NW-204th-St-98177/home/75597,NWMLS,1612605,N,Y,47.7770849,-122.3791676
PAST SALE,July-31-2020,Townhouse,839 N 145th Ln,Shoreline,WA,98133,440000,2,1.5,Shoreline,1220,659,2006,,361,100,Sold,,,https://www.redfin.com/WA/Shoreline/839-N-145th-Ln-98133/home/8189495,NWMLS,1607088,N,Y,47.7346404,-122.34709
PAST SALE,December-5-2019,Single Family Residential,20133 6th Pl NE,Shoreline,WA,98155,500000,3,2.0,Shoreline,1570,7199,1955,,318,,Sold,,,https://www.redfin.com/WA/Shoreline/20133-6th-Pl-NE-98155/home/79082,NWMLS,1536749,N,Y,47.77595,-122.3241728
PAST SALE,November-22-2021,Single Family Residential,17819 4th Ave NW,Shoreline,WA,98177,1435000,5,3.0,Richmond Highlands,2720,11700,1963,,528,,Sold,,,https://www.redfin.com/WA/Shoreline/17819-4th-Ave-NW-98177/home/75767,NWMLS,1860774,N,Y,47.7588544,-122.3622039
PAST SALE,May-10-2021,Single Family Residential,2125 N 150th St,Shoreline,WA,98133,985100,3,2.0,Parkwood,1480,10551,1951,,666,,Sold,,,https://www.redfin.com/WA/Shoreline/2125-N-150th-St-98133/home/81949,NWMLS,1750922,N,Y,47.7376102,-122.3333093
PAST SALE,April-9-2021,Condo/Co-op,15208 Dayton Ave N,Shoreline,WA,98133,1307000,5,3.0,Shoreline,2714,5138,2019,,482,32,Sold,,,https://www.redfin.com/WA/Shoreline/15208-Dayton-Ave-N-98133/home/82603,NWMLS,1737058,N,Y,47.7393612,-122.3522505
PAST SALE,September-2-2021,Single Family Residential,15575 12th Ave NE,Shoreline,WA,98155,716000,3,2.0,Ridgecrest,1410,7020,1950,,508,,Sold,,,https://www.redfin.com/WA/Shoreline/15575-12th-Ave-NE-98155/home/86359,NWMLS,1818423,N,Y,47.7433611,-122.316003
PAST SALE,October-9-2020,Single Family Residential,1701 N 204th Pl,Shoreline,WA,98133,624995,4,2.0,Shoreline,1920,9389,1960,,326,,Sold,,,https://www.redfin.com/WA/Shoreline/1701-N-204th-Pl-98133/home/79073,NWMLS,1652784,N,Y,47.7770899,-122.339098
PAST SALE,March-25-2022,Single Family Residential,149 NE 193rd St,Shoreline,WA,98155,970000,3,2.0,Echo Lake,1340,8846,1958,,724,,Sold,,,https://www.redfin.com/WA/Shoreline/149-NE-193rd-St-98155/home/80211,NWMLS,1886011,N,Y,47.7688616,-122.32759
PAST SALE,August-30-2018,Single Family Residential,1809 N 203rd St,Shoreline,WA,98133,680000,4,3.0,Shoreline,2240,10500,1969,,304,,Sold,,,https://www.redfin.com/WA/Shoreline/1809-N-203rd-St-98133/home/80164,NWMLS,1324820,N,Y,47.7757992,-122.337605
PAST SALE,August-16-2019,Condo/Co-op,1475 N 200th St #302,Shoreline,WA,98133,224500,1,1.0,Shoreline,535,15000,1990,,420,260,Sold,,,https://www.redfin.com/WA/Shoreline/1475-N-200th-St-98133/unit-302/home/12537289,NWMLS,1486113,N,Y,47.773931,-122.3419667
PAST SALE,July-27-2018,Single Family Residential,2120 N 158th St,Shoreline,WA,98133,585000,3,2.0,Shoreline,1390,8174,1952,,421,,Sold,,,https://www.redfin.com/WA/Shoreline/2120-N-158th-St-98133/home/82415,NWMLS,1326336,N,Y,47.743916,-122.3335928
