SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-26-2022,Condo/Co-op,2424 41st St #556,Tacoma,WA,98409,380000,3,3.0,Tacoma,1302,,2008,,292,504,Sold,,,https://www.redfin.com/WA/Tacoma/2424-S-41st-St-98409/unit-556/home/175734909,NWMLS,1974883,N,Y,47.2201688,-122.4671645
PAST SALE,August-18-2020,Single Family Residential,4609 S L St,Tacoma,WA,98408,324000,2,1.0,Lincoln,1177,6500,1900,,275,,Sold,,,https://www.redfin.com/WA/Tacoma/4609-S-L-St-98408/home/2979285,NWMLS,1631866,N,Y,47.2148182,-122.449153
PAST SALE,February-27-2020,Single Family Residential,5019 162nd St Ct E,Tacoma,WA,98446,451000,3,2.0,Puyallup,2012,42000,1979,,224,,Sold,,,https://www.redfin.com/WA/Tacoma/5019-162nd-St-Ct-E-98446/home/2802562,NWMLS,1558029,N,Y,47.10913,-122.362319
PAST SALE,November-19-2020,Single Family Residential,8039 S Thompson Ave,Tacoma,WA,98408,425000,4,2.0,Tacoma,1792,3982,2018,,237,,Sold,,,https://www.redfin.com/WA/Tacoma/8039-S-Thompson-Ave-98408/home/145563411,NWMLS,1675962,N,Y,47.1831153,-122.4436609
PAST SALE,December-23-2021,Vacant Land,3622 45th St NE,Tacoma,WA,98422,315000,,,Ne Tacoma,,13728,,,,,Sold,,,https://www.redfin.com/WA/Tacoma/3622-45th-St-NE-98422/home/23044975,NWMLS,1752771,N,Y,47.297802,-122.397493
PAST SALE,August-5-2022,Single Family Residential,1614 N Cheyenne St,Tacoma,WA,98406,654000,4,2.5,North Tacoma,1774,5675,1993,,369,,Sold,,,https://www.redfin.com/WA/Tacoma/1614-N-Cheyenne-St-98406/home/2964059,NWMLS,1956760,N,Y,47.2652112,-122.4994954
PAST SALE,December-1-2021,Single Family Residential,5721 15th Street Ct NE,Tacoma,WA,98422,670000,5,2.5,Browns Point,2377,9090,2017,,282,,Sold,,,https://www.redfin.com/WA/Tacoma/5721-15th-St-Ct-NE-98422/home/112478993,NWMLS,1858114,N,Y,47.2714969,-122.3510167
PAST SALE,March-8-2022,Single Family Residential,6022 Vickery Ave E,Tacoma,WA,98443,485000,4,2.0,Tacoma,2556,33450,1965,,190,,Sold,,,https://www.redfin.com/WA/Tacoma/6022-Vickery-Ave-E-98443/home/2599213,NWMLS,1865622,N,Y,47.2019148,-122.3788915
PAST SALE,August-12-2022,Single Family Residential,2307 64th Ave NE,Tacoma,WA,98422,510000,3,2.0,Ne Tacoma,1352,8276,1994,,377,,Sold,,,https://www.redfin.com/WA/Tacoma/2307-64th-Ave-NE-98422/home/2633423,NWMLS,1972639,N,Y,47.2773155,-122.3618379
PAST SALE,July-11-2022,Single Family Residential,3701 Broadmoor Dr NE,Tacoma,WA,98422,870000,4,2.5,Browns Point,3066,10640,2000,,284,34,Sold,,,https://www.redfin.com/WA/Tacoma/3701-Broadmoor-Dr-NE-98422/home/2865045,NWMLS,1948772,N,Y,47.2907137,-122.3883774
PAST SALE,January-27-2021,Single Family Residential,503 120th St S,Parkland,WA,98444,385000,6,3.0,Parkland,1936,5000,2010,,199,,Sold,,,https://www.redfin.com/WA/Tacoma/503-120th-St-S-98444/home/23421824,NWMLS,1689396,N,Y,47.1485668,-122.4384986
PAST SALE,December-8-2021,Condo/Co-op,1501 Tacoma Ave S #410,Tacoma,WA,98402,320000,1,1.0,Tacoma,745,,2006,,430,286,Sold,,,https://www.redfin.com/WA/Tacoma/1501-Tacoma-Ave-S-98402/unit-410/home/11886889,NWMLS,1858481,N,Y,47.2481913,-122.4429422
PAST SALE,August-18-2022,Single Family Residential,1452 S Junett St,Tacoma,WA,98405,525000,3,1.0,Tacoma,2175,6480,1950,,241,,Sold,,,https://www.redfin.com/WA/Tacoma/1452-S-Junett-St-98405/home/2919926,NWMLS,1964014,N,Y,47.2471939,-122.4750042
PAST SALE,June-29-2021,Single Family Residential,5113 S 11th St,Tacoma,WA,98465,409950,3,1.0,Delong Park,1062,5000,1968,,386,,Sold,,,https://www.redfin.com/WA/Tacoma/5113-S-11th-St-98465/home/2987729,NWMLS,1768040,N,Y,47.2516258,-122.5059511
PAST SALE,October-18-2021,Single Family Residential,4540 S K St,Tacoma,WA,98418,410000,3,1.0,Tacoma,1507,4810,1914,,272,,Sold,,,https://www.redfin.com/WA/Tacoma/4540-S-K-St-98418/home/2979159,NWMLS,1839852,N,Y,47.2153653,-122.4482317
PAST SALE,September-10-2021,Single Family Residential,4506 N 15th St,Tacoma,WA,98406,485000,3,2.0,North Tacoma,1130,6000,1942,,429,,Sold,,,https://www.redfin.com/WA/Tacoma/4506-N-15th-St-98406/home/2964347,NWMLS,1792071,N,Y,47.2634,-122.4981947
PAST SALE,June-1-2021,Single Family Residential,2807 173rd St E,Tacoma,WA,98445,545000,4,2.5,Tacoma,2098,7000,1998,,260,25,Sold,,,https://www.redfin.com/WA/Tacoma/2807-173rd-St-E-98445/home/2870870,NWMLS,1750622,N,Y,47.1002347,-122.3909658
PAST SALE,November-29-2021,Single Family Residential,1112 51st St NE,Tacoma,WA,98422,999000,4,2.5,Browns Point,2890,11926,1989,,346,,Sold,,,https://www.redfin.com/WA/Tacoma/1112-51st-St-NE-98422/home/2630635,NWMLS,1858203,N,Y,47.3024938,-122.4330799
PAST SALE,September-23-2022,Multi-Family (2-4 Unit),110 117th St S,Tacoma,WA,98444,510000,4,2.0,Parkland,1972,6900,1958,,259,,Sold,,,https://www.redfin.com/WA/Parkland/110-117th-St-S-98444/home/2560726,NWMLS,1954179,N,Y,47.150185,-122.432461
PAST SALE,December-23-2020,Single Family Residential,6923 50th Ave E,Tacoma,WA,98443,376000,3,1.0,Tacoma,1157,25300,1956,,325,,Sold,,,https://www.redfin.com/WA/Tacoma/6923-50th-Ave-E-98443/home/2601551,NWMLS,1687057,N,Y,47.1937976,-122.3621063
PAST SALE,November-10-2021,Single Family Residential,4317 S D St,Tacoma,WA,98418,349000,3,1.0,Tacoma,907,3200,1941,,385,,Sold,,,https://www.redfin.com/WA/Tacoma/4317-S-D-St-98418/home/2962411,NWMLS,1826947,N,Y,47.2176418,-122.4356811
PAST SALE,June-10-2022,Single Family Residential,5614 N 39th St,Tacoma,WA,98407,599950,3,2.0,North Tacoma,1282,6964,1981,,468,,Sold,,,https://www.redfin.com/WA/Tacoma/5614-N-39th-St-98407/home/2851062,NWMLS,1927437,N,Y,47.2840614,-122.5126747
PAST SALE,June-26-2020,Single Family Residential,1530 S Sprague Ave,Tacoma,WA,98405,356900,2,1.0,Tacoma,864,5415,1951,,413,,Sold,,,https://www.redfin.com/WA/Tacoma/1530-S-Sprague-Ave-98405/home/2922724,NWMLS,1600451,N,Y,47.2454498,-122.4631995
PAST SALE,May-19-2022,Single Family Residential,7401 E G St,Tacoma,WA,98404,490000,3,2.0,Tacoma,1703,7200,1995,,288,,Sold,,,https://www.redfin.com/WA/Tacoma/7401-E-G-St-98404/home/2821425,NWMLS,1908008,N,Y,47.1901525,-122.4219766
PAST SALE,October-13-2021,Single Family Residential,2430 N Narrows Dr,Tacoma,WA,98406,730000,4,2.5,Narrows,2908,7535,1959,,251,,Sold,,,https://www.redfin.com/WA/Tacoma/2430-N-Narrows-Dr-98406/home/2923045,NWMLS,1812073,N,Y,47.2710011,-122.5302528
PAST SALE,September-22-2020,Single Family Residential,918 S Verde St,Tacoma,WA,98405,420000,4,2.0,Tacoma,1868,8250,1927,,225,,Sold,,,https://www.redfin.com/WA/Tacoma/918-S-Verde-St-98405/home/2946362,NWMLS,1646990,N,Y,47.2519141,-122.4982086
PAST SALE,February-25-2021,Single Family Residential,10505 25th Ave E,Tacoma,WA,98445,370000,2,1.0,Midland,936,20800,1954,,395,,Sold,,,https://www.redfin.com/WA/Tacoma/10505-25th-Ave-E-98445/home/3003336,NWMLS,1718949,N,Y,47.1606758,-122.3958299
PAST SALE,July-18-2022,Single Family Residential,3320 Laurelwood Cir NE,Tacoma,WA,98422,700000,4,2.5,Harbor Ridge,2412,8473,1998,,290,34,Sold,,,https://www.redfin.com/WA/Tacoma/3320-Laurelwood-Cir-NE-98422/home/2872548,NWMLS,1949519,N,Y,47.3034094,-122.4016673
PAST SALE,November-18-2020,Single Family Residential,5415 McKinley Ave,Tacoma,WA,98404,375000,4,2.0,Se Tacoma,1676,7592,1941,,224,,Sold,,,https://www.redfin.com/WA/Tacoma/5415-E-McKinley-Ave-98404/home/3008119,NWMLS,1677601,N,Y,47.2074338,-122.4205386
PAST SALE,June-20-2019,Single Family Residential,6011 S Mullen,Tacoma,WA,98409,390000,3,2.5,South Tacoma,1995,7168,2004,,195,,Sold,,,https://www.redfin.com/WA/Tacoma/6011-S-Mullen-St-98409/home/3035087,NWMLS,1447326,N,Y,47.2022395,-122.500456
