SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-16-2017,Single Family Residential,18232 190th Pl NE,Woodinville,WA,98077,1250000,4,3.5,Cottage Lake,4160,34251,1995,,300,125,Sold,,,https://www.redfin.com/WA/Woodinville/18232-190th-Pl-NE-98077/home/269938,NWMLS,1178924,N,Y,47.7598368,-122.0836235
PAST SALE,February-28-2022,Single Family Residential,19625 NE 165th St,Woodinville,WA,98077,1310000,3,3.0,Cottage Lake,2360,9600,1978,,555,,Sold,,,https://www.redfin.com/WA/Woodinville/19625-NE-165th-St-98077/home/270160,NWMLS,1880790,N,Y,47.747498,-122.0748225
PAST SALE,August-10-2018,Single Family Residential,12939 NE 204th Pl,Woodinville,WA,98072,690000,4,2.5,Woodinville,2440,3635,2004,,283,,Sold,,,https://www.redfin.com/WA/Woodinville/12939-NE-204th-Pl-98072/home/18662269,NWMLS,1331214,N,Y,47.7755273,-122.1682939
PAST SALE,April-9-2021,Condo/Co-op,14200 NE 171st St Unit E104,Woodinville,WA,98072,325000,2,1.0,Woodinville,761,,1983,,427,464,Sold,,,https://www.redfin.com/WA/Woodinville/14200-NE-171st-St-98072/unit-E104/home/24391,NWMLS,1737648,N,Y,47.7520651,-122.1500768
PAST SALE,August-11-2022,Single Family Residential,14649 138th Way NE,Woodinville,WA,98072,900000,3,2.5,Woodinville,1880,3500,1993,,479,183,Sold,,,https://www.redfin.com/WA/Woodinville/14649-138th-Way-NE-98072/home/453513,NWMLS,1942097,N,Y,47.7348247,-122.1573634
PAST SALE,March-22-2018,Single Family Residential,18920 NE 168th St,Woodinville,WA,98072,675000,3,2.5,Cottage Lake,1810,10866,1974,,373,13,Sold,,,https://www.redfin.com/WA/Woodinville/18920-NE-168th-St-98072/home/269928,NWMLS,1245011,N,Y,47.7507813,-122.0842143
PAST SALE,May-10-2021,Single Family Residential,18570 134th Pl NE,Woodinville,WA,98072,830000,4,2.5,Woodinville,1890,3875,1999,,439,,Sold,,,https://www.redfin.com/WA/Woodinville/18570-134th-Pl-NE-98072/home/287591,NWMLS,1756441,N,Y,47.762359,-122.1604837
PAST SALE,June-25-2020,Single Family Residential,18203 145th Ct NE,Woodinville,WA,98072,635000,4,2.0,Woodinville,1800,9607,1984,,353,,Sold,,,https://www.redfin.com/WA/Woodinville/18203-145th-Ct-NE-98072/home/270784,NWMLS,1598909,N,Y,47.7597912,-122.146486
PAST SALE,June-21-2021,Single Family Residential,14317 NE 187th Pl,Woodinville,WA,98072,797500,3,2.5,Woodinville,1760,3024,2003,,453,42,Sold,,,https://www.redfin.com/WA/Woodinville/14317-NE-187th-Pl-98072/home/271491,NWMLS,1776007,N,Y,47.7626494,-122.1483155
PAST SALE,July-10-2020,Single Family Residential,16321 198th Ave NE,Woodinville,WA,98077,782250,4,3.0,Cottage Lake,2930,9600,1978,,267,,Sold,,,https://www.redfin.com/WA/Woodinville/16321-198th-Ave-NE-98077/home/270559,NWMLS,1610787,N,Y,47.7466319,-122.0735469
PAST SALE,September-30-2020,Condo/Co-op,14200 NE 171st St Unit A208,Woodinville,WA,98072,295000,2,1.0,Downtown Woodinville,761,,1983,,388,461,Sold,,,https://www.redfin.com/WA/Woodinville/14200-NE-171st-St-98072/unit-A208/home/60596,NWMLS,1643489,N,Y,47.7520651,-122.1500768
PAST SALE,November-14-2017,Single Family Residential,16220 NE 195th St,Woodinville,WA,98072,965000,4,3.0,Woodinville,3716,43560,1998,,260,,Sold,,,https://www.redfin.com/WA/Woodinville/16220-NE-195th-St-98072/home/271653,NWMLS,1191795,N,Y,47.7693229,-122.1233336
PAST SALE,November-25-2019,Condo/Co-op,12525 NE 145th Pl Unit F106,Kirkland,WA,98034,232000,2,1.0,Kirkland,923,,1979,,251,438,Sold,,,https://www.redfin.com/WA/Kirkland/12525-NE-145th-Pl-98034/unit-F106/home/169651259,NWMLS,1538160,N,Y,47.7337481,-122.1733489
PAST SALE,,Single Family Residential,16106 122nd Pl NE,Bothell,WA,98011,644900,4,3.0,,2130,8881,1978,,303,,,,,https://www.redfin.com/WA/Bothell/16106-122nd-Pl-NE-98011/home/452599,,,N,Y,47.7442225,-122.1765051
PAST SALE,May-7-2021,Condo/Co-op,14200 NE 171st St Unit E202,Woodinville,WA,98072,310000,2,1.0,Downtown Woodinville,761,,1983,,407,464,Sold,,,https://www.redfin.com/WA/Woodinville/14200-NE-171st-St-98072/unit-E202/home/3849,NWMLS,1754352,N,Y,47.7520651,-122.1500768
PAST SALE,August-6-2021,Single Family Residential,18708 201st Ave NE,Woodinville,WA,98077,1400000,4,2.5,Woodinville,3210,31688,1994,,436,36,Sold,,,https://www.redfin.com/WA/Woodinville/18708-201st-Ave-NE-98077/home/271941,NWMLS,1794712,N,Y,47.7636709,-122.0683078
PAST SALE,August-17-2020,Single Family Residential,16513 188th Ave NE,Woodinville,WA,98072,700000,3,3.0,Woodinville,1780,12750,1976,,393,,Sold,,,https://www.redfin.com/WA/Woodinville/16513-188th-Ave-NE-98072/home/270546,NWMLS,1626467,N,Y,47.7476838,-122.0882358
PAST SALE,March-16-2021,Townhouse,15417 134th Pl NE Unit 23-C,Woodinville,WA,98072,650000,3,2.5,Woodinville,1607,,1998,,404,548,Sold,,,https://www.redfin.com/WA/Woodinville/15417-134th-Pl-NE-98072/unit-23-C/home/13455,NWMLS,1725539,N,Y,47.7391763,-122.1615416
PAST SALE,May-13-2019,Single Family Residential,12417 NE 163rd Pl,Woodinville,WA,98072,834000,3,2.5,Sw Woodinville,2670,6195,2001,,312,8,Sold,,,https://www.redfin.com/WA/Woodinville/12417-NE-163rd-Pl-98072/home/453693,NWMLS,1442810,N,Y,47.7458185,-122.1741466
PAST SALE,August-17-2021,Condo/Co-op,17024 123rd Pl NE Unit S102,Bothell,WA,98011,332500,1,1.0,Bothell,703,,1995,,473,228,Sold,,,https://www.redfin.com/WA/Bothell/17024-123rd-Pl-NE-98011/unit-S102/home/17067469,NWMLS,1806326,N,Y,47.752014,-122.1754
PAST SALE,October-9-2019,Single Family Residential,12861 NE 197th Pl,Woodinville,WA,98072,749950,4,2.5,North Creek,2500,3799,2010,,300,30,Sold,,,https://www.redfin.com/WA/Woodinville/12861-NE-197th-Pl-98072/home/22525475,NWMLS,1519983,N,Y,47.7704888,-122.1688518
PAST SALE,December-17-2020,Single Family Residential,20328 132nd Ave NE,Woodinville,WA,98072,1140000,6,4.0,Woodinville,3970,6061,2018,,287,171,Sold,,,https://www.redfin.com/WA/Woodinville/20328-132nd-Ave-NE-98072/home/170484760,NWMLS,1675275,N,Y,47.7755669,-122.1637879
PAST SALE,March-28-2022,Condo/Co-op,17204 123rd Pl NE Unit N201,Bothell,WA,98011,580000,2,2.0,Bothell,987,,1995,,588,372,Sold,,,https://www.redfin.com/WA/Bothell/17204-123rd-Pl-NE-98011/unit-N201/home/175763678,NWMLS,1898294,N,Y,47.7532698,-122.1757405
PAST SALE,January-12-2022,Single Family Residential,18317 NE 204th Ct,Woodinville,WA,98077,1695000,4,2.5,Woodinville,3260,39676,1990,,520,,Sold,,,https://www.redfin.com/WA/Woodinville/18317-NE-204th-Ct-98077/home/274087,NWMLS,1868228,N,Y,47.7751294,-122.0901841
PAST SALE,August-25-2020,Single Family Residential,15732 180th Pl NE,Woodinville,WA,98072,657500,4,2.0,Cottage Lake,1680,37200,1969,,391,,Sold,,,https://www.redfin.com/WA/Woodinville/15732-180th-Pl-NE-98072/home/270440,NWMLS,1593425,N,Y,47.7420372,-122.0982268
PAST SALE,March-18-2022,Single Family Residential,17439 145th Pl NE,Woodinville,WA,98072,1650000,3,2.5,Woodinville,2510,15300,1978,,657,,Sold,,,https://www.redfin.com/WA/Woodinville/17439-145th-Pl-NE-98072/home/270910,NWMLS,1886513,N,Y,47.7543716,-122.1470206
PAST SALE,July-21-2022,Single Family Residential,20125 178th Ave NE,Woodinville,WA,98072,1500000,4,2.5,Woodinville,3120,35685,1998,,481,,Sold,,,https://www.redfin.com/WA/Woodinville/20125-178th-Ave-NE-98072/home/270753,NWMLS,1941416,N,Y,47.7742806,-122.1028621
PAST SALE,,Condo/Co-op,13289 NE 182nd St,Woodinville,WA,98072,670000,3,2.5,,1471,,1995,,455,,,,,https://www.redfin.com/WA/Woodinville/13289-NE-182nd-St-98072/home/61939,,,N,Y,47.760258,-122.1612535
PAST SALE,June-17-2020,Single Family Residential,13075 NE 185th St,Woodinville,WA,98072,855000,4,2.5,Woodinville,3250,6500,2005,,263,17,Sold,,,https://www.redfin.com/WA/Woodinville/13075-NE-185th-St-98072/home/2065758,NWMLS,1603848,N,Y,47.7618231,-122.1650736
PAST SALE,April-4-2019,Single Family Residential,18804 213th Ave NE,Woodinville,WA,98077,969000,4,2.5,Woodinville,3370,27757,1995,,288,10,Sold,,,https://www.redfin.com/WA/Woodinville/18804-213th-Ave-NE-98077/home/272506,NWMLS,1415396,N,Y,47.7642018,-122.0521687
