SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-18-2018,Single Family Residential,8926 NE 36th St,Yarrow Point,WA,98004,4800000,5,6.0,Yarrow Point,6019,15118,2017,,797,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/8926-NE-36th-St-98004/home/249949,NWMLS,1216433,N,Y,47.6430404,-122.2207022
PAST SALE,December-7-2018,Single Family Residential,4623 95th Ave NE,Yarrow Point,WA,98004,5500000,5,7.0,Yarrow Point,7998,20605,1998,,688,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/4623-95th-Ave-NE-98004/home/250465,NWMLS,1293681,N,Y,47.6505217,-122.2156311
PAST SALE,August-7-2020,Single Family Residential,4680 95th Ave NE,Yarrow Point,WA,98004,12500000,5,6.0,Yarrow Point,5920,17064,1967,,2111,,Sold,,,https://www.redfin.com/WA/Bellevue/4680-95th-Ave-NE-98004/home/250217,NWMLS,1634945,N,Y,47.6527261,-122.215004
PAST SALE,March-30-2018,Single Family Residential,9038 NE 39th St,Yarrow Point,WA,98004,5788000,6,5.5,Yarrow Point,6409,19195,2018,,903,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/9038-NE-39th-Pl-98004/home/106725454,NWMLS,1263783,N,Y,47.6454983,-122.2199629
PAST SALE,January-24-2018,Single Family Residential,3838 94th Ave NE,Yarrow Point,WA,98004,3498000,5,5.5,Yarrow Point,5289,11575,2017,,661,,Sold,,,https://www.redfin.com/WA/Bellevue/3838-94th-Ave-NE-98004/home/250303,NWMLS,1223617,N,Y,47.6456996,-122.2152998
PAST SALE,August-30-2018,Single Family Residential,4405 94th Ave NE,Yarrow Point,WA,98004,2880000,4,3.5,Yarrow Point,4246,14535,1987,,678,,Sold,,,https://www.redfin.com/WA/Bellevue/4405-94th-Ave-NE-98004/home/250118,NWMLS,1330923,N,Y,47.6487194,-122.2164498
PAST SALE,August-28-2018,Single Family Residential,4648 95th Ave NE,Yarrow Point,WA,98004,7535000,4,5.5,Yarrow Point,6100,23539,1975,,1235,,Sold,,,https://www.redfin.com/WA/Bellevue/4648-95th-Ave-NE-98004/home/250457,NWMLS,1303068,N,Y,47.6517094,-122.2141609
PAST SALE,April-26-2019,Single Family Residential,3407 92nd Ave NE,Yarrow Point,WA,98004,1300000,5,3.0,Yarrow Point,3160,8550,1959,,411,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/3407-92nd-Ave-NE-98004/home/249645,NWMLS,1417417,N,Y,47.6416872,-122.2179897
PAST SALE,August-27-2019,Single Family Residential,3610 92nd Ave NE,Yarrow Point,WA,98004,3275000,5,5.0,Yarrow Point,4325,15652,1963,,757,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/3610-92nd-Ave-NE-98004/home/250107,NWMLS,1482749,N,Y,47.6429965,-122.2162039
PAST SALE,March-4-2019,Single Family Residential,4419 95th Ave NE,Yarrow Point,WA,98004,3558000,5,6.0,Yarrow Point,4700,9552,2017,,757,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/4419-95th-Ave-NE-98004/home/250256,NWMLS,1398731,N,Y,47.6491159,-122.2153225
PAST SALE,December-9-2020,Single Family Residential,9127 NE 36th St,Yarrow Point,WA,98004,2300000,5,3.0,Yarrow Point,4580,14990,1964,,502,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/9127-NE-36th-St-98004/home/250259,NWMLS,1634815,N,Y,47.6424548,-122.2179987
PAST SALE,October-1-2019,Single Family Residential,4650 92nd Ave NE,Yarrow Point,WA,98004,2450000,3,2.0,Yarrow Point,1460,11495,1925,,1678,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/4650-92nd-Ave-NE-98004/home/250064,NWMLS,1514382,N,Y,47.6508886,-122.2160851
PAST SALE,October-18-2019,Single Family Residential,9035 NE 41st St,Yarrow Point,WA,98004,4700000,4,5.0,Yarrow Point,7100,16124,2009,,662,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/9035-NE-41st-St-98004/home/250179,NWMLS,1494341,N,Y,47.6464769,-122.2195725
PAST SALE,July-3-2019,Single Family Residential,9035 NE 42nd St,Yarrow Point,WA,98004,2370000,6,3.5,Yarrow Point,3330,15046,1969,,712,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/9035-NE-42nd-St-98004/home/250268,NWMLS,1487128,N,Y,47.6472428,-122.2192461
PAST SALE,November-12-2019,Single Family Residential,4663 95th Ave NE,Yarrow Point,WA,98004,6275000,5,5.0,Yarrow Point,6010,23059,2009,,1044,,Sold,,,https://www.redfin.com/WA/Bellevue/4663-95th-Ave-NE-98004/home/250218,NWMLS,1511965,N,Y,47.6517219,-122.2150662
PAST SALE,February-26-2019,Single Family Residential,3847 94th Ave NE,Yarrow Point,WA,98004,1430000,2,2.5,Yarrow Point,1198,11497,1950,,1194,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/3847-94th-Ave-NE-98004/home/250304,NWMLS,1403573,N,Y,47.6460313,-122.2160157
PAST SALE,March-26-2018,Single Family Residential,4438 94th Ave NE,Yarrow Point,WA,98004,3000000,5,4.0,Yarrow Point,4052,5818,2017,,740,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/4438-94th-Ave-NE-98004/home/250080,NWMLS,1196214,N,Y,47.6496534,-122.2159287
PAST SALE,,Single Family Residential,8803 NE 34th St,Yarrow Point,WA,98004,8000000,4,6.0,,6440,22258,1998,,1242,,,,,https://www.redfin.com/WA/Yarrow-Point/8803-NE-34th-St-98004/home/249681,,,N,Y,47.6410396,-122.2221679
PAST SALE,July-23-2018,Single Family Residential,9425 NE 37th Pl,Yarrow Point,WA,98004,1850000,0,,Yarrow Point,2680,11364,1966,,690,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/9425-NE-37th-Pl-98004/home/249832,NWMLS,1333426,N,Y,47.6437939,-122.2142945
PAST SALE,February-27-2020,Single Family Residential,3812 94th Ave NE,Yarrow Point,WA,98004,4100000,5,5.5,Yarrow Point,5126,16176,2005,,800,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/3812-94th-Ave-NE-98004/home/250287,NWMLS,1535866,N,Y,47.645052,-122.2151102
PAST SALE,,Single Family Residential,3621 90th Ave NE,Yarrow Point,WA,98004,3575000,4,4.5,,3280,15978,1965,,1090,,,,,https://www.redfin.com/WA/Yarrow-Point/3621-90th-Ave-NE-98004/home/250383,,,N,Y,47.6434396,-122.2207262
PAST SALE,April-20-2018,Single Family Residential,9109 NE 35th Pl,Yarrow Point,WA,98004,3600000,5,5.5,Yarrow Point,5419,13500,2017,,664,,Sold,,,https://www.redfin.com/WA/Bellevue/3441-92nd-Ave-NE-98004/home/249808,NWMLS,1121488,N,Y,47.6421412,-122.2186591
PAST SALE,June-12-2019,Single Family Residential,9218 NE 38th St,Yarrow Point,WA,98004,2750000,5,5.5,Yarrow Point,4336,6003,2018,,634,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/9218-NE-38th-St-98004/home/250036,NWMLS,1426441,N,Y,47.6448285,-122.2167086
PAST SALE,April-20-2018,Single Family Residential,9020 NE 34th St,Yarrow Point,WA,98004,2305000,5,3.5,Yarrow Point,3200,15279,1978,,720,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/9020-NE-34th-St-98004/home/249951,NWMLS,1250061,N,Y,47.6418938,-122.2199913
PAST SALE,December-30-2020,Single Family Residential,3801 95th Ave NE,Yarrow Point,WA,98004,2050000,4,2.5,Yarrow Point,2400,10924,1970,,854,,Sold,,,https://www.redfin.com/WA/Bellevue/3801-95th-Ave-NE-98004/home/250015,NWMLS,1696935,N,Y,47.6447307,-122.2142936
PAST SALE,September-15-2020,Single Family Residential,9100 NE 47th St,Yarrow Point,WA,98004,3300000,5,4.5,Yarrow Point,3871,17075,2010,,852,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/9100-NE-47th-St-98004/home/22645605,NWMLS,1640448,N,Y,47.6514787,-122.2163875
PAST SALE,September-13-2021,Single Family Residential,9120 NE 32nd St,Yarrow Point,WA,98004,1400000,3,1.0,Yarrow Point,990,7426,1953,,1414,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/9120-NE-32nd-St-98004/home/252235,NWMLS,1809884,N,Y,47.6394046,-122.2185804
PAST SALE,June-22-2018,Single Family Residential,9075 NE 39th Pl,Yarrow Point,WA,98004,2600000,4,2.5,Yarrow Point,2922,18229,1977,,890,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/9075-NE-39th-Pl-98004/home/249658,NWMLS,1302528,N,Y,47.645152,-122.2177506
PAST SALE,May-8-2020,Single Family Residential,9018 Points Dr NE,Yarrow Point,WA,98004,1550000,3,2.5,Yarrow Point,2300,29032,1980,,674,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/9018-NE-Points-Dr-98004/home/252812,NWMLS,1556535,N,Y,47.6378048,-122.2204055
PAST SALE,November-4-2020,Single Family Residential,8888 Points Dr NE,Yarrow Point,WA,98004,2100000,4,3.5,Yarrow Point,3612,17210,2013,,581,,Sold,,,https://www.redfin.com/WA/Bellevue/8888-NE-Points-Dr-98004/home/18662442,NWMLS,1567430,N,Y,47.6365922,-122.2213997
PAST SALE,October-4-2022,Vacant Land,0 NE 38TH St,Kirkland,WA,98033,700000,,,Yarrow,,13485,,,,,Sold,,,https://www.redfin.com/WA/Kirkland/NE-38th-St-Unknown/home/77126485,NWMLS,1951318,N,Y,47.644659,-122.212948
PAST SALE,,Single Family Residential,8805 NE 34th St,Yarrow Point,WA,98004,8800000,6,5.0,,6950,33473,1989,,1266,,,,,https://www.redfin.com/WA/Yarrow-Point/8805-NE-34th-St-98004/home/250247,,,N,Y,47.6412952,-122.2218991
PAST SALE,January-8-2021,Single Family Residential,9262 Points Dr NE,Yarrow Point,WA,98004,5138000,6,7.0,Yarrow Point,5774,18731,2014,,890,,Sold,,,https://www.redfin.com/WA/Yarrow-Point/9262-NE-Points-Dr-98004/home/249572,NWMLS,1692325,N,Y,47.6427418,-122.2159926
